trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,0.0,54.385,0,0.162463,0.162463,0.543272,0.162463,temporal_event_gnn_jodie
1,pipeline_smart,0.0,60.768,0,0.65203,0.65203,0.914957,0.65203,jodie_rnn
2,pipeline_smart,0.0,88.041,0,0.234081,0.234081,0.686843,0.65203,temporal_event_gnn_jodie
3,pipeline_smart,0.0,102.687,0,0.382257,0.382257,0.784392,0.65203,jodie_rnn
4,pipeline_smart,0.0,120.468,0,0.685749,0.685749,0.935468,0.685749,jodie_rnn
5,pipeline_smart,0.0,154.462,0,0.180446,0.180446,0.557279,0.685749,temporal_event_gnn_jodie
6,pipeline_smart,0.0,165.682,0,0.221012,0.221012,0.666833,0.685749,temporal_event_gnn_jodie
7,pipeline_smart,0.0,168.647,0,0.176424,0.176424,0.562281,0.685749,temporal_event_gnn_jodie
8,pipeline_smart,0.0,204.739,0,0.325844,0.325844,0.714357,0.685749,jodie_rnn
9,pipeline_smart,0.0,236.035,0,0.534145,0.534145,0.943972,0.685749,jodie_rnn
10,pipeline_smart,0.0,242.104,0,0.253928,0.253928,0.693847,0.685749,temporal_event_gnn_jodie
11,pipeline_smart,0.0,255.255,0,0.152999,0.152999,0.490245,0.685749,temporal_event_gnn_jodie
12,pipeline_smart,0.0,284.642,0,0.363033,0.363033,0.784392,0.685749,jodie_rnn
13,pipeline_smart,0.0,314.493,0,0.63867,0.63867,0.966983,0.685749,jodie_rnn
14,pipeline_smart,0.0,317.507,0,0.187945,0.187945,0.529265,0.685749,temporal_event_gnn_jodie
15,pipeline_smart,0.0,325.648,0,0.1867,0.1867,0.6003,0.685749,temporal_event_gnn_jodie
16,pipeline_smart,0.0,358.546,0,0.206313,0.206313,0.63932,0.685749,temporal_event_gnn_jodie
17,pipeline_smart,0.0,366.36,0,0.328379,0.328379,0.757379,0.685749,temporal_event_gnn_jodie
18,pipeline_smart,0.0,397.658,0,0.161733,0.161733,0.537269,0.685749,temporal_event_gnn_jodie
19,pipeline_smart,0.0,410.793,0,0.191013,0.191013,0.593797,0.685749,temporal_event_gnn_jodie
20,pipeline_smart,0.0,425.521,0,0.386178,0.386178,0.749875,0.685749,jodie_rnn
21,pipeline_smart,0.0,461.835,0,0.572201,0.572201,0.906953,0.685749,jodie_rnn
22,pipeline_smart,0.0,471.497,0,0.126603,0.126603,0.298149,0.685749,jodie_rnn
23,pipeline_smart,0.0,492.453,0,0.157328,0.157328,0.543272,0.685749,temporal_event_gnn_jodie
24,pipeline_smart,0.0,506.165,0,0.147143,0.147143,0.502751,0.685749,temporal_event_gnn_jodie
25,pipeline_smart,0.0,516.132,0,0.145386,0.145386,0.492746,0.685749,temporal_event_gnn_jodie
26,pipeline_smart,0.0,593.003,0,0.139826,0.139826,0.485243,0.685749,temporal_event_gnn_jodie
