rank,phase,eval_split,score,val_score,test_score,mrr,recall_at_k,params,time_sec,model,config_json
1,coarse_pipeline,val,0.6739198726398011,0.6739198726398011,0.5708947313576028,0.6739198726398011,0.9104552276138069,34688,52.6029,jodie_rnn,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 20000, ""num_users"": 1435, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.001, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""device"": ""cuda"", ""seed"": 42, ""partition_size"": 0, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 1, ""pipeline_worker_gpus"": 1.0, ""pipeline_worker_cpus"": 1.0, ""pipeline_stage_train_workers"": ""3"", ""pipeline_stage_eval_workers"": """", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": false, ""pipeline_trace_log_path"": ""outputs/alloc_compare/seed_42/sync_1stage_3w/pipeline_trace_20260512_134100.log"", ""output_dir"": ""outputs/alloc_compare/seed_42/sync_1stage_3w"", ""enable_efficiency_monitor"": false, ""efficiency_monitor_interval"": 10, ""data_parallel_workers"": 3, ""data_parallel_worker_gpus"": 1.0, ""data_parallel_visible_gpus"": ""0,1,2"", ""data_parallel_sync_level"": ""micro_batch"", ""data_parallel_micro_batch_size"": 200, ""gpu_list"": ""0,1,2"", ""enable_auto_pipeline_config"": false, ""pipeline_mode"": ""naive"", ""model"": ""jodie_rnn"", ""embedding_dim"": 64, ""memory_cell"": ""rnn"", ""time_proj"": ""linear"", ""use_static_embeddings"": ""off"", ""normalize_state"": ""off"", ""enable_graph_update"": ""off"", ""enable_event_agg"": ""off"", ""event_agg"": ""none"", ""max_neighbors"": 0, ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""hidden_dim"": 0, ""memory_gate"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off""}"
2,coarse_pipeline,val,0.6022935026174076,0.6022935026174076,,0.6022935026174076,0.9369684842421211,737024,61.1524,jodie_rnn,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 20000, ""num_users"": 1435, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.001, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""device"": ""cuda"", ""seed"": 42, ""partition_size"": 0, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 1, ""pipeline_worker_gpus"": 1.0, ""pipeline_worker_cpus"": 1.0, ""pipeline_stage_train_workers"": ""3"", ""pipeline_stage_eval_workers"": """", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": false, ""pipeline_trace_log_path"": ""outputs/alloc_compare/seed_42/sync_1stage_3w/pipeline_trace_20260512_134100.log"", ""output_dir"": ""outputs/alloc_compare/seed_42/sync_1stage_3w"", ""enable_efficiency_monitor"": false, ""efficiency_monitor_interval"": 10, ""data_parallel_workers"": 3, ""data_parallel_worker_gpus"": 1.0, ""data_parallel_visible_gpus"": ""0,1,2"", ""data_parallel_sync_level"": ""micro_batch"", ""data_parallel_micro_batch_size"": 200, ""gpu_list"": ""0,1,2"", ""enable_auto_pipeline_config"": false, ""pipeline_mode"": ""naive"", ""model"": ""jodie_rnn"", ""embedding_dim"": 128, ""memory_cell"": ""gru"", ""time_proj"": ""linear"", ""use_static_embeddings"": ""on"", ""normalize_state"": ""on"", ""enable_graph_update"": ""off"", ""enable_event_agg"": ""off"", ""event_agg"": ""none"", ""max_neighbors"": 0, ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""hidden_dim"": 0, ""memory_gate"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off""}"
3,coarse_pipeline,val,0.4214607886650963,0.4214607886650963,,0.4214607886650963,0.7688844422211105,737024,61.1524,jodie_rnn,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 20000, ""num_users"": 1435, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.001, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""device"": ""cuda"", ""seed"": 42, ""partition_size"": 0, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 1, ""pipeline_worker_gpus"": 1.0, ""pipeline_worker_cpus"": 1.0, ""pipeline_stage_train_workers"": ""3"", ""pipeline_stage_eval_workers"": """", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": false, ""pipeline_trace_log_path"": ""outputs/alloc_compare/seed_42/sync_1stage_3w/pipeline_trace_20260512_134100.log"", ""output_dir"": ""outputs/alloc_compare/seed_42/sync_1stage_3w"", ""enable_efficiency_monitor"": false, ""efficiency_monitor_interval"": 10, ""data_parallel_workers"": 3, ""data_parallel_worker_gpus"": 1.0, ""data_parallel_visible_gpus"": ""0,1,2"", ""data_parallel_sync_level"": ""micro_batch"", ""data_parallel_micro_batch_size"": 200, ""gpu_list"": ""0,1,2"", ""enable_auto_pipeline_config"": false, ""pipeline_mode"": ""naive"", ""model"": ""jodie_rnn"", ""embedding_dim"": 128, ""memory_cell"": ""gru"", ""time_proj"": ""off"", ""use_static_embeddings"": ""on"", ""normalize_state"": ""on"", ""enable_graph_update"": ""off"", ""enable_event_agg"": ""off"", ""event_agg"": ""none"", ""max_neighbors"": 0, ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""hidden_dim"": 0, ""memory_gate"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off""}"
4,coarse_pipeline,val,0.3959726154496528,0.3959726154496528,,0.3959726154496528,0.7688844422211105,148352,65.6597,jodie_rnn,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 20000, ""num_users"": 1435, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.001, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""device"": ""cuda"", ""seed"": 42, ""partition_size"": 0, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 1, ""pipeline_worker_gpus"": 1.0, ""pipeline_worker_cpus"": 1.0, ""pipeline_stage_train_workers"": ""3"", ""pipeline_stage_eval_workers"": """", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": false, ""pipeline_trace_log_path"": ""outputs/alloc_compare/seed_42/sync_1stage_3w/pipeline_trace_20260512_134100.log"", ""output_dir"": ""outputs/alloc_compare/seed_42/sync_1stage_3w"", ""enable_efficiency_monitor"": false, ""efficiency_monitor_interval"": 10, ""data_parallel_workers"": 3, ""data_parallel_worker_gpus"": 1.0, ""data_parallel_visible_gpus"": ""0,1,2"", ""data_parallel_sync_level"": ""micro_batch"", ""data_parallel_micro_batch_size"": 200, ""gpu_list"": ""0,1,2"", ""enable_auto_pipeline_config"": false, ""pipeline_mode"": ""naive"", ""model"": ""jodie_rnn"", ""embedding_dim"": 64, ""memory_cell"": ""rnn"", ""time_proj"": ""off"", ""use_static_embeddings"": ""on"", ""normalize_state"": ""on"", ""enable_graph_update"": ""off"", ""enable_event_agg"": ""off"", ""event_agg"": ""none"", ""max_neighbors"": 0, ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""hidden_dim"": 0, ""memory_gate"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off""}"
5,coarse_pipeline,val,0.3719627861414704,0.3719627861414704,,0.3719627861414704,0.7333666833416709,233344,65.6597,jodie_rnn,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 20000, ""num_users"": 1435, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.001, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""device"": ""cuda"", ""seed"": 42, ""partition_size"": 0, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 1, ""pipeline_worker_gpus"": 1.0, ""pipeline_worker_cpus"": 1.0, ""pipeline_stage_train_workers"": ""3"", ""pipeline_stage_eval_workers"": """", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": false, ""pipeline_trace_log_path"": ""outputs/alloc_compare/seed_42/sync_1stage_3w/pipeline_trace_20260512_134100.log"", ""output_dir"": ""outputs/alloc_compare/seed_42/sync_1stage_3w"", ""enable_efficiency_monitor"": false, ""efficiency_monitor_interval"": 10, ""data_parallel_workers"": 3, ""data_parallel_worker_gpus"": 1.0, ""data_parallel_visible_gpus"": ""0,1,2"", ""data_parallel_sync_level"": ""micro_batch"", ""data_parallel_micro_batch_size"": 200, ""gpu_list"": ""0,1,2"", ""enable_auto_pipeline_config"": false, ""pipeline_mode"": ""naive"", ""model"": ""jodie_rnn"", ""embedding_dim"": 64, ""memory_cell"": ""gru"", ""time_proj"": ""off"", ""use_static_embeddings"": ""on"", ""normalize_state"": ""on"", ""enable_graph_update"": ""off"", ""enable_event_agg"": ""off"", ""event_agg"": ""none"", ""max_neighbors"": 0, ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""hidden_dim"": 0, ""memory_gate"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off""}"
6,coarse_pipeline,val,0.32760428982845546,0.32760428982845546,,0.32760428982845546,0.7483741870935467,86912,61.1524,jodie_rnn,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 20000, ""num_users"": 1435, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.001, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""device"": ""cuda"", ""seed"": 42, ""partition_size"": 0, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 1, ""pipeline_worker_gpus"": 1.0, ""pipeline_worker_cpus"": 1.0, ""pipeline_stage_train_workers"": ""3"", ""pipeline_stage_eval_workers"": """", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": false, ""pipeline_trace_log_path"": ""outputs/alloc_compare/seed_42/sync_1stage_3w/pipeline_trace_20260512_134100.log"", ""output_dir"": ""outputs/alloc_compare/seed_42/sync_1stage_3w"", ""enable_efficiency_monitor"": false, ""efficiency_monitor_interval"": 10, ""data_parallel_workers"": 3, ""data_parallel_worker_gpus"": 1.0, ""data_parallel_visible_gpus"": ""0,1,2"", ""data_parallel_sync_level"": ""micro_batch"", ""data_parallel_micro_batch_size"": 200, ""gpu_list"": ""0,1,2"", ""enable_auto_pipeline_config"": false, ""pipeline_mode"": ""naive"", ""model"": ""jodie_rnn"", ""embedding_dim"": 64, ""memory_cell"": ""gru"", ""time_proj"": ""off"", ""use_static_embeddings"": ""off"", ""normalize_state"": ""off"", ""enable_graph_update"": ""off"", ""enable_event_agg"": ""off"", ""event_agg"": ""none"", ""max_neighbors"": 0, ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""hidden_dim"": 0, ""memory_gate"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off""}"
7,coarse_pipeline,val,0.3164315920886544,0.3164315920886544,,0.3164315920886544,0.7473736868434218,275840,61.1524,jodie_rnn,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 20000, ""num_users"": 1435, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.001, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""device"": ""cuda"", ""seed"": 42, ""partition_size"": 0, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 1, ""pipeline_worker_gpus"": 1.0, ""pipeline_worker_cpus"": 1.0, ""pipeline_stage_train_workers"": ""3"", ""pipeline_stage_eval_workers"": """", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": false, ""pipeline_trace_log_path"": ""outputs/alloc_compare/seed_42/sync_1stage_3w/pipeline_trace_20260512_134100.log"", ""output_dir"": ""outputs/alloc_compare/seed_42/sync_1stage_3w"", ""enable_efficiency_monitor"": false, ""efficiency_monitor_interval"": 10, ""data_parallel_workers"": 3, ""data_parallel_worker_gpus"": 1.0, ""data_parallel_visible_gpus"": ""0,1,2"", ""data_parallel_sync_level"": ""micro_batch"", ""data_parallel_micro_batch_size"": 200, ""gpu_list"": ""0,1,2"", ""enable_auto_pipeline_config"": false, ""pipeline_mode"": ""naive"", ""model"": ""jodie_rnn"", ""embedding_dim"": 64, ""memory_cell"": ""lstm"", ""time_proj"": ""off"", ""use_static_embeddings"": ""on"", ""normalize_state"": ""on"", ""enable_graph_update"": ""off"", ""enable_event_agg"": ""off"", ""event_agg"": ""none"", ""max_neighbors"": 0, ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""hidden_dim"": 0, ""memory_gate"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off""}"
8,coarse_pipeline,val,0.2824415353782589,0.2824415353782589,,0.2824415353782589,0.6928464232116058,134912,65.6597,jodie_rnn,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 20000, ""num_users"": 1435, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.001, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""device"": ""cuda"", ""seed"": 42, ""partition_size"": 0, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 1, ""pipeline_worker_gpus"": 1.0, ""pipeline_worker_cpus"": 1.0, ""pipeline_stage_train_workers"": ""3"", ""pipeline_stage_eval_workers"": """", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": false, ""pipeline_trace_log_path"": ""outputs/alloc_compare/seed_42/sync_1stage_3w/pipeline_trace_20260512_134100.log"", ""output_dir"": ""outputs/alloc_compare/seed_42/sync_1stage_3w"", ""enable_efficiency_monitor"": false, ""efficiency_monitor_interval"": 10, ""data_parallel_workers"": 3, ""data_parallel_worker_gpus"": 1.0, ""data_parallel_visible_gpus"": ""0,1,2"", ""data_parallel_sync_level"": ""micro_batch"", ""data_parallel_micro_batch_size"": 200, ""gpu_list"": ""0,1,2"", ""enable_auto_pipeline_config"": false, ""pipeline_mode"": ""naive"", ""model"": ""jodie_rnn"", ""embedding_dim"": 128, ""memory_cell"": ""rnn"", ""time_proj"": ""off"", ""use_static_embeddings"": ""off"", ""normalize_state"": ""on"", ""enable_graph_update"": ""off"", ""enable_event_agg"": ""off"", ""event_agg"": ""none"", ""max_neighbors"": 0, ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""hidden_dim"": 0, ""memory_gate"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off""}"
9,coarse_pipeline,val,0.24575792281762007,0.24575792281762007,,0.24575792281762007,0.7183591795897949,113024,52.6029,jodie_rnn,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 20000, ""num_users"": 1435, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.001, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""device"": ""cuda"", ""seed"": 42, ""partition_size"": 0, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 1, ""pipeline_worker_gpus"": 1.0, ""pipeline_worker_cpus"": 1.0, ""pipeline_stage_train_workers"": ""3"", ""pipeline_stage_eval_workers"": """", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": false, ""pipeline_trace_log_path"": ""outputs/alloc_compare/seed_42/sync_1stage_3w/pipeline_trace_20260512_134100.log"", ""output_dir"": ""outputs/alloc_compare/seed_42/sync_1stage_3w"", ""enable_efficiency_monitor"": false, ""efficiency_monitor_interval"": 10, ""data_parallel_workers"": 3, ""data_parallel_worker_gpus"": 1.0, ""data_parallel_visible_gpus"": ""0,1,2"", ""data_parallel_sync_level"": ""micro_batch"", ""data_parallel_micro_batch_size"": 200, ""gpu_list"": ""0,1,2"", ""enable_auto_pipeline_config"": false, ""pipeline_mode"": ""naive"", ""model"": ""jodie_rnn"", ""embedding_dim"": 64, ""memory_cell"": ""lstm"", ""time_proj"": ""linear"", ""use_static_embeddings"": ""off"", ""normalize_state"": ""off"", ""enable_graph_update"": ""off"", ""enable_event_agg"": ""off"", ""event_agg"": ""none"", ""max_neighbors"": 0, ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""hidden_dim"": 0, ""memory_gate"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off""}"
10,coarse_pipeline,val,0.2219058626139858,0.2219058626139858,,0.2219058626139858,0.6653326663331666,417921,52.6029,temporal_event_gnn_jodie,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 20000, ""num_users"": 1435, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.001, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""device"": ""cuda"", ""seed"": 42, ""partition_size"": 0, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 1, ""pipeline_worker_gpus"": 1.0, ""pipeline_worker_cpus"": 1.0, ""pipeline_stage_train_workers"": ""3"", ""pipeline_stage_eval_workers"": """", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": false, ""pipeline_trace_log_path"": ""outputs/alloc_compare/seed_42/sync_1stage_3w/pipeline_trace_20260512_134100.log"", ""output_dir"": ""outputs/alloc_compare/seed_42/sync_1stage_3w"", ""enable_efficiency_monitor"": false, ""efficiency_monitor_interval"": 10, ""data_parallel_workers"": 3, ""data_parallel_worker_gpus"": 1.0, ""data_parallel_visible_gpus"": ""0,1,2"", ""data_parallel_sync_level"": ""micro_batch"", ""data_parallel_micro_batch_size"": 200, ""gpu_list"": ""0,1,2"", ""enable_auto_pipeline_config"": false, ""pipeline_mode"": ""naive"", ""model"": ""temporal_event_gnn_jodie"", ""embedding_dim"": 128, ""memory_cell"": ""gru"", ""time_proj"": ""off"", ""use_static_embeddings"": ""off"", ""normalize_state"": ""off"", ""enable_graph_update"": ""on"", ""enable_event_agg"": ""off"", ""event_agg"": ""none"", ""max_neighbors"": 5, ""message_mode"": ""agg"", ""msg_linear"": ""on"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none""}"
