trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.023,473.493,473.47,0.67392,0.67392,0.910455,0.67392,jodie_rnn
1,pipeline,0.023,473.493,473.47,0.187971,0.187971,0.61981,0.67392,temporal_event_gnn_jodie
2,pipeline,0.023,473.493,473.47,0.18132,0.18132,0.635318,0.67392,temporal_event_gnn_jodie
3,pipeline,0.023,473.493,473.47,0.245758,0.245758,0.718359,0.67392,jodie_rnn
4,pipeline,0.023,473.493,473.47,0.188667,0.188667,0.634317,0.67392,temporal_event_gnn_jodie
5,pipeline,0.023,473.493,473.47,0.22141,0.22141,0.655828,0.67392,temporal_event_gnn_jodie
6,pipeline,0.023,473.493,473.47,0.221906,0.221906,0.665333,0.67392,temporal_event_gnn_jodie
7,pipeline,0.023,473.493,473.47,0.184174,0.184174,0.582291,0.67392,temporal_event_gnn_jodie
8,pipeline,0.023,473.493,473.47,0.216683,0.216683,0.674337,0.67392,temporal_event_gnn_jodie
9,pipeline,473.535,1024.076,550.541,0.158456,0.158456,0.54027,0.67392,temporal_event_gnn_jodie
10,pipeline,473.535,1024.076,550.541,0.421461,0.421461,0.768884,0.67392,jodie_rnn
11,pipeline,473.535,1024.076,550.541,0.164085,0.164085,0.523262,0.67392,temporal_event_gnn_jodie
12,pipeline,473.535,1024.076,550.541,0.17674,0.17674,0.637819,0.67392,temporal_event_gnn_jodie
13,pipeline,473.535,1024.076,550.541,0.602294,0.602294,0.936968,0.67392,jodie_rnn
14,pipeline,473.535,1024.076,550.541,0.316432,0.316432,0.747374,0.67392,jodie_rnn
15,pipeline,473.535,1024.076,550.541,0.327604,0.327604,0.748374,0.67392,jodie_rnn
16,pipeline,473.535,1024.076,550.541,0.214077,0.214077,0.671836,0.67392,temporal_event_gnn_jodie
17,pipeline,473.535,1024.076,550.541,0.1723,0.1723,0.648324,0.67392,temporal_event_gnn_jodie
18,pipeline,1024.108,1615.218,591.11,0.181387,0.181387,0.589295,0.67392,temporal_event_gnn_jodie
19,pipeline,1024.108,1615.218,591.11,0.395973,0.395973,0.768884,0.67392,jodie_rnn
20,pipeline,1024.108,1615.218,591.11,0.219298,0.219298,0.633817,0.67392,temporal_event_gnn_jodie
21,pipeline,1024.108,1615.218,591.11,0.371963,0.371963,0.733367,0.67392,jodie_rnn
22,pipeline,1024.108,1615.218,591.11,0.282442,0.282442,0.692846,0.67392,jodie_rnn
23,pipeline,1024.108,1615.218,591.11,0.185201,0.185201,0.631816,0.67392,temporal_event_gnn_jodie
24,pipeline,1024.108,1615.218,591.11,0.205661,0.205661,0.637319,0.67392,temporal_event_gnn_jodie
25,pipeline,1024.108,1615.218,591.11,0.221762,0.221762,0.543772,0.67392,temporal_event_gnn_jodie
26,pipeline,1024.108,1615.218,591.11,0.126603,0.126603,0.298149,0.67392,jodie_rnn
