trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,0.0,61.187,0,0.126603,0.126603,0.298149,0.126603,jodie_rnn
1,pipeline_smart,0.0,98.951,0,0.167821,0.167821,0.562281,0.167821,temporal_event_gnn_jodie
2,pipeline_smart,0.0,157.553,0,0.38423,0.38423,0.722361,0.38423,jodie_rnn
3,pipeline_smart,0.0,194.11,0,0.436078,0.436078,0.85993,0.436078,jodie_rnn
4,pipeline_smart,0.0,247.02,0,0.267498,0.267498,0.728864,0.436078,jodie_rnn
5,pipeline_smart,0.0,314.252,0,0.456998,0.456998,0.868434,0.456998,jodie_rnn
6,pipeline_smart,0.0,370.317,0,0.321736,0.321736,0.730365,0.456998,jodie_rnn
7,pipeline_smart,0.0,433.123,0,0.72715,0.72715,0.933967,0.72715,jodie_rnn
8,pipeline_smart,0.0,478.623,0,0.155224,0.155224,0.494247,0.72715,temporal_event_gnn_jodie
9,pipeline_smart,0.0,526.797,0,0.170289,0.170289,0.567784,0.72715,temporal_event_gnn_jodie
10,pipeline_smart,0.0,585.19,0,0.341303,0.341303,0.703352,0.72715,jodie_rnn
11,pipeline_smart,0.0,628.201,0,0.348043,0.348043,0.782891,0.72715,jodie_rnn
12,pipeline_smart,0.0,680.203,0,0.314319,0.314319,0.752376,0.72715,jodie_rnn
13,pipeline_smart,0.0,720.935,0,0.248136,0.248136,0.69935,0.72715,temporal_event_gnn_jodie
14,pipeline_smart,0.0,786.46,0,0.656454,0.656454,0.885943,0.72715,jodie_rnn
15,pipeline_smart,0.0,825.612,0,0.218169,0.218169,0.675838,0.72715,temporal_event_gnn_jodie
16,pipeline_smart,0.0,872.699,0,0.643504,0.643504,0.907454,0.72715,jodie_rnn
17,pipeline_smart,0.0,908.499,0,0.197386,0.197386,0.582791,0.72715,temporal_event_gnn_jodie
18,pipeline_smart,0.0,956.585,0,0.322847,0.322847,0.738869,0.72715,jodie_rnn
19,pipeline_smart,0.0,1019.481,0,0.357876,0.357876,0.750875,0.72715,jodie_rnn
20,pipeline_smart,0.0,1091.877,0,0.631565,0.631565,0.903952,0.72715,jodie_rnn
21,pipeline_smart,0.0,1135.071,0,0.126603,0.126603,0.298149,0.72715,jodie_rnn
22,pipeline_smart,0.0,1181.449,0,0.15055,0.15055,0.51926,0.72715,temporal_event_gnn_jodie
23,pipeline_smart,0.0,1216.381,0,0.520378,0.520378,0.893947,0.72715,jodie_rnn
24,pipeline_smart,0.0,1268.7,0,0.178492,0.178492,0.61931,0.72715,temporal_event_gnn_jodie
25,pipeline_smart,0.0,1303.525,0,0.230404,0.230404,0.662331,0.72715,temporal_event_gnn_jodie
26,pipeline_smart,0.0,1346.836,0,0.162097,0.162097,0.530765,0.72715,temporal_event_gnn_jodie
