trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.029,620.156,620.126,0.335669,0.335669,0.743872,0.335669,temporal_event_gnn_jodie
1,pipeline,0.029,620.156,620.126,0.640689,0.640689,0.903952,0.640689,jodie_rnn
2,pipeline,0.029,620.156,620.126,0.297808,0.297808,0.698849,0.640689,temporal_event_gnn_jodie
3,pipeline,0.029,620.156,620.126,0.27896,0.27896,0.681341,0.640689,jodie_rnn
4,pipeline,0.029,620.156,620.126,0.598428,0.598428,0.891946,0.640689,jodie_rnn
5,pipeline,0.029,620.156,620.126,0.666239,0.666239,0.923462,0.666239,jodie_rnn
6,pipeline,0.029,620.156,620.126,0.163293,0.163293,0.532266,0.666239,temporal_event_gnn_jodie
7,pipeline,0.029,620.156,620.126,0.159105,0.159105,0.596798,0.666239,temporal_event_gnn_jodie
8,pipeline,0.029,620.156,620.126,0.229838,0.229838,0.645823,0.666239,temporal_event_gnn_jodie
9,pipeline,620.188,1242.113,621.924,0.24361,0.24361,0.662331,0.666239,temporal_event_gnn_jodie
10,pipeline,620.188,1242.113,621.924,0.227859,0.227859,0.672336,0.666239,temporal_event_gnn_jodie
11,pipeline,620.188,1242.113,621.924,0.210955,0.210955,0.627314,0.666239,temporal_event_gnn_jodie
12,pipeline,620.188,1242.113,621.924,0.210075,0.210075,0.725863,0.666239,jodie_rnn
13,pipeline,620.188,1242.113,621.924,0.653019,0.653019,0.90045,0.666239,jodie_rnn
14,pipeline,620.188,1242.113,621.924,0.390362,0.390362,0.798899,0.666239,jodie_rnn
15,pipeline,620.188,1242.113,621.924,0.253235,0.253235,0.63982,0.666239,jodie_rnn
16,pipeline,620.188,1242.113,621.924,0.15264,0.15264,0.6008,0.666239,temporal_event_gnn_jodie
17,pipeline,620.188,1242.113,621.924,0.237364,0.237364,0.654827,0.666239,temporal_event_gnn_jodie
18,pipeline,1242.155,1896.621,654.466,0.412068,0.412068,0.795398,0.666239,jodie_rnn
19,pipeline,1242.155,1896.621,654.466,0.212051,0.212051,0.605303,0.666239,temporal_event_gnn_jodie
20,pipeline,1242.155,1896.621,654.466,0.247583,0.247583,0.692346,0.666239,temporal_event_gnn_jodie
21,pipeline,1242.155,1896.621,654.466,0.231039,0.231039,0.63932,0.666239,temporal_event_gnn_jodie
22,pipeline,1242.155,1896.621,654.466,0.452992,0.452992,0.807904,0.666239,jodie_rnn
23,pipeline,1242.155,1896.621,654.466,0.268182,0.268182,0.674337,0.666239,temporal_event_gnn_jodie
24,pipeline,1242.155,1896.621,654.466,0.640107,0.640107,0.932966,0.666239,jodie_rnn
25,pipeline,1242.155,1896.621,654.466,0.186032,0.186032,0.646823,0.666239,temporal_event_gnn_jodie
26,pipeline,1242.155,1896.621,654.466,0.19717,0.19717,0.561781,0.666239,temporal_event_gnn_jodie
