trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,0.0,53.569,0,0.162463,0.162463,0.543272,0.162463,temporal_event_gnn_jodie
1,pipeline_smart,0.0,94.881,0,0.234081,0.234081,0.686843,0.234081,temporal_event_gnn_jodie
2,pipeline_smart,0.0,142.464,0,0.382257,0.382257,0.784392,0.382257,jodie_rnn
3,pipeline_smart,0.0,201.12,0,0.176142,0.176142,0.587794,0.382257,temporal_event_gnn_jodie
4,pipeline_smart,0.0,203.64,0,0.65203,0.65203,0.914957,0.65203,jodie_rnn
5,pipeline_smart,0.0,247.997,0,0.337364,0.337364,0.769885,0.65203,temporal_event_gnn_jodie
6,pipeline_smart,0.0,298.229,0,0.323038,0.323038,0.722361,0.65203,temporal_event_gnn_jodie
7,pipeline_smart,0.0,345.053,0,0.160978,0.160978,0.518759,0.65203,temporal_event_gnn_jodie
8,pipeline_smart,0.0,404.078,0,0.304045,0.304045,0.745373,0.65203,jodie_rnn
9,pipeline_smart,0.0,443.607,0,0.141617,0.141617,0.508754,0.65203,temporal_event_gnn_jodie
10,pipeline_smart,0.0,450.89,0,0.363786,0.363786,0.795898,0.65203,jodie_rnn
11,pipeline_smart,0.0,503.362,0,0.646581,0.646581,0.914957,0.65203,jodie_rnn
12,pipeline_smart,0.0,557.157,0,0.302987,0.302987,0.697849,0.65203,jodie_rnn
13,pipeline_smart,0.0,628.626,0,0.531441,0.531441,0.909955,0.65203,jodie_rnn
14,pipeline_smart,0.0,690.763,0,0.329721,0.329721,0.831916,0.65203,jodie_rnn
15,pipeline_smart,0.0,755.575,0,0.524772,0.524772,0.91996,0.65203,jodie_rnn
16,pipeline_smart,0.0,767.815,0,0.296745,0.296745,0.715858,0.65203,temporal_event_gnn_jodie
17,pipeline_smart,0.0,802.956,0,0.169819,0.169819,0.509255,0.65203,temporal_event_gnn_jodie
18,pipeline_smart,0.0,861.614,0,0.159851,0.159851,0.547774,0.65203,temporal_event_gnn_jodie
19,pipeline_smart,0.0,914.141,0,0.604127,0.604127,0.887444,0.65203,jodie_rnn
20,pipeline_smart,0.0,964.233,0,0.17909,0.17909,0.576288,0.65203,temporal_event_gnn_jodie
21,pipeline_smart,0.0,972.72,0,0.280688,0.280688,0.724862,0.65203,jodie_rnn
22,pipeline_smart,0.0,1038.304,0,0.489261,0.489261,0.851926,0.65203,jodie_rnn
23,pipeline_smart,0.0,1100.906,0,0.406758,0.406758,0.761881,0.65203,jodie_rnn
24,pipeline_smart,0.0,1137.571,0,0.393185,0.393185,0.832416,0.65203,jodie_rnn
25,pipeline_smart,0.0,1160.484,0,0.18452,0.18452,0.588794,0.65203,temporal_event_gnn_jodie
26,pipeline_smart,0.0,1343.961,0,0.161455,0.161455,0.50075,0.65203,temporal_event_gnn_jodie
