trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,0.0,52.504,0,0.162463,0.162463,0.543272,0.162463,temporal_event_gnn_jodie
1,pipeline_smart,0.0,94.4,0,0.234081,0.234081,0.686843,0.234081,temporal_event_gnn_jodie
2,pipeline_smart,0.0,140.73,0,0.382257,0.382257,0.784392,0.382257,jodie_rnn
3,pipeline_smart,0.0,199.223,0,0.176142,0.176142,0.587794,0.382257,temporal_event_gnn_jodie
4,pipeline_smart,0.0,203.916,0,0.65203,0.65203,0.914957,0.65203,jodie_rnn
5,pipeline_smart,0.0,247.001,0,0.337364,0.337364,0.769885,0.65203,temporal_event_gnn_jodie
6,pipeline_smart,0.0,294.028,0,0.323038,0.323038,0.722361,0.65203,temporal_event_gnn_jodie
7,pipeline_smart,0.0,341.311,0,0.160978,0.160978,0.518759,0.65203,temporal_event_gnn_jodie
8,pipeline_smart,0.0,396.941,0,0.304045,0.304045,0.745373,0.65203,jodie_rnn
9,pipeline_smart,0.0,407.948,0,0.141617,0.141617,0.508754,0.65203,temporal_event_gnn_jodie
10,pipeline_smart,0.0,541.333,0,0.363786,0.363786,0.795898,0.65203,jodie_rnn
11,pipeline_smart,0.0,728.523,0,0.646581,0.646581,0.914957,0.65203,jodie_rnn
12,pipeline_smart,0.0,744.551,0,0.296745,0.296745,0.715858,0.65203,temporal_event_gnn_jodie
13,pipeline_smart,0.0,917.558,0,0.302987,0.302987,0.697849,0.65203,jodie_rnn
14,pipeline_smart,0.0,944.138,0,0.531441,0.531441,0.909955,0.65203,jodie_rnn
15,pipeline_smart,0.0,1094.028,0,0.329721,0.329721,0.831916,0.65203,jodie_rnn
16,pipeline_smart,0.0,1145.483,0,0.524772,0.524772,0.91996,0.65203,jodie_rnn
17,pipeline_smart,0.0,1344.034,0,0.169819,0.169819,0.509255,0.65203,temporal_event_gnn_jodie
18,pipeline_smart,0.0,1354.761,0,0.280688,0.280688,0.724862,0.65203,jodie_rnn
19,pipeline_smart,0.0,1549.445,0,0.126603,0.126603,0.298149,0.65203,jodie_rnn
20,pipeline_smart,0.0,1695.174,0,0.159851,0.159851,0.547774,0.65203,temporal_event_gnn_jodie
21,pipeline_smart,0.0,1726.423,0,0.401427,0.401427,0.832416,0.65203,jodie_rnn
22,pipeline_smart,0.0,1916.571,0,0.238039,0.238039,0.670835,0.65203,temporal_event_gnn_jodie
23,pipeline_smart,0.0,1924.092,0,0.126603,0.126603,0.298149,0.65203,jodie_rnn
24,pipeline_smart,0.0,2099.75,0,0.344528,0.344528,0.801901,0.65203,jodie_rnn
25,pipeline_smart,0.0,2156.248,0,0.208311,0.208311,0.653327,0.65203,temporal_event_gnn_jodie
26,pipeline_smart,0.0,2329.194,0,0.246054,0.246054,0.710355,0.65203,temporal_event_gnn_jodie
