trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,0.0,213.813,0,0.65203,0.65203,0.914957,0.65203,jodie_rnn
1,pipeline_smart,0.0,244.427,0,0.162463,0.162463,0.543272,0.65203,temporal_event_gnn_jodie
2,pipeline_smart,0.0,429.482,0,0.382257,0.382257,0.784392,0.65203,jodie_rnn
3,pipeline_smart,0.0,455.33,0,0.234081,0.234081,0.686843,0.65203,temporal_event_gnn_jodie
4,pipeline_smart,0.0,777.304,0,0.176142,0.176142,0.587794,0.65203,temporal_event_gnn_jodie
5,pipeline_smart,0.0,798.904,0,0.337364,0.337364,0.769885,0.65203,temporal_event_gnn_jodie
6,pipeline_smart,0.0,1007.441,0,0.141617,0.141617,0.508754,0.65203,temporal_event_gnn_jodie
7,pipeline_smart,0.0,1142.42,0,0.323038,0.323038,0.722361,0.65203,temporal_event_gnn_jodie
8,pipeline_smart,0.0,1255.85,0,0.160978,0.160978,0.518759,0.65203,temporal_event_gnn_jodie
9,pipeline_smart,0.0,1351.394,0,0.304045,0.304045,0.745373,0.65203,jodie_rnn
10,pipeline_smart,0.0,1458.54,0,0.363786,0.363786,0.795898,0.65203,jodie_rnn
11,pipeline_smart,0.0,1657.854,0,0.646581,0.646581,0.914957,0.65203,jodie_rnn
12,pipeline_smart,0.0,1675.94,0,0.296745,0.296745,0.715858,0.65203,temporal_event_gnn_jodie
13,pipeline_smart,0.0,1858.43,0,0.302987,0.302987,0.697849,0.65203,jodie_rnn
14,pipeline_smart,0.0,1886.702,0,0.531441,0.531441,0.909955,0.65203,jodie_rnn
15,pipeline_smart,0.0,2062.631,0,0.329721,0.329721,0.831916,0.65203,jodie_rnn
16,pipeline_smart,0.0,2091.959,0,0.524772,0.524772,0.91996,0.65203,jodie_rnn
17,pipeline_smart,0.0,2298.0,0,0.169819,0.169819,0.509255,0.65203,temporal_event_gnn_jodie
18,pipeline_smart,0.0,2301.31,0,0.280688,0.280688,0.724862,0.65203,jodie_rnn
19,pipeline_smart,0.0,2474.334,0,0.126603,0.126603,0.298149,0.65203,jodie_rnn
20,pipeline_smart,0.0,2645.035,0,0.159851,0.159851,0.547774,0.65203,temporal_event_gnn_jodie
21,pipeline_smart,0.0,2660.834,0,0.401427,0.401427,0.832416,0.65203,jodie_rnn
22,pipeline_smart,0.0,2850.746,0,0.126603,0.126603,0.298149,0.65203,jodie_rnn
23,pipeline_smart,0.0,2881.592,0,0.238039,0.238039,0.670835,0.65203,temporal_event_gnn_jodie
24,pipeline_smart,0.0,3049.932,0,0.313065,0.313065,0.743372,0.65203,jodie_rnn
25,pipeline_smart,0.0,3081.266,0,0.619242,0.619242,0.895948,0.65203,jodie_rnn
26,pipeline_smart,0.0,3195.317,0,0.201764,0.201764,0.678339,0.65203,temporal_event_gnn_jodie
