trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,0.0,61.33,0,0.65203,0.65203,0.914957,0.65203,jodie_rnn
1,pipeline_smart,0.0,102.32,0,0.234081,0.234081,0.686843,0.65203,temporal_event_gnn_jodie
2,pipeline_smart,0.0,151.763,0,0.382257,0.382257,0.784392,0.65203,jodie_rnn
3,pipeline_smart,0.0,208.116,0,0.176142,0.176142,0.587794,0.65203,temporal_event_gnn_jodie
4,pipeline_smart,0.0,250.406,0,0.162463,0.162463,0.543272,0.65203,temporal_event_gnn_jodie
5,pipeline_smart,0.0,253.348,0,0.337364,0.337364,0.769885,0.65203,temporal_event_gnn_jodie
6,pipeline_smart,0.0,302.439,0,0.323038,0.323038,0.722361,0.65203,temporal_event_gnn_jodie
7,pipeline_smart,0.0,351.918,0,0.160978,0.160978,0.518759,0.65203,temporal_event_gnn_jodie
8,pipeline_smart,0.0,408.134,0,0.304045,0.304045,0.745373,0.65203,jodie_rnn
9,pipeline_smart,0.0,455.55,0,0.363786,0.363786,0.795898,0.65203,jodie_rnn
10,pipeline_smart,0.0,487.415,0,0.141617,0.141617,0.508754,0.65203,temporal_event_gnn_jodie
11,pipeline_smart,0.0,508.683,0,0.296745,0.296745,0.715858,0.65203,temporal_event_gnn_jodie
12,pipeline_smart,0.0,562.365,0,0.302987,0.302987,0.697849,0.65203,jodie_rnn
13,pipeline_smart,0.0,623.725,0,0.531441,0.531441,0.909955,0.65203,jodie_rnn
14,pipeline_smart,0.0,689.503,0,0.329721,0.329721,0.831916,0.65203,jodie_rnn
15,pipeline_smart,0.0,689.551,0,0.646581,0.646581,0.914957,0.65203,jodie_rnn
16,pipeline_smart,0.0,760.505,0,0.524772,0.524772,0.91996,0.65203,jodie_rnn
17,pipeline_smart,0.0,817.397,0,0.280688,0.280688,0.724862,0.65203,jodie_rnn
18,pipeline_smart,0.0,858.4,0,0.297499,0.297499,0.773387,0.65203,jodie_rnn
19,pipeline_smart,0.0,902.232,0,0.17657,0.17657,0.569785,0.65203,temporal_event_gnn_jodie
20,pipeline_smart,0.0,934.596,0,0.169819,0.169819,0.509255,0.65203,temporal_event_gnn_jodie
21,pipeline_smart,0.0,953.577,0,0.26016,0.26016,0.684842,0.65203,temporal_event_gnn_jodie
22,pipeline_smart,0.0,999.673,0,0.710892,0.710892,0.927464,0.710892,jodie_rnn
23,pipeline_smart,0.0,1061.495,0,0.165581,0.165581,0.552276,0.710892,temporal_event_gnn_jodie
24,pipeline_smart,0.0,1111.597,0,0.306818,0.306818,0.74037,0.710892,temporal_event_gnn_jodie
25,pipeline_smart,0.0,1128.045,0,0.126603,0.126603,0.298149,0.710892,jodie_rnn
26,pipeline_smart,0.0,1167.779,0,0.389693,0.389693,0.815408,0.710892,jodie_rnn
