trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,0.0,48.128,0,0.188751,0.188751,0.613307,0.188751,jodie_rnn
1,pipeline_smart,0.0,81.871,0,0.144627,0.144627,0.435218,0.188751,jodie_rnn
2,pipeline_smart,0.0,120.092,0,0.198268,0.198268,0.627314,0.198268,jodie_rnn
3,pipeline_smart,0.0,159.671,0,0.286647,0.286647,0.731366,0.286647,jodie_rnn
4,pipeline_smart,0.0,199.025,0,0.153771,0.153771,0.528764,0.286647,temporal_event_gnn_jodie
5,pipeline_smart,0.0,202.876,0,0.228421,0.228421,0.658829,0.286647,temporal_event_gnn_jodie
6,pipeline_smart,0.0,203.636,0,0.212599,0.212599,0.656328,0.286647,temporal_event_gnn_jodie
7,pipeline_smart,0.0,239.945,0,0.137618,0.137618,0.48024,0.286647,temporal_event_gnn_jodie
8,pipeline_smart,0.0,280.893,0,0.238492,0.238492,0.684342,0.286647,temporal_event_gnn_jodie
9,pipeline_smart,0.0,324.805,0,0.279157,0.279157,0.65933,0.286647,jodie_rnn
10,pipeline_smart,0.0,360.673,0,0.207594,0.207594,0.628814,0.286647,jodie_rnn
11,pipeline_smart,0.0,388.807,0,0.213341,0.213341,0.608804,0.286647,jodie_rnn
12,pipeline_smart,0.0,405.134,0,0.155859,0.155859,0.515258,0.286647,temporal_event_gnn_jodie
13,pipeline_smart,0.0,430.12,0,0.304136,0.304136,0.711356,0.304136,jodie_rnn
14,pipeline_smart,0.0,469.225,0,0.203246,0.203246,0.625813,0.304136,jodie_rnn
15,pipeline_smart,0.0,472.812,0,0.285301,0.285301,0.685843,0.304136,temporal_event_gnn_jodie
16,pipeline_smart,0.0,509.93,0,0.259054,0.259054,0.641321,0.304136,jodie_rnn
17,pipeline_smart,0.0,552.603,0,0.317683,0.317683,0.752876,0.317683,jodie_rnn
18,pipeline_smart,0.0,583.509,0,0.183094,0.183094,0.64032,0.317683,temporal_event_gnn_jodie
19,pipeline_smart,0.0,598.201,0,0.143394,0.143394,0.489245,0.317683,temporal_event_gnn_jodie
20,pipeline_smart,0.0,619.148,0,0.204231,0.204231,0.592796,0.317683,jodie_rnn
21,pipeline_smart,0.0,656.698,0,0.181811,0.181811,0.609305,0.317683,jodie_rnn
22,pipeline_smart,0.0,687.044,0,0.209424,0.209424,0.598799,0.317683,jodie_rnn
23,pipeline_smart,0.0,694.825,0,0.154381,0.154381,0.465733,0.317683,temporal_event_gnn_jodie
24,pipeline_smart,0.0,734.11,0,0.204726,0.204726,0.595298,0.317683,jodie_rnn
25,pipeline_smart,0.0,784.97,0,0.240338,0.240338,0.670835,0.317683,temporal_event_gnn_jodie
26,pipeline_smart,0.0,793.696,0,0.190482,0.190482,0.616808,0.317683,jodie_rnn
