trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.016,784.595,784.579,0.191659,0.191659,0.623312,0.191659,temporal_event_gnn_jodie
1,pipeline,0.016,784.595,784.579,0.178822,0.178822,0.54027,0.191659,temporal_event_gnn_jodie
2,pipeline,0.016,784.595,784.579,0.170057,0.170057,0.528764,0.191659,temporal_event_gnn_jodie
3,pipeline,784.611,1663.098,878.487,0.179179,0.179179,0.595298,0.191659,temporal_event_gnn_jodie
4,pipeline,784.611,1663.098,878.487,0.161968,0.161968,0.577289,0.191659,jodie_rnn
5,pipeline,784.611,1663.098,878.487,0.249649,0.249649,0.693347,0.249649,jodie_rnn
6,pipeline,1663.112,2352.341,689.228,0.216264,0.216264,0.592296,0.249649,jodie_rnn
7,pipeline,1663.112,2352.341,689.228,0.237991,0.237991,0.686843,0.249649,jodie_rnn
8,pipeline,1663.112,2352.341,689.228,0.173788,0.173788,0.546773,0.249649,temporal_event_gnn_jodie
9,pipeline,2352.355,3217.0,864.645,0.165362,0.165362,0.512756,0.249649,temporal_event_gnn_jodie
10,pipeline,2352.355,3217.0,864.645,0.196632,0.196632,0.622311,0.249649,temporal_event_gnn_jodie
11,pipeline,2352.355,3217.0,864.645,0.282554,0.282554,0.653327,0.282554,jodie_rnn
12,pipeline,3217.015,3867.744,650.728,0.235401,0.235401,0.627314,0.282554,jodie_rnn
13,pipeline,3217.015,3867.744,650.728,0.126603,0.126603,0.298149,0.282554,jodie_rnn
14,pipeline,3217.015,3867.744,650.728,0.175133,0.175133,0.522761,0.282554,temporal_event_gnn_jodie
15,pipeline,3867.767,4553.523,685.756,0.256956,0.256956,0.632316,0.282554,jodie_rnn
16,pipeline,3867.767,4553.523,685.756,0.184034,0.184034,0.58029,0.282554,temporal_event_gnn_jodie
17,pipeline,3867.767,4553.523,685.756,0.126603,0.126603,0.298149,0.282554,jodie_rnn
18,pipeline,4553.539,5198.352,644.813,0.185743,0.185743,0.615308,0.282554,temporal_event_gnn_jodie
19,pipeline,4553.539,5198.352,644.813,0.211479,0.211479,0.632316,0.282554,temporal_event_gnn_jodie
20,pipeline,4553.539,5198.352,644.813,0.292533,0.292533,0.753877,0.292533,jodie_rnn
21,pipeline,5198.375,5857.807,659.432,0.163236,0.163236,0.426213,0.292533,jodie_rnn
22,pipeline,5198.375,5857.807,659.432,0.188583,0.188583,0.609805,0.292533,jodie_rnn
23,pipeline,5198.375,5857.807,659.432,0.181338,0.181338,0.542771,0.292533,temporal_event_gnn_jodie
24,pipeline,5857.824,6475.806,617.982,0.168825,0.168825,0.521761,0.292533,temporal_event_gnn_jodie
25,pipeline,5857.824,6475.806,617.982,0.281664,0.281664,0.723862,0.292533,jodie_rnn
26,pipeline,5857.824,6475.806,617.982,0.164759,0.164759,0.543772,0.292533,temporal_event_gnn_jodie
