trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,data_parallel,0.04,170.159,170.119,0.076443,0.076443,0.204602,0.076443,temporal_event_gnn_jodie
1,data_parallel,170.18,350.326,180.145,0.119442,0.119442,0.357179,0.119442,jodie_rnn
2,data_parallel,350.39,532.967,182.577,0.480844,0.480844,0.901451,0.480844,jodie_rnn
3,data_parallel,533.055,722.953,189.898,0.443182,0.443182,0.835918,0.480844,jodie_rnn
4,data_parallel,722.975,891.612,168.638,0.087172,0.087172,0.221111,0.480844,temporal_event_gnn_jodie
5,data_parallel,891.661,1145.572,253.912,0.526594,0.526594,0.866433,0.526594,jodie_rnn
6,data_parallel,1145.603,1366.256,220.653,0.199202,0.199202,0.57929,0.526594,temporal_event_gnn_jodie
7,data_parallel,1366.271,1512.2,145.929,0.083173,0.083173,0.208604,0.526594,temporal_event_gnn_jodie
8,data_parallel,1512.216,1690.438,178.222,0.658507,0.658507,0.90095,0.658507,jodie_rnn
9,data_parallel,1690.456,1892.366,201.91,0.608439,0.608439,0.847924,0.658507,jodie_rnn
10,data_parallel,1892.386,2065.84,173.454,0.082724,0.082724,0.218609,0.658507,temporal_event_gnn_jodie
11,data_parallel,2065.862,2285.259,219.398,0.752288,0.752288,0.948474,0.752288,jodie_rnn
12,data_parallel,2285.291,2531.311,246.02,0.716676,0.716676,0.942471,0.752288,jodie_rnn
13,data_parallel,2531.35,2759.747,228.398,0.320481,0.320481,0.647324,0.752288,jodie_rnn
14,data_parallel,2759.777,2955.882,196.105,0.144633,0.144633,0.49975,0.752288,temporal_event_gnn_jodie
15,data_parallel,2955.912,3177.553,221.64,0.492342,0.492342,0.86043,0.752288,jodie_rnn
16,data_parallel,3177.569,3370.772,193.203,0.525831,0.525831,0.844422,0.752288,jodie_rnn
17,data_parallel,3370.818,3627.885,257.067,0.655058,0.655058,0.910955,0.752288,jodie_rnn
18,data_parallel,3627.899,3769.299,141.4,0.077706,0.077706,0.204102,0.752288,temporal_event_gnn_jodie
19,data_parallel,3769.316,3928.892,159.576,0.396485,0.396485,0.841421,0.752288,jodie_rnn
20,data_parallel,3928.911,4110.169,181.258,0.159706,0.159706,0.545773,0.752288,temporal_event_gnn_jodie
21,data_parallel,4110.199,4260.693,150.494,0.076109,0.076109,0.203602,0.752288,temporal_event_gnn_jodie
22,data_parallel,4260.721,4424.888,164.167,0.076665,0.076665,0.203602,0.752288,temporal_event_gnn_jodie
23,data_parallel,4424.934,4685.949,261.015,0.119442,0.119442,0.357179,0.752288,jodie_rnn
24,data_parallel,4685.982,4843.722,157.74,0.640037,0.640037,0.982991,0.752288,jodie_rnn
25,data_parallel,4843.751,5016.864,173.113,0.119442,0.119442,0.357179,0.752288,jodie_rnn
26,data_parallel,5016.889,5234.59,217.701,0.119442,0.119442,0.357179,0.752288,jodie_rnn
