trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.04,1569.803,1569.762,0.07615,0.07615,0.202601,0.07615,temporal_event_gnn_jodie
1,pipeline,0.04,1569.803,1569.762,0.246977,0.246977,0.715358,0.246977,jodie_rnn
2,pipeline,0.04,1569.803,1569.762,0.24441,0.24441,0.706853,0.246977,jodie_rnn
3,pipeline,0.04,1569.803,1569.762,0.168465,0.168465,0.521261,0.246977,temporal_event_gnn_jodie
4,pipeline,0.04,1569.803,1569.762,0.197788,0.197788,0.695348,0.246977,temporal_event_gnn_jodie
5,pipeline,0.04,1569.803,1569.762,0.589814,0.589814,0.875938,0.589814,jodie_rnn
6,pipeline,0.04,1569.803,1569.762,0.293375,0.293375,0.721361,0.589814,jodie_rnn
7,pipeline,0.04,1569.803,1569.762,0.203029,0.203029,0.624312,0.589814,temporal_event_gnn_jodie
8,pipeline,0.04,1569.803,1569.762,0.534298,0.534298,0.897449,0.589814,jodie_rnn
9,pipeline,1569.869,3196.024,1626.155,0.126603,0.126603,0.298149,0.589814,jodie_rnn
10,pipeline,1569.869,3196.024,1626.155,0.495185,0.495185,0.870935,0.589814,jodie_rnn
11,pipeline,1569.869,3196.024,1626.155,0.285282,0.285282,0.705853,0.589814,jodie_rnn
12,pipeline,1569.869,3196.024,1626.155,0.126603,0.126603,0.298149,0.589814,jodie_rnn
13,pipeline,1569.869,3196.024,1626.155,0.077304,0.077304,0.205603,0.589814,temporal_event_gnn_jodie
14,pipeline,1569.869,3196.024,1626.155,0.078372,0.078372,0.203602,0.589814,temporal_event_gnn_jodie
15,pipeline,1569.869,3196.024,1626.155,0.094888,0.094888,0.2006,0.589814,temporal_event_gnn_jodie
16,pipeline,1569.869,3196.024,1626.155,0.234284,0.234284,0.663832,0.589814,temporal_event_gnn_jodie
17,pipeline,1569.869,3196.024,1626.155,0.54892,0.54892,0.922461,0.589814,jodie_rnn
18,pipeline,3196.094,4821.365,1625.27,0.61498,0.61498,0.897449,0.61498,jodie_rnn
19,pipeline,3196.094,4821.365,1625.27,0.490146,0.490146,0.829415,0.61498,jodie_rnn
20,pipeline,3196.094,4821.365,1625.27,0.180081,0.180081,0.631316,0.61498,temporal_event_gnn_jodie
21,pipeline,3196.094,4821.365,1625.27,0.078784,0.078784,0.21911,0.61498,temporal_event_gnn_jodie
22,pipeline,3196.094,4821.365,1625.27,0.202352,0.202352,0.572786,0.61498,temporal_event_gnn_jodie
23,pipeline,3196.094,4821.365,1625.27,0.140888,0.140888,0.532766,0.61498,temporal_event_gnn_jodie
24,pipeline,3196.094,4821.365,1625.27,0.705962,0.705962,0.916958,0.705962,jodie_rnn
25,pipeline,3196.094,4821.365,1625.27,0.075022,0.075022,0.170585,0.705962,temporal_event_gnn_jodie
26,pipeline,3196.094,4821.365,1625.27,0.392491,0.392491,0.773887,0.705962,jodie_rnn
