rank,phase,eval_split,score,val_score,test_score,mrr,recall_at_k,params,time_sec,model,config_json
1,coarse_pipeline,val,0.6348719571411023,0.6348719571411023,0.5735143245537905,0.6348719571411023,0.8999499749874937,148352,0.0,jodie_rnn,"{""model"": ""jodie_rnn"", ""embedding_dim"": 64, ""hidden_dim"": 0, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 0, ""memory_cell"": ""rnn"", ""time_proj"": ""linear"", ""memory_gate"": ""off"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off"", ""use_static_embeddings"": ""on"", ""normalize_state"": ""on""}"
2,coarse_pipeline,val,0.6305825708604306,,,0.6305825708604306,0.9749874937468734,737024,0.0,jodie_rnn,"{""model"": ""jodie_rnn"", ""embedding_dim"": 128, ""hidden_dim"": 0, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 0, ""memory_cell"": ""gru"", ""time_proj"": ""linear"", ""memory_gate"": ""off"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off"", ""use_static_embeddings"": ""on"", ""normalize_state"": ""on""}"
3,coarse_pipeline,val,0.6170584398334685,,,0.6170584398334685,0.8924462231115557,9152,0.0,jodie_rnn,"{""model"": ""jodie_rnn"", ""embedding_dim"": 32, ""hidden_dim"": 0, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 0, ""memory_cell"": ""rnn"", ""time_proj"": ""linear"", ""memory_gate"": ""off"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off"", ""use_static_embeddings"": ""off"", ""normalize_state"": ""off""}"
4,coarse_pipeline,val,0.45689421657704005,,,0.45689421657704005,0.8564282141070535,29888,0.0,jodie_rnn,"{""model"": ""jodie_rnn"", ""embedding_dim"": 32, ""hidden_dim"": 0, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 0, ""memory_cell"": ""lstm"", ""time_proj"": ""linear"", ""memory_gate"": ""off"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off"", ""use_static_embeddings"": ""off"", ""normalize_state"": ""on""}"
5,coarse_pipeline,val,0.4339246470300216,,,0.4339246470300216,0.8589294647323662,233344,0.0,jodie_rnn,"{""model"": ""jodie_rnn"", ""embedding_dim"": 64, ""hidden_dim"": 0, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 0, ""memory_cell"": ""gru"", ""time_proj"": ""off"", ""memory_gate"": ""off"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off"", ""use_static_embeddings"": ""on"", ""normalize_state"": ""off""}"
6,coarse_pipeline,val,0.3119075657394543,,,0.3119075657394543,0.7868934467233617,439040,0.0,jodie_rnn,"{""model"": ""jodie_rnn"", ""embedding_dim"": 128, ""hidden_dim"": 0, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 0, ""memory_cell"": ""lstm"", ""time_proj"": ""off"", ""memory_gate"": ""off"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off"", ""use_static_embeddings"": ""off"", ""normalize_state"": ""off""}"
7,coarse_pipeline,val,0.30797060188224396,,,0.30797060188224396,0.6828414207103551,29888,0.0,jodie_rnn,"{""model"": ""jodie_rnn"", ""embedding_dim"": 32, ""hidden_dim"": 0, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 0, ""memory_cell"": ""lstm"", ""time_proj"": ""linear"", ""memory_gate"": ""off"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off"", ""use_static_embeddings"": ""off"", ""normalize_state"": ""off""}"
8,coarse_pipeline,val,0.29408357719591477,,,0.29408357719591477,0.7123561780890445,275840,0.0,jodie_rnn,"{""model"": ""jodie_rnn"", ""embedding_dim"": 64, ""hidden_dim"": 0, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 0, ""memory_cell"": ""lstm"", ""time_proj"": ""linear"", ""memory_gate"": ""off"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off"", ""use_static_embeddings"": ""on"", ""normalize_state"": ""off""}"
9,coarse_pipeline,val,0.28923785681797004,,,0.28923785681797004,0.6938469234617308,439040,0.0,jodie_rnn,"{""model"": ""jodie_rnn"", ""embedding_dim"": 128, ""hidden_dim"": 0, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 0, ""memory_cell"": ""lstm"", ""time_proj"": ""linear"", ""memory_gate"": ""off"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off"", ""use_static_embeddings"": ""off"", ""normalize_state"": ""off""}"
10,coarse_pipeline,val,0.2817112466938346,,,0.2817112466938346,0.7483741870935467,265601,0.0,temporal_event_gnn_jodie,"{""model"": ""temporal_event_gnn_jodie"", ""embedding_dim"": 128, ""hidden_dim"": 256, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 20, ""memory_cell"": ""rnn"", ""time_proj"": ""off"", ""memory_gate"": ""on"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""on"", ""message_mode"": ""peer"", ""msg_linear"": ""on"", ""use_static_embeddings"": ""off"", ""normalize_state"": ""off""}"
