trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,0.0,55.617,0,0.080977,0.080977,0.205603,0.080977,temporal_event_gnn_jodie
1,pipeline_smart,0.0,69.591,0,0.171287,0.171287,0.630815,0.171287,temporal_event_gnn_jodie
2,pipeline_smart,0.0,71.656,0,0.077477,0.077477,0.2006,0.171287,temporal_event_gnn_jodie
3,pipeline_smart,0.0,107.806,0,0.126603,0.126603,0.298149,0.171287,jodie_rnn
4,pipeline_smart,0.0,119.852,0,0.289238,0.289238,0.693847,0.289238,jodie_rnn
5,pipeline_smart,0.0,150.052,0,0.186953,0.186953,0.626813,0.289238,temporal_event_gnn_jodie
6,pipeline_smart,0.0,154.408,0,0.188436,0.188436,0.634317,0.289238,temporal_event_gnn_jodie
7,pipeline_smart,0.0,163.288,0,0.07955,0.07955,0.203602,0.289238,temporal_event_gnn_jodie
8,pipeline_smart,0.0,192.059,0,0.311908,0.311908,0.786893,0.311908,jodie_rnn
9,pipeline_smart,0.0,197.901,0,0.433925,0.433925,0.858929,0.433925,jodie_rnn
10,pipeline_smart,0.0,242.583,0,0.153988,0.153988,0.470235,0.433925,temporal_event_gnn_jodie
11,pipeline_smart,0.0,255.4,0,0.188337,0.188337,0.638819,0.433925,temporal_event_gnn_jodie
12,pipeline_smart,0.0,257.535,0,0.163971,0.163971,0.606803,0.433925,temporal_event_gnn_jodie
13,pipeline_smart,0.0,300.617,0,0.174502,0.174502,0.529765,0.433925,temporal_event_gnn_jodie
14,pipeline_smart,0.0,319.945,0,0.179884,0.179884,0.606803,0.433925,temporal_event_gnn_jodie
15,pipeline_smart,0.0,345.353,0,0.126603,0.126603,0.298149,0.433925,jodie_rnn
16,pipeline_smart,0.0,381.941,0,0.294084,0.294084,0.712356,0.433925,jodie_rnn
17,pipeline_smart,0.0,388.821,0,0.630583,0.630583,0.974987,0.630583,jodie_rnn
18,pipeline_smart,0.0,411.612,0,0.634872,0.634872,0.89995,0.634872,jodie_rnn
19,pipeline_smart,0.0,433.74,0,0.617058,0.617058,0.892446,0.634872,jodie_rnn
20,pipeline_smart,0.0,481.529,0,0.307971,0.307971,0.682841,0.634872,jodie_rnn
21,pipeline_smart,0.0,481.956,0,0.281711,0.281711,0.748374,0.634872,temporal_event_gnn_jodie
22,pipeline_smart,0.0,527.588,0,0.23485,0.23485,0.688844,0.634872,temporal_event_gnn_jodie
23,pipeline_smart,0.0,530.037,0,0.456894,0.456894,0.856428,0.634872,jodie_rnn
24,pipeline_smart,0.0,570.604,0,0.190278,0.190278,0.609305,0.634872,temporal_event_gnn_jodie
25,pipeline_smart,0.0,571.444,0,0.126603,0.126603,0.298149,0.634872,jodie_rnn
26,pipeline_smart,0.0,715.287,0,0.189537,0.189537,0.625313,0.634872,temporal_event_gnn_jodie
