trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.008,221.249,221.242,0.077041,0.077041,0.204602,0.077041,temporal_event_gnn_jodie
1,serial,221.258,370.598,149.341,0.078204,0.078204,0.197099,0.078204,temporal_event_gnn_jodie
2,serial,370.608,582.44,211.832,0.335616,0.335616,0.789895,0.335616,jodie_rnn
3,serial,582.45,773.21,190.76,0.769399,0.769399,0.98099,0.769399,jodie_rnn
4,serial,773.219,988.646,215.427,0.186208,0.186208,0.654827,0.769399,temporal_event_gnn_jodie
5,serial,988.656,1157.165,168.508,0.076435,0.076435,0.203102,0.769399,temporal_event_gnn_jodie
6,serial,1157.172,1473.252,316.08,0.077088,0.077088,0.217109,0.769399,temporal_event_gnn_jodie
7,serial,1473.261,1633.088,159.827,0.425989,0.425989,0.855428,0.769399,jodie_rnn
8,serial,1633.115,1860.567,227.452,0.39296,0.39296,0.78089,0.769399,jodie_rnn
9,serial,1860.576,2110.498,249.922,0.564174,0.564174,0.903952,0.769399,jodie_rnn
10,serial,2110.508,2368.576,258.068,0.365722,0.365722,0.826913,0.769399,jodie_rnn
11,serial,2368.583,2638.048,269.465,0.237469,0.237469,0.674337,0.769399,temporal_event_gnn_jodie
12,serial,2638.062,2816.547,178.485,0.222306,0.222306,0.63932,0.769399,temporal_event_gnn_jodie
13,serial,2816.554,2984.403,167.849,0.568676,0.568676,0.876438,0.769399,jodie_rnn
14,serial,2984.412,3097.378,112.967,0.209587,0.209587,0.626313,0.769399,temporal_event_gnn_jodie
15,serial,3097.385,3187.767,90.382,0.812464,0.812464,0.989995,0.812464,jodie_rnn
16,serial,3187.775,3293.307,105.532,0.38785,0.38785,0.827914,0.812464,jodie_rnn
17,serial,3293.316,3405.375,112.059,0.321118,0.321118,0.775888,0.812464,jodie_rnn
18,serial,3405.384,3533.125,127.741,0.177253,0.177253,0.616308,0.812464,temporal_event_gnn_jodie
19,serial,3533.143,3628.248,95.105,0.218915,0.218915,0.645323,0.812464,temporal_event_gnn_jodie
20,serial,3628.26,3753.426,125.166,0.200177,0.200177,0.662331,0.812464,temporal_event_gnn_jodie
21,serial,3753.433,3866.562,113.129,0.126603,0.126603,0.298149,0.812464,jodie_rnn
22,serial,3866.572,4036.32,169.748,0.646635,0.646635,0.967484,0.812464,jodie_rnn
23,serial,4036.332,4160.903,124.571,0.077998,0.077998,0.208104,0.812464,temporal_event_gnn_jodie
24,serial,4160.91,4326.069,165.159,0.170338,0.170338,0.608804,0.812464,temporal_event_gnn_jodie
25,serial,4326.077,4453.227,127.15,0.126603,0.126603,0.298149,0.812464,jodie_rnn
26,serial,4453.239,4604.279,151.04,0.644281,0.644281,0.918959,0.812464,jodie_rnn
