trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,data_parallel,0.023,497.682,497.659,0.488817,0.488817,0.901951,0.488817,jodie_rnn
1,data_parallel,497.694,980.751,483.057,0.348097,0.348097,0.774887,0.488817,jodie_rnn
2,data_parallel,980.767,1454.732,473.965,0.822945,0.822945,0.991996,0.822945,jodie_rnn
3,data_parallel,1454.774,2024.414,569.64,0.424698,0.424698,0.836418,0.822945,jodie_rnn
4,data_parallel,2024.427,2556.892,532.465,0.119442,0.119442,0.357179,0.822945,jodie_rnn
5,data_parallel,2556.905,2970.285,413.38,0.365309,0.365309,0.709855,0.822945,jodie_rnn
6,data_parallel,2970.322,3430.858,460.536,0.119442,0.119442,0.357179,0.822945,jodie_rnn
7,data_parallel,3430.872,3820.739,389.868,0.639,0.639,0.967484,0.822945,jodie_rnn
8,data_parallel,3820.759,4222.019,401.26,0.399422,0.399422,0.798899,0.822945,jodie_rnn
9,data_parallel,4222.034,4620.899,398.865,0.119442,0.119442,0.357179,0.822945,jodie_rnn
10,data_parallel,4620.949,5133.121,512.171,0.524207,0.524207,0.887444,0.822945,jodie_rnn
11,data_parallel,5133.129,5509.419,376.29,0.562679,0.562679,0.902951,0.822945,jodie_rnn
12,data_parallel,5509.437,5953.474,444.037,0.573579,0.573579,0.867434,0.822945,jodie_rnn
13,data_parallel,5953.499,6364.315,410.816,0.333262,0.333262,0.735868,0.822945,jodie_rnn
14,data_parallel,6364.352,6843.001,478.649,0.658677,0.658677,0.942971,0.822945,jodie_rnn
15,data_parallel,6843.03,7316.322,473.292,0.687724,0.687724,0.934967,0.822945,jodie_rnn
16,data_parallel,7316.393,7734.597,418.205,0.759764,0.759764,0.948474,0.822945,jodie_rnn
17,data_parallel,7734.702,8164.441,429.739,0.634529,0.634529,0.89995,0.822945,jodie_rnn
18,data_parallel,8164.462,8606.62,442.158,0.731618,0.731618,0.930965,0.822945,jodie_rnn
19,data_parallel,8606.634,9031.519,424.885,0.405975,0.405975,0.822911,0.822945,jodie_rnn
20,data_parallel,9031.529,9450.356,418.826,0.657798,0.657798,0.914957,0.822945,jodie_rnn
21,data_parallel,9450.375,9901.542,451.167,0.384311,0.384311,0.761381,0.822945,jodie_rnn
22,data_parallel,9901.556,10352.022,450.466,0.353783,0.353783,0.745373,0.822945,jodie_rnn
23,data_parallel,10352.046,10809.766,457.72,0.657323,0.657323,0.897949,0.822945,jodie_rnn
24,data_parallel,10809.787,11109.148,299.361,0.507665,0.507665,0.867934,0.822945,jodie_rnn
25,data_parallel,11109.162,11292.107,182.945,0.413424,0.413424,0.82041,0.822945,jodie_rnn
26,data_parallel,11292.137,11471.279,179.142,0.499338,0.499338,0.867934,0.822945,jodie_rnn
