trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.01,233.56,233.55,0.627588,0.627588,0.895448,0.627588,jodie_rnn
1,pipeline,0.01,233.56,233.55,0.126603,0.126603,0.298149,0.627588,jodie_rnn
0,pipeline,0.007,408.467,408.459,0.625641,0.625641,0.894447,0.625641,jodie_rnn
1,pipeline,0.007,408.467,408.459,0.126603,0.126603,0.298149,0.625641,jodie_rnn
2,pipeline,233.575,465.328,231.753,0.258616,0.258616,0.665333,0.627588,jodie_rnn
3,pipeline,233.575,465.328,231.753,0.353256,0.353256,0.774387,0.627588,jodie_rnn
4,pipeline,465.334,820.256,354.922,0.126603,0.126603,0.298149,0.627588,jodie_rnn
5,pipeline,465.334,820.256,354.922,0.330701,0.330701,0.703352,0.627588,jodie_rnn
2,pipeline,408.476,938.441,529.965,0.258616,0.258616,0.665333,0.625641,jodie_rnn
3,pipeline,408.476,938.441,529.965,0.353064,0.353064,0.774387,0.625641,jodie_rnn
6,pipeline,820.262,1091.693,271.43,0.228982,0.228982,0.705853,0.627588,jodie_rnn
7,pipeline,820.262,1091.693,271.43,0.566559,0.566559,0.921961,0.627588,jodie_rnn
4,pipeline,938.45,1315.282,376.832,0.126603,0.126603,0.298149,0.625641,jodie_rnn
5,pipeline,938.45,1315.282,376.832,0.336671,0.336671,0.706853,0.625641,jodie_rnn
8,pipeline,1091.699,1380.718,289.019,0.564259,0.564259,0.921461,0.627588,jodie_rnn
9,pipeline,1091.699,1380.718,289.019,0.595244,0.595244,0.931466,0.627588,jodie_rnn
10,pipeline,1380.726,1572.127,191.401,0.636746,0.636746,0.893447,0.636746,jodie_rnn
11,pipeline,1380.726,1572.127,191.401,0.33418,0.33418,0.771886,0.636746,jodie_rnn
6,pipeline,1315.291,1699.202,383.911,0.233714,0.233714,0.697349,0.625641,jodie_rnn
7,pipeline,1315.291,1699.202,383.911,0.576512,0.576512,0.933467,0.625641,jodie_rnn
12,pipeline,1572.133,1788.347,216.213,0.278891,0.278891,0.695848,0.636746,jodie_rnn
13,pipeline,1572.133,1788.347,216.213,0.701541,0.701541,0.925463,0.701541,jodie_rnn
8,pipeline,1699.208,2111.669,412.461,0.58197,0.58197,0.931966,0.625641,jodie_rnn
9,pipeline,1699.208,2111.669,412.461,0.598435,0.598435,0.937469,0.625641,jodie_rnn
14,pipeline,1788.355,2014.106,225.751,0.333067,0.333067,0.730865,0.701541,jodie_rnn
15,pipeline,1788.355,2014.106,225.751,0.25707,0.25707,0.688844,0.701541,jodie_rnn
16,pipeline,2014.113,2254.674,240.562,0.678765,0.678765,0.936968,0.701541,jodie_rnn
17,pipeline,2014.113,2254.674,240.562,0.307936,0.307936,0.707354,0.701541,jodie_rnn
10,pipeline,2111.68,2383.243,271.563,0.653845,0.653845,0.889945,0.653845,jodie_rnn
11,pipeline,2111.68,2383.243,271.563,0.335263,0.335263,0.771886,0.653845,jodie_rnn
18,pipeline,2254.685,2462.848,208.163,0.298225,0.298225,0.714857,0.701541,jodie_rnn
19,pipeline,2254.685,2462.848,208.163,0.660966,0.660966,0.906953,0.701541,jodie_rnn
12,pipeline,2383.254,2706.962,323.707,0.277819,0.277819,0.694347,0.653845,jodie_rnn
13,pipeline,2383.254,2706.962,323.707,0.717609,0.717609,0.929965,0.717609,jodie_rnn
20,pipeline,2462.856,2630.112,167.256,0.48062,0.48062,0.864432,0.701541,jodie_rnn
21,pipeline,2462.856,2630.112,167.256,0.840917,0.840917,0.992496,0.840917,jodie_rnn
22,pipeline,2630.125,2868.089,237.964,0.126603,0.126603,0.298149,0.840917,jodie_rnn
23,pipeline,2630.125,2868.089,237.964,0.294334,0.294334,0.724362,0.840917,jodie_rnn
14,pipeline,2706.969,3051.676,344.707,0.33462,0.33462,0.733867,0.717609,jodie_rnn
15,pipeline,2706.969,3051.676,344.707,0.25707,0.25707,0.688844,0.717609,jodie_rnn
24,pipeline,2868.108,3124.295,256.187,0.126603,0.126603,0.298149,0.840917,jodie_rnn
25,pipeline,2868.108,3124.295,256.187,0.479412,0.479412,0.877439,0.840917,jodie_rnn
26,pipeline,3124.305,3284.809,160.504,0.318668,0.318668,0.711356,0.840917,jodie_rnn
16,pipeline,3051.689,3411.387,359.698,0.675707,0.675707,0.938469,0.717609,jodie_rnn
17,pipeline,3051.689,3411.387,359.698,0.307953,0.307953,0.707354,0.717609,jodie_rnn
18,pipeline,3411.399,3714.652,303.253,0.298225,0.298225,0.714857,0.717609,jodie_rnn
19,pipeline,3411.399,3714.652,303.253,0.680787,0.680787,0.915958,0.717609,jodie_rnn
20,pipeline,3714.672,3994.61,279.938,0.480839,0.480839,0.865433,0.717609,jodie_rnn
21,pipeline,3714.672,3994.61,279.938,0.84092,0.84092,0.992496,0.84092,jodie_rnn
22,pipeline,3994.616,4334.78,340.163,0.126603,0.126603,0.298149,0.84092,jodie_rnn
23,pipeline,3994.616,4334.78,340.163,0.292789,0.292789,0.723862,0.84092,jodie_rnn
24,pipeline,4334.792,4712.32,377.527,0.126603,0.126603,0.298149,0.84092,jodie_rnn
25,pipeline,4334.792,4712.32,377.527,0.48586,0.48586,0.866933,0.84092,jodie_rnn
26,pipeline,4712.33,4864.66,152.329,0.316497,0.316497,0.707854,0.84092,jodie_rnn
