trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,0.0,61.104,0,0.126603,0.126603,0.298149,0.126603,jodie_rnn
1,pipeline_smart,0.0,66.169,0,0.588077,0.588077,0.894947,0.588077,jodie_rnn
2,pipeline_smart,0.0,71.073,0,0.497704,0.497704,0.913457,0.588077,jodie_rnn
3,pipeline_smart,0.0,113.83,0,0.666865,0.666865,0.913457,0.666865,jodie_rnn
4,pipeline_smart,0.0,115.757,0,0.36396,0.36396,0.787394,0.666865,jodie_rnn
5,pipeline_smart,0.0,121.879,0,0.28351,0.28351,0.707354,0.666865,jodie_rnn
6,pipeline_smart,0.0,160.708,0,0.318417,0.318417,0.782891,0.666865,jodie_rnn
7,pipeline_smart,0.0,181.177,0,0.299007,0.299007,0.728364,0.666865,jodie_rnn
8,pipeline_smart,0.0,190.729,0,0.342219,0.342219,0.732366,0.666865,jodie_rnn
9,pipeline_smart,0.0,233.854,0,0.260361,0.260361,0.656328,0.666865,jodie_rnn
10,pipeline_smart,0.0,254.806,0,0.126603,0.126603,0.298149,0.666865,jodie_rnn
11,pipeline_smart,0.0,254.878,0,0.724774,0.724774,0.944472,0.724774,jodie_rnn
12,pipeline_smart,0.0,291.744,0,0.81468,0.81468,0.988494,0.81468,jodie_rnn
13,pipeline_smart,0.0,315.59,0,0.405821,0.405821,0.830415,0.81468,jodie_rnn
14,pipeline_smart,0.0,321.766,0,0.69672,0.69672,0.943472,0.81468,jodie_rnn
15,pipeline_smart,0.0,352.605,0,0.126603,0.126603,0.298149,0.81468,jodie_rnn
16,pipeline_smart,0.0,381.213,0,0.630256,0.630256,0.898449,0.81468,jodie_rnn
17,pipeline_smart,0.0,387.316,0,0.569037,0.569037,0.915458,0.81468,jodie_rnn
18,pipeline_smart,0.0,429.986,0,0.251958,0.251958,0.695848,0.81468,jodie_rnn
19,pipeline_smart,0.0,456.463,0,0.547019,0.547019,0.863932,0.81468,jodie_rnn
20,pipeline_smart,0.0,457.852,0,0.616023,0.616023,0.898949,0.81468,jodie_rnn
21,pipeline_smart,0.0,506.117,0,0.365619,0.365619,0.685843,0.81468,jodie_rnn
22,pipeline_smart,0.0,531.895,0,0.622067,0.622067,0.887444,0.81468,jodie_rnn
23,pipeline_smart,0.0,544.682,0,0.48173,0.48173,0.855928,0.81468,jodie_rnn
24,pipeline_smart,0.0,576.658,0,0.312421,0.312421,0.712356,0.81468,jodie_rnn
25,pipeline_smart,0.0,595.22,0,0.602651,0.602651,0.924962,0.81468,jodie_rnn
26,pipeline_smart,0.0,625.038,0,0.535728,0.535728,0.887944,0.81468,jodie_rnn
