trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.005,546.59,546.584,0.588249,0.588249,0.897449,0.588249,jodie_rnn
1,serial,546.595,1094.832,548.238,0.694347,0.694347,0.921961,0.694347,jodie_rnn
2,serial,1094.839,1652.224,557.386,0.479681,0.479681,0.857429,0.694347,jodie_rnn
3,serial,1652.229,2204.8,552.571,0.126603,0.126603,0.298149,0.694347,jodie_rnn
4,serial,2204.805,2737.898,533.094,0.605018,0.605018,0.926463,0.694347,jodie_rnn
5,serial,2737.903,3316.455,578.552,0.440227,0.440227,0.8009,0.694347,jodie_rnn
6,serial,3316.459,3851.46,535.001,0.605349,0.605349,0.873437,0.694347,jodie_rnn
7,serial,3851.468,4414.426,562.958,0.402571,0.402571,0.753377,0.694347,jodie_rnn
8,serial,4414.432,4941.07,526.638,0.314964,0.314964,0.784892,0.694347,jodie_rnn
9,serial,4941.075,5496.327,555.252,0.627261,0.627261,0.887444,0.694347,jodie_rnn
10,serial,5496.331,6075.371,579.04,0.601166,0.601166,0.861431,0.694347,jodie_rnn
11,serial,6075.376,6607.48,532.105,0.126603,0.126603,0.298149,0.694347,jodie_rnn
12,serial,6607.485,7180.276,572.791,0.659734,0.659734,0.935968,0.694347,jodie_rnn
13,serial,7180.282,7747.682,567.401,0.301415,0.301415,0.731366,0.694347,jodie_rnn
14,serial,7747.688,8315.553,567.865,0.501011,0.501011,0.90095,0.694347,jodie_rnn
15,serial,8315.559,8860.368,544.809,0.388666,0.388666,0.81941,0.694347,jodie_rnn
16,serial,8860.372,9402.117,541.745,0.339822,0.339822,0.777389,0.694347,jodie_rnn
17,serial,9402.122,9987.18,585.058,0.442319,0.442319,0.824912,0.694347,jodie_rnn
18,serial,9987.186,10504.837,517.651,0.855541,0.855541,0.994997,0.855541,jodie_rnn
19,serial,10504.844,11043.677,538.834,0.485094,0.485094,0.850425,0.855541,jodie_rnn
20,serial,11043.683,11603.145,559.462,0.292626,0.292626,0.702351,0.855541,jodie_rnn
21,serial,11603.152,12157.202,554.051,0.344215,0.344215,0.726863,0.855541,jodie_rnn
22,serial,12157.206,12698.296,541.09,0.572538,0.572538,0.915958,0.855541,jodie_rnn
23,serial,12698.301,13242.766,544.465,0.404523,0.404523,0.804902,0.855541,jodie_rnn
24,serial,13242.769,13838.179,595.409,0.593509,0.593509,0.921961,0.855541,jodie_rnn
25,serial,13838.2,14410.802,572.601,0.390653,0.390653,0.796898,0.855541,jodie_rnn
26,serial,14410.824,14998.648,587.824,0.694867,0.694867,0.952976,0.855541,jodie_rnn
