trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,data_parallel,0.042,187.725,187.683,0.499005,0.499005,0.893447,0.499005,jodie_rnn
1,data_parallel,187.738,351.157,163.418,0.346706,0.346706,0.766883,0.499005,jodie_rnn
2,data_parallel,351.167,505.599,154.432,0.814204,0.814204,0.991996,0.814204,jodie_rnn
3,data_parallel,505.641,731.58,225.939,0.415668,0.415668,0.821911,0.814204,jodie_rnn
4,data_parallel,731.601,914.073,182.472,0.119442,0.119442,0.357179,0.814204,jodie_rnn
5,data_parallel,914.09,1094.348,180.257,0.378127,0.378127,0.743372,0.814204,jodie_rnn
6,data_parallel,1094.395,1321.714,227.319,0.119442,0.119442,0.357179,0.814204,jodie_rnn
7,data_parallel,1321.729,1487.379,165.65,0.642213,0.642213,0.965483,0.814204,jodie_rnn
8,data_parallel,1487.397,1676.663,189.266,0.409078,0.409078,0.812906,0.814204,jodie_rnn
9,data_parallel,1676.673,1843.596,166.922,0.119442,0.119442,0.357179,0.814204,jodie_rnn
10,data_parallel,1843.636,2105.54,261.904,0.52018,0.52018,0.898949,0.814204,jodie_rnn
11,data_parallel,2105.547,2273.831,168.284,0.532244,0.532244,0.902451,0.814204,jodie_rnn
12,data_parallel,2273.864,2420.678,146.814,0.597514,0.597514,0.896448,0.814204,jodie_rnn
13,data_parallel,2420.712,2563.318,142.606,0.329258,0.329258,0.724362,0.814204,jodie_rnn
14,data_parallel,2563.359,2803.844,240.486,0.67684,0.67684,0.921961,0.814204,jodie_rnn
15,data_parallel,2803.872,3035.489,231.617,0.6773,0.6773,0.926963,0.814204,jodie_rnn
16,data_parallel,3035.501,3228.65,193.149,0.764858,0.764858,0.950475,0.814204,jodie_rnn
17,data_parallel,3228.667,3426.228,197.56,0.558059,0.558059,0.853427,0.814204,jodie_rnn
18,data_parallel,3426.246,3625.092,198.846,0.736896,0.736896,0.933967,0.814204,jodie_rnn
19,data_parallel,3625.103,3802.875,177.772,0.417739,0.417739,0.812406,0.814204,jodie_rnn
20,data_parallel,3802.885,3986.869,183.983,0.658263,0.658263,0.913957,0.814204,jodie_rnn
21,data_parallel,3986.89,4193.752,206.862,0.370589,0.370589,0.753377,0.814204,jodie_rnn
22,data_parallel,4193.765,4385.868,192.103,0.348663,0.348663,0.736868,0.814204,jodie_rnn
23,data_parallel,4385.888,4594.399,208.511,0.64478,0.64478,0.901451,0.814204,jodie_rnn
24,data_parallel,4594.429,4819.018,224.589,0.52611,0.52611,0.887944,0.814204,jodie_rnn
25,data_parallel,4819.031,5010.227,191.196,0.412299,0.412299,0.814407,0.814204,jodie_rnn
26,data_parallel,5010.257,5194.674,184.417,0.509231,0.509231,0.865933,0.814204,jodie_rnn
27,data_parallel,5194.705,5340.051,145.346,0.863658,0.863658,0.962981,0.863658,jodie_rnn
28,data_parallel,5340.07,5525.424,185.354,0.506814,0.506814,0.870935,0.863658,jodie_rnn
29,data_parallel,5525.451,5719.985,194.534,0.119442,0.119442,0.357179,0.863658,jodie_rnn
30,data_parallel,5719.998,5906.034,186.036,0.479792,0.479792,0.801901,0.863658,jodie_rnn
31,data_parallel,5906.048,6082.844,176.796,0.329454,0.329454,0.762881,0.863658,jodie_rnn
32,data_parallel,6082.857,6287.873,205.016,0.482544,0.482544,0.846923,0.863658,jodie_rnn
33,data_parallel,6287.913,6504.424,216.511,0.478469,0.478469,0.834417,0.863658,jodie_rnn
34,data_parallel,6504.435,6684.51,180.076,0.497166,0.497166,0.888444,0.863658,jodie_rnn
35,data_parallel,6684.551,6924.201,239.65,0.519644,0.519644,0.866433,0.863658,jodie_rnn
36,data_parallel,6924.223,7099.828,175.606,0.352231,0.352231,0.831916,0.863658,jodie_rnn
37,data_parallel,7099.841,7271.433,171.592,0.557763,0.557763,0.906453,0.863658,jodie_rnn
38,data_parallel,7271.454,7469.36,197.905,0.395461,0.395461,0.730365,0.863658,jodie_rnn
39,data_parallel,7469.381,7683.788,214.407,0.698227,0.698227,0.925463,0.863658,jodie_rnn
40,data_parallel,7683.804,7874.491,190.687,0.51736,0.51736,0.862931,0.863658,jodie_rnn
41,data_parallel,7874.509,8045.36,170.851,0.411383,0.411383,0.855928,0.863658,jodie_rnn
42,data_parallel,8045.379,8172.272,126.894,0.499612,0.499612,0.910455,0.863658,jodie_rnn
43,data_parallel,8172.31,8365.034,192.723,0.416477,0.416477,0.763882,0.863658,jodie_rnn
44,data_parallel,8365.058,8572.532,207.474,0.488405,0.488405,0.863432,0.863658,jodie_rnn
45,data_parallel,8572.544,8772.386,199.843,0.305787,0.305787,0.669335,0.863658,jodie_rnn
46,data_parallel,8772.414,8981.899,209.484,0.479208,0.479208,0.912956,0.863658,jodie_rnn
47,data_parallel,8981.93,9207.66,225.729,0.497292,0.497292,0.889445,0.863658,jodie_rnn
48,data_parallel,9207.674,9392.362,184.688,0.349771,0.349771,0.775888,0.863658,jodie_rnn
49,data_parallel,9392.38,9574.746,182.366,0.591774,0.591774,0.931466,0.863658,jodie_rnn
