trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.007,149.47,149.463,0.199486,0.199486,0.675338,0.199486,jodie_rnn
1,pipeline,0.007,149.47,149.463,0.126603,0.126603,0.298149,0.199486,jodie_rnn
2,pipeline,149.479,304.463,154.984,0.373108,0.373108,0.733867,0.373108,jodie_rnn
3,pipeline,149.479,304.463,154.984,0.225624,0.225624,0.703852,0.373108,jodie_rnn
4,pipeline,304.47,454.327,149.857,0.298887,0.298887,0.703852,0.373108,jodie_rnn
5,pipeline,304.47,454.327,149.857,0.126603,0.126603,0.298149,0.373108,jodie_rnn
6,pipeline,454.336,630.026,175.69,0.679053,0.679053,0.947974,0.679053,jodie_rnn
7,pipeline,454.336,630.026,175.69,0.508222,0.508222,0.875938,0.679053,jodie_rnn
8,pipeline,630.04,823.444,193.405,0.405336,0.405336,0.763882,0.679053,jodie_rnn
9,pipeline,630.04,823.444,193.405,0.67807,0.67807,0.958979,0.679053,jodie_rnn
10,pipeline,823.452,998.245,174.794,0.237918,0.237918,0.698349,0.679053,jodie_rnn
11,pipeline,823.452,998.245,174.794,0.661026,0.661026,0.943972,0.679053,jodie_rnn
12,pipeline,998.259,1153.563,155.304,0.265785,0.265785,0.714857,0.679053,jodie_rnn
13,pipeline,998.259,1153.563,155.304,0.305548,0.305548,0.703852,0.679053,jodie_rnn
14,pipeline,1153.577,1330.641,177.064,0.479445,0.479445,0.841921,0.679053,jodie_rnn
15,pipeline,1153.577,1330.641,177.064,0.307211,0.307211,0.716858,0.679053,jodie_rnn
16,pipeline,1330.652,1519.574,188.923,0.644568,0.644568,0.942471,0.679053,jodie_rnn
17,pipeline,1330.652,1519.574,188.923,0.737953,0.737953,0.931466,0.737953,jodie_rnn
18,pipeline,1519.583,1714.629,195.046,0.207251,0.207251,0.712356,0.737953,jodie_rnn
19,pipeline,1519.583,1714.629,195.046,0.440968,0.440968,0.813407,0.737953,jodie_rnn
20,pipeline,1714.657,1889.32,174.663,0.705035,0.705035,0.961481,0.737953,jodie_rnn
21,pipeline,1714.657,1889.32,174.663,0.430258,0.430258,0.801901,0.737953,jodie_rnn
22,pipeline,1889.335,2026.741,137.406,0.337348,0.337348,0.755378,0.737953,jodie_rnn
23,pipeline,1889.335,2026.741,137.406,0.126603,0.126603,0.298149,0.737953,jodie_rnn
24,pipeline,2026.746,2133.852,107.106,0.45822,0.45822,0.856428,0.737953,jodie_rnn
25,pipeline,2026.746,2133.852,107.106,0.650961,0.650961,0.935468,0.737953,jodie_rnn
26,pipeline,2133.86,2286.36,152.5,0.265194,0.265194,0.70035,0.737953,jodie_rnn
27,pipeline,2133.86,2286.36,152.5,0.273108,0.273108,0.638819,0.737953,jodie_rnn
28,pipeline,2286.379,2462.949,176.57,0.311919,0.311919,0.683842,0.737953,jodie_rnn
29,pipeline,2286.379,2462.949,176.57,0.586953,0.586953,0.916958,0.737953,jodie_rnn
30,pipeline,2462.964,2649.64,186.676,0.563407,0.563407,0.895448,0.737953,jodie_rnn
31,pipeline,2462.964,2649.64,186.676,0.342641,0.342641,0.724862,0.737953,jodie_rnn
32,pipeline,2649.66,2815.817,166.157,0.277783,0.277783,0.67934,0.737953,jodie_rnn
33,pipeline,2649.66,2815.817,166.157,0.629402,0.629402,0.903952,0.737953,jodie_rnn
34,pipeline,2815.85,2995.898,180.049,0.519224,0.519224,0.877439,0.737953,jodie_rnn
35,pipeline,2815.85,2995.898,180.049,0.126603,0.126603,0.298149,0.737953,jodie_rnn
36,pipeline,2995.921,3127.587,131.666,0.343316,0.343316,0.74087,0.737953,jodie_rnn
37,pipeline,2995.921,3127.587,131.666,0.337853,0.337853,0.725863,0.737953,jodie_rnn
38,pipeline,3127.613,3298.175,170.562,0.362399,0.362399,0.754377,0.737953,jodie_rnn
39,pipeline,3127.613,3298.175,170.562,0.588868,0.588868,0.949475,0.737953,jodie_rnn
40,pipeline,3298.193,3475.738,177.545,0.513952,0.513952,0.895948,0.737953,jodie_rnn
41,pipeline,3298.193,3475.738,177.545,0.26382,0.26382,0.665333,0.737953,jodie_rnn
42,pipeline,3475.759,3627.141,151.383,0.282188,0.282188,0.682341,0.737953,jodie_rnn
43,pipeline,3475.759,3627.141,151.383,0.210443,0.210443,0.684842,0.737953,jodie_rnn
44,pipeline,3627.168,3818.121,190.953,0.468772,0.468772,0.883442,0.737953,jodie_rnn
45,pipeline,3627.168,3818.121,190.953,0.644368,0.644368,0.922461,0.737953,jodie_rnn
46,pipeline,3818.172,3949.669,131.496,0.604861,0.604861,0.92096,0.737953,jodie_rnn
47,pipeline,3818.172,3949.669,131.496,0.126603,0.126603,0.298149,0.737953,jodie_rnn
48,pipeline,3949.69,4081.478,131.788,0.667354,0.667354,0.917959,0.737953,jodie_rnn
49,pipeline,3949.69,4081.478,131.788,0.219557,0.219557,0.707354,0.737953,jodie_rnn
