trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.005,130.7,130.695,0.266948,0.266948,0.697349,0.266948,jodie_rnn
1,serial,130.706,265.676,134.97,0.333756,0.333756,0.744372,0.333756,jodie_rnn
2,serial,265.68,402.166,136.486,0.323689,0.323689,0.71986,0.333756,jodie_rnn
3,serial,402.17,528.074,125.904,0.126603,0.126603,0.298149,0.333756,jodie_rnn
4,serial,528.079,643.066,114.987,0.310231,0.310231,0.741371,0.333756,jodie_rnn
5,serial,643.074,719.031,75.957,0.301656,0.301656,0.778889,0.333756,jodie_rnn
6,serial,719.034,830.194,111.16,0.126603,0.126603,0.298149,0.333756,jodie_rnn
7,serial,830.198,936.869,106.671,0.497936,0.497936,0.875438,0.497936,jodie_rnn
8,serial,936.874,1114.333,177.459,0.60962,0.60962,0.937969,0.60962,jodie_rnn
9,serial,1114.337,1289.544,175.207,0.533397,0.533397,0.901451,0.60962,jodie_rnn
10,serial,1289.548,1401.976,112.427,0.292331,0.292331,0.684842,0.60962,jodie_rnn
11,serial,1401.979,1530.894,128.915,0.590172,0.590172,0.872936,0.60962,jodie_rnn
12,serial,1530.899,1702.31,171.411,0.535317,0.535317,0.897449,0.60962,jodie_rnn
13,serial,1702.314,1858.783,156.47,0.352894,0.352894,0.778389,0.60962,jodie_rnn
14,serial,1858.79,1974.556,115.766,0.297334,0.297334,0.718359,0.60962,jodie_rnn
15,serial,1974.559,2084.12,109.561,0.686066,0.686066,0.977489,0.686066,jodie_rnn
16,serial,2084.131,2200.923,116.792,0.295686,0.295686,0.748374,0.686066,jodie_rnn
17,serial,2200.926,2354.461,153.535,0.300602,0.300602,0.717359,0.686066,jodie_rnn
18,serial,2354.467,2514.387,159.92,0.518648,0.518648,0.872436,0.686066,jodie_rnn
19,serial,2514.395,2647.494,133.099,0.341306,0.341306,0.738869,0.686066,jodie_rnn
20,serial,2647.499,2780.655,133.156,0.261006,0.261006,0.662331,0.686066,jodie_rnn
21,serial,2780.659,2904.361,123.702,0.684776,0.684776,0.951976,0.686066,jodie_rnn
22,serial,2904.367,3013.43,109.062,0.4295,0.4295,0.816908,0.686066,jodie_rnn
23,serial,3013.434,3105.588,92.154,0.395736,0.395736,0.818409,0.686066,jodie_rnn
24,serial,3105.592,3244.268,138.676,0.295386,0.295386,0.755378,0.686066,jodie_rnn
25,serial,3244.272,3400.672,156.4,0.563792,0.563792,0.893447,0.686066,jodie_rnn
26,serial,3400.679,3515.433,114.755,0.126603,0.126603,0.298149,0.686066,jodie_rnn
27,serial,3515.441,3685.822,170.381,0.611767,0.611767,0.901451,0.686066,jodie_rnn
28,serial,3685.826,3784.856,99.029,0.305679,0.305679,0.785893,0.686066,jodie_rnn
29,serial,3784.859,3911.681,126.821,0.126603,0.126603,0.298149,0.686066,jodie_rnn
30,serial,3911.685,4068.577,156.892,0.737048,0.737048,0.975988,0.737048,jodie_rnn
31,serial,4068.582,4196.275,127.693,0.586534,0.586534,0.886943,0.737048,jodie_rnn
32,serial,4196.283,4287.937,91.654,0.416111,0.416111,0.830415,0.737048,jodie_rnn
33,serial,4287.943,4417.739,129.795,0.592689,0.592689,0.909955,0.737048,jodie_rnn
34,serial,4417.747,4573.506,155.759,0.399547,0.399547,0.786393,0.737048,jodie_rnn
35,serial,4573.51,4666.697,93.187,0.373941,0.373941,0.830415,0.737048,jodie_rnn
36,serial,4666.701,4779.072,112.371,0.67248,0.67248,0.928964,0.737048,jodie_rnn
37,serial,4779.076,4891.77,112.694,0.321321,0.321321,0.764382,0.737048,jodie_rnn
38,serial,4891.775,5018.299,126.524,0.283275,0.283275,0.728364,0.737048,jodie_rnn
39,serial,5018.304,5107.262,88.958,0.385188,0.385188,0.814907,0.737048,jodie_rnn
40,serial,5107.265,5281.137,173.872,0.440286,0.440286,0.814907,0.737048,jodie_rnn
41,serial,5281.143,5450.411,169.268,0.403088,0.403088,0.831416,0.737048,jodie_rnn
42,serial,5450.417,5605.476,155.06,0.421833,0.421833,0.783892,0.737048,jodie_rnn
43,serial,5605.484,5714.198,108.714,0.400376,0.400376,0.818909,0.737048,jodie_rnn
44,serial,5714.216,5804.874,90.658,0.810255,0.810255,0.98099,0.810255,jodie_rnn
45,serial,5804.882,5959.044,154.163,0.708234,0.708234,0.924462,0.810255,jodie_rnn
46,serial,5959.049,6112.699,153.65,0.392766,0.392766,0.770885,0.810255,jodie_rnn
47,serial,6112.71,6283.839,171.13,0.611363,0.611363,0.966483,0.810255,jodie_rnn
48,serial,6283.845,6399.17,115.324,0.126603,0.126603,0.298149,0.810255,jodie_rnn
49,serial,6399.174,6554.956,155.782,0.467018,0.467018,0.910955,0.810255,jodie_rnn
