trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,5.735,60.827,55.092,0.281187,0.281187,0.698349,0.281187,jodie_rnn
1,pipeline_smart,5.738,62.309,56.571,0.342338,0.342338,0.732866,0.342338,jodie_rnn
2,pipeline_smart,5.747,75.4,69.653,0.366304,0.366304,0.774387,0.366304,jodie_rnn
3,pipeline_smart,75.422,117.35,41.928,0.410443,0.410443,0.837419,0.410443,jodie_rnn
4,pipeline_smart,62.325,118.478,56.153,0.363324,0.363324,0.606803,0.410443,jodie_rnn
5,pipeline_smart,5.752,119.448,113.695,0.699155,0.699155,0.902951,0.699155,jodie_rnn
6,pipeline_smart,117.372,151.88,34.508,0.404033,0.404033,0.834917,0.699155,jodie_rnn
7,pipeline_smart,118.493,158.023,39.53,0.458233,0.458233,0.856928,0.699155,jodie_rnn
8,pipeline_smart,119.494,181.833,62.339,0.664256,0.664256,0.943472,0.699155,jodie_rnn
9,pipeline_smart,158.052,192.085,34.033,0.845826,0.845826,0.994997,0.845826,jodie_rnn
10,pipeline_smart,151.908,216.177,64.27,0.566274,0.566274,0.876938,0.845826,jodie_rnn
11,pipeline_smart,181.848,225.775,43.927,0.126603,0.126603,0.298149,0.845826,jodie_rnn
12,pipeline_smart,192.152,250.867,58.714,0.319954,0.319954,0.734367,0.845826,jodie_rnn
13,pipeline_smart,216.188,252.649,36.461,0.314935,0.314935,0.746373,0.845826,jodie_rnn
14,pipeline_smart,225.798,259.814,34.016,0.349653,0.349653,0.775888,0.845826,jodie_rnn
15,pipeline_smart,252.677,303.452,50.775,0.331539,0.331539,0.753377,0.845826,jodie_rnn
16,pipeline_smart,250.887,308.065,57.178,0.314848,0.314848,0.723862,0.845826,jodie_rnn
17,pipeline_smart,259.834,308.12,48.286,0.609672,0.609672,0.904452,0.845826,jodie_rnn
18,pipeline_smart,303.476,339.48,36.004,0.642574,0.642574,0.950975,0.845826,jodie_rnn
19,pipeline_smart,308.168,349.025,40.858,0.478844,0.478844,0.854927,0.845826,jodie_rnn
20,pipeline_smart,308.109,367.524,59.415,0.537491,0.537491,0.912456,0.845826,jodie_rnn
21,pipeline_smart,339.506,386.884,47.379,0.126603,0.126603,0.298149,0.845826,jodie_rnn
22,pipeline_smart,349.043,396.746,47.703,0.324903,0.324903,0.712856,0.845826,jodie_rnn
23,pipeline_smart,367.543,424.499,56.955,0.619442,0.619442,0.927464,0.845826,jodie_rnn
24,pipeline_smart,386.941,444.155,57.215,0.420837,0.420837,0.783892,0.845826,jodie_rnn
25,pipeline_smart,396.767,456.209,59.442,0.673819,0.673819,0.921461,0.845826,jodie_rnn
26,pipeline_smart,424.533,483.305,58.772,0.706853,0.706853,0.95948,0.845826,jodie_rnn
27,pipeline_smart,444.21,507.675,63.465,0.693009,0.693009,0.946973,0.845826,jodie_rnn
28,pipeline_smart,456.23,515.13,58.9,0.473121,0.473121,0.850925,0.845826,jodie_rnn
29,pipeline_smart,483.344,516.723,33.379,0.400138,0.400138,0.822411,0.845826,jodie_rnn
30,pipeline_smart,516.744,548.677,31.933,0.548357,0.548357,0.913457,0.845826,jodie_rnn
31,pipeline_smart,507.698,548.848,41.15,0.327674,0.327674,0.75988,0.845826,jodie_rnn
32,pipeline_smart,515.184,559.069,43.885,0.284819,0.284819,0.710855,0.845826,jodie_rnn
33,pipeline_smart,548.689,595.978,47.289,0.592678,0.592678,0.893947,0.845826,jodie_rnn
34,pipeline_smart,559.132,601.521,42.388,0.383917,0.383917,0.812906,0.845826,jodie_rnn
35,pipeline_smart,548.892,606.895,58.003,0.666799,0.666799,0.956478,0.845826,jodie_rnn
36,pipeline_smart,601.547,644.707,43.16,0.285185,0.285185,0.70035,0.845826,jodie_rnn
37,pipeline_smart,596.003,644.968,48.966,0.300122,0.300122,0.733367,0.845826,jodie_rnn
38,pipeline_smart,606.934,647.227,40.293,0.531751,0.531751,0.871936,0.845826,jodie_rnn
39,pipeline_smart,645.033,694.356,49.323,0.126603,0.126603,0.298149,0.845826,jodie_rnn
40,pipeline_smart,644.729,695.43,50.7,0.259371,0.259371,0.691846,0.845826,jodie_rnn
41,pipeline_smart,647.25,708.911,61.661,0.630274,0.630274,0.90095,0.845826,jodie_rnn
42,pipeline_smart,694.399,758.189,63.789,0.498938,0.498938,0.897949,0.845826,jodie_rnn
43,pipeline_smart,695.505,759.098,63.594,0.566186,0.566186,0.901951,0.845826,jodie_rnn
44,pipeline_smart,708.969,761.143,52.175,0.278425,0.278425,0.707354,0.845826,jodie_rnn
45,pipeline_smart,761.177,797.665,36.488,0.310009,0.310009,0.789895,0.845826,jodie_rnn
46,pipeline_smart,758.203,807.197,48.994,0.313041,0.313041,0.71936,0.845826,jodie_rnn
47,pipeline_smart,759.117,812.736,53.619,0.27279,0.27279,0.696348,0.845826,jodie_rnn
48,pipeline_smart,797.685,844.824,47.139,0.126603,0.126603,0.298149,0.845826,jodie_rnn
49,pipeline_smart,807.223,869.599,62.376,0.40835,0.40835,0.78089,0.845826,jodie_rnn
