trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,data_parallel,0.014,76.71,76.696,0.364056,0.364056,0.843922,0.364056,jodie_rnn
1,data_parallel,76.727,152.395,75.668,0.119442,0.119442,0.357179,0.364056,jodie_rnn
2,data_parallel,152.42,250.456,98.036,0.472443,0.472443,0.829415,0.472443,jodie_rnn
3,data_parallel,250.47,324.776,74.306,0.33445,0.33445,0.867434,0.472443,jodie_rnn
4,data_parallel,324.801,401.778,76.977,0.119442,0.119442,0.357179,0.472443,jodie_rnn
5,data_parallel,401.788,496.338,94.55,0.367114,0.367114,0.766383,0.472443,jodie_rnn
6,data_parallel,496.352,562.514,66.162,0.718025,0.718025,0.935468,0.718025,jodie_rnn
7,data_parallel,562.528,656.235,93.707,0.337402,0.337402,0.785893,0.718025,jodie_rnn
8,data_parallel,656.245,721.847,65.602,0.47559,0.47559,0.861931,0.718025,jodie_rnn
9,data_parallel,721.861,808.775,86.914,0.275784,0.275784,0.596798,0.718025,jodie_rnn
10,data_parallel,808.81,914.619,105.808,0.571682,0.571682,0.897449,0.718025,jodie_rnn
11,data_parallel,914.632,1014.755,100.122,0.309612,0.309612,0.714357,0.718025,jodie_rnn
12,data_parallel,1014.776,1120.576,105.8,0.397241,0.397241,0.83942,0.718025,jodie_rnn
13,data_parallel,1120.591,1211.94,91.349,0.368461,0.368461,0.769385,0.718025,jodie_rnn
14,data_parallel,1211.968,1317.776,105.809,0.684824,0.684824,0.965483,0.718025,jodie_rnn
15,data_parallel,1317.787,1381.473,63.686,0.171174,0.171174,0.605303,0.718025,jodie_rnn
16,data_parallel,1381.496,1484.892,103.396,0.526204,0.526204,0.874437,0.718025,jodie_rnn
17,data_parallel,1484.909,1565.653,80.745,0.119442,0.119442,0.357179,0.718025,jodie_rnn
18,data_parallel,1565.679,1644.15,78.471,0.638295,0.638295,0.913957,0.718025,jodie_rnn
19,data_parallel,1644.168,1724.843,80.674,0.119442,0.119442,0.357179,0.718025,jodie_rnn
20,data_parallel,1724.854,1814.962,90.108,0.321982,0.321982,0.73987,0.718025,jodie_rnn
21,data_parallel,1814.977,1913.869,98.892,0.641475,0.641475,0.92046,0.718025,jodie_rnn
22,data_parallel,1913.876,1997.761,83.885,0.378349,0.378349,0.768384,0.718025,jodie_rnn
23,data_parallel,1997.768,2091.387,93.619,0.458229,0.458229,0.829915,0.718025,jodie_rnn
24,data_parallel,2091.397,2176.82,85.423,0.279024,0.279024,0.641821,0.718025,jodie_rnn
25,data_parallel,2176.832,2250.201,73.369,0.119442,0.119442,0.357179,0.718025,jodie_rnn
26,data_parallel,2250.247,2339.11,88.862,0.3889,0.3889,0.790395,0.718025,jodie_rnn
27,data_parallel,2339.133,2424.795,85.662,0.368584,0.368584,0.867434,0.718025,jodie_rnn
28,data_parallel,2424.808,2516.891,92.083,0.343201,0.343201,0.718859,0.718025,jodie_rnn
29,data_parallel,2516.906,2591.028,74.122,0.284817,0.284817,0.703852,0.718025,jodie_rnn
30,data_parallel,2591.075,2689.983,98.908,0.406721,0.406721,0.786393,0.718025,jodie_rnn
31,data_parallel,2690.008,2787.974,97.966,0.587378,0.587378,0.896448,0.718025,jodie_rnn
32,data_parallel,2788.004,2856.083,68.079,0.29527,0.29527,0.670835,0.718025,jodie_rnn
33,data_parallel,2856.096,2927.739,71.643,0.236834,0.236834,0.654827,0.718025,jodie_rnn
34,data_parallel,2927.754,2993.929,66.175,0.293227,0.293227,0.708854,0.718025,jodie_rnn
35,data_parallel,2993.944,3067.832,73.888,0.153044,0.153044,0.478739,0.718025,jodie_rnn
36,data_parallel,3067.85,3164.588,96.738,0.359752,0.359752,0.791896,0.718025,jodie_rnn
37,data_parallel,3164.597,3257.403,92.806,0.62032,0.62032,0.905453,0.718025,jodie_rnn
38,data_parallel,3257.42,3356.714,99.294,0.536065,0.536065,0.86043,0.718025,jodie_rnn
39,data_parallel,3356.738,3437.016,80.278,0.389345,0.389345,0.785393,0.718025,jodie_rnn
40,data_parallel,3437.063,3516.664,79.6,0.279659,0.279659,0.735868,0.718025,jodie_rnn
41,data_parallel,3516.69,3604.058,87.368,0.327484,0.327484,0.72086,0.718025,jodie_rnn
42,data_parallel,3604.079,3703.167,99.088,0.35116,0.35116,0.713857,0.718025,jodie_rnn
43,data_parallel,3703.176,3777.373,74.197,0.375601,0.375601,0.815408,0.718025,jodie_rnn
44,data_parallel,3777.389,3870.713,93.324,0.490639,0.490639,0.823412,0.718025,jodie_rnn
45,data_parallel,3870.762,3975.929,105.167,0.37943,0.37943,0.822911,0.718025,jodie_rnn
46,data_parallel,3975.956,4053.618,77.662,0.227231,0.227231,0.646323,0.718025,jodie_rnn
47,data_parallel,4053.649,4151.229,97.579,0.370375,0.370375,0.802401,0.718025,jodie_rnn
48,data_parallel,4151.265,4240.184,88.918,0.119442,0.119442,0.357179,0.718025,jodie_rnn
49,data_parallel,4240.2,4323.11,82.91,0.413274,0.413274,0.829415,0.718025,jodie_rnn
