trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,data_parallel,0.031,118.886,118.855,0.545229,0.545229,0.891946,0.545229,jodie_rnn
1,data_parallel,118.902,228.062,109.159,0.239968,0.239968,0.672336,0.545229,jodie_rnn
2,data_parallel,228.088,342.058,113.97,0.376199,0.376199,0.776888,0.545229,jodie_rnn
3,data_parallel,342.079,498.111,156.031,0.328518,0.328518,0.804402,0.545229,jodie_rnn
4,data_parallel,498.135,614.944,116.809,0.639596,0.639596,0.935468,0.639596,jodie_rnn
5,data_parallel,614.992,761.373,146.381,0.708184,0.708184,0.942971,0.708184,jodie_rnn
6,data_parallel,761.4,899.986,138.585,0.466773,0.466773,0.836418,0.708184,jodie_rnn
7,data_parallel,899.998,1040.286,140.288,0.749653,0.749653,0.942471,0.749653,jodie_rnn
8,data_parallel,1040.306,1169.998,129.691,0.498959,0.498959,0.889445,0.749653,jodie_rnn
9,data_parallel,1170.011,1293.962,123.951,0.119442,0.119442,0.357179,0.749653,jodie_rnn
10,data_parallel,1293.984,1431.639,137.655,0.443856,0.443856,0.829415,0.749653,jodie_rnn
11,data_parallel,1431.662,1558.363,126.701,0.563559,0.563559,0.92046,0.749653,jodie_rnn
12,data_parallel,1558.381,1670.622,112.24,0.275645,0.275645,0.666833,0.749653,jodie_rnn
13,data_parallel,1670.646,1795.524,124.878,0.350969,0.350969,0.768884,0.749653,jodie_rnn
14,data_parallel,1795.533,1901.668,106.135,0.480082,0.480082,0.875438,0.749653,jodie_rnn
15,data_parallel,1901.71,2028.498,126.788,0.409052,0.409052,0.802901,0.749653,jodie_rnn
16,data_parallel,2028.523,2164.322,135.799,0.358347,0.358347,0.701351,0.749653,jodie_rnn
17,data_parallel,2164.359,2311.885,147.525,0.371324,0.371324,0.694847,0.749653,jodie_rnn
18,data_parallel,2311.9,2443.238,131.338,0.351217,0.351217,0.767884,0.749653,jodie_rnn
19,data_parallel,2443.248,2563.358,120.11,0.119442,0.119442,0.357179,0.749653,jodie_rnn
20,data_parallel,2563.376,2696.416,133.04,0.387961,0.387961,0.781891,0.749653,jodie_rnn
21,data_parallel,2696.446,2841.59,145.144,0.439342,0.439342,0.827914,0.749653,jodie_rnn
22,data_parallel,2841.637,2979.136,137.499,0.44868,0.44868,0.853427,0.749653,jodie_rnn
23,data_parallel,2979.163,3103.779,124.616,0.721807,0.721807,0.934967,0.749653,jodie_rnn
24,data_parallel,3103.788,3207.599,103.81,0.497223,0.497223,0.862931,0.749653,jodie_rnn
25,data_parallel,3207.611,3327.579,119.968,0.259527,0.259527,0.681341,0.749653,jodie_rnn
26,data_parallel,3327.621,3476.904,149.283,0.469515,0.469515,0.843422,0.749653,jodie_rnn
27,data_parallel,3476.918,3621.723,144.805,0.613188,0.613188,0.895448,0.749653,jodie_rnn
28,data_parallel,3621.744,3753.991,132.247,0.310353,0.310353,0.666333,0.749653,jodie_rnn
29,data_parallel,3754.006,3878.763,124.757,0.355134,0.355134,0.751376,0.749653,jodie_rnn
30,data_parallel,3878.776,4020.622,141.847,0.407453,0.407453,0.812406,0.749653,jodie_rnn
31,data_parallel,4020.648,4141.58,120.932,0.741925,0.741925,0.951476,0.749653,jodie_rnn
32,data_parallel,4141.614,4279.435,137.821,0.119442,0.119442,0.357179,0.749653,jodie_rnn
33,data_parallel,4279.462,4410.163,130.701,0.266431,0.266431,0.69935,0.749653,jodie_rnn
34,data_parallel,4410.175,4534.852,124.677,0.336469,0.336469,0.69985,0.749653,jodie_rnn
35,data_parallel,4534.89,4659.337,124.447,0.314297,0.314297,0.745873,0.749653,jodie_rnn
36,data_parallel,4659.37,4793.054,133.684,0.3065,0.3065,0.64082,0.749653,jodie_rnn
37,data_parallel,4793.066,4898.052,104.986,0.707003,0.707003,0.937469,0.749653,jodie_rnn
38,data_parallel,4898.063,5032.803,134.739,0.545562,0.545562,0.866433,0.749653,jodie_rnn
39,data_parallel,5032.818,5167.695,134.877,0.387159,0.387159,0.77939,0.749653,jodie_rnn
40,data_parallel,5167.727,5292.119,124.392,0.119442,0.119442,0.357179,0.749653,jodie_rnn
41,data_parallel,5292.158,5427.879,135.721,0.463438,0.463438,0.907454,0.749653,jodie_rnn
42,data_parallel,5427.901,5538.618,110.717,0.36187,0.36187,0.686343,0.749653,jodie_rnn
43,data_parallel,5538.634,5676.323,137.688,0.392586,0.392586,0.761381,0.749653,jodie_rnn
44,data_parallel,5676.336,5820.444,144.107,0.307407,0.307407,0.709855,0.749653,jodie_rnn
45,data_parallel,5820.463,5949.345,128.882,0.509882,0.509882,0.870935,0.749653,jodie_rnn
46,data_parallel,5949.358,6089.585,140.227,0.569643,0.569643,0.869435,0.749653,jodie_rnn
47,data_parallel,6089.649,6225.847,136.197,0.327979,0.327979,0.789895,0.749653,jodie_rnn
48,data_parallel,6225.872,6351.951,126.079,0.413645,0.413645,0.813407,0.749653,jodie_rnn
49,data_parallel,6351.99,6511.536,159.546,0.6294,0.6294,0.914457,0.749653,jodie_rnn
