trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.006,242.211,242.205,0.690984,0.690984,0.907454,0.690984,jodie_rnn
1,pipeline,0.006,242.211,242.205,0.230965,0.230965,0.710855,0.690984,jodie_rnn
2,pipeline,242.231,449.593,207.361,0.126603,0.126603,0.298149,0.690984,jodie_rnn
3,pipeline,242.231,449.593,207.361,0.375953,0.375953,0.774387,0.690984,jodie_rnn
4,pipeline,449.602,710.477,260.875,0.730298,0.730298,0.965483,0.730298,jodie_rnn
5,pipeline,449.602,710.477,260.875,0.22258,0.22258,0.669335,0.730298,jodie_rnn
6,pipeline,710.486,963.002,252.516,0.395062,0.395062,0.751876,0.730298,jodie_rnn
7,pipeline,710.486,963.002,252.516,0.126603,0.126603,0.298149,0.730298,jodie_rnn
8,pipeline,963.013,1254.325,291.311,0.38596,0.38596,0.8009,0.730298,jodie_rnn
9,pipeline,963.013,1254.325,291.311,0.522503,0.522503,0.909455,0.730298,jodie_rnn
10,pipeline,1254.333,1478.384,224.051,0.438215,0.438215,0.866933,0.730298,jodie_rnn
11,pipeline,1254.333,1478.384,224.051,0.317539,0.317539,0.684842,0.730298,jodie_rnn
12,pipeline,1478.392,1684.681,206.288,0.277049,0.277049,0.694847,0.730298,jodie_rnn
13,pipeline,1478.392,1684.681,206.288,0.442268,0.442268,0.874937,0.730298,jodie_rnn
14,pipeline,1684.687,1973.938,289.251,0.34065,0.34065,0.701851,0.730298,jodie_rnn
15,pipeline,1684.687,1973.938,289.251,0.5734,0.5734,0.928464,0.730298,jodie_rnn
16,pipeline,1973.947,2224.768,250.82,0.274025,0.274025,0.711856,0.730298,jodie_rnn
17,pipeline,1973.947,2224.768,250.82,0.126603,0.126603,0.298149,0.730298,jodie_rnn
18,pipeline,2224.781,2474.945,250.164,0.372419,0.372419,0.732866,0.730298,jodie_rnn
19,pipeline,2224.781,2474.945,250.164,0.269552,0.269552,0.683842,0.730298,jodie_rnn
20,pipeline,2474.952,2751.481,276.528,0.574356,0.574356,0.90045,0.730298,jodie_rnn
21,pipeline,2474.952,2751.481,276.528,0.402216,0.402216,0.775388,0.730298,jodie_rnn
22,pipeline,2751.491,2997.738,246.247,0.126603,0.126603,0.298149,0.730298,jodie_rnn
23,pipeline,2751.491,2997.738,246.247,0.56672,0.56672,0.881441,0.730298,jodie_rnn
24,pipeline,2997.753,3185.649,187.896,0.126603,0.126603,0.298149,0.730298,jodie_rnn
25,pipeline,2997.753,3185.649,187.896,0.64726,0.64726,0.877439,0.730298,jodie_rnn
26,pipeline,3185.685,3356.321,170.637,0.331343,0.331343,0.738369,0.730298,jodie_rnn
27,pipeline,3185.685,3356.321,170.637,0.280742,0.280742,0.67984,0.730298,jodie_rnn
28,pipeline,3356.339,3547.672,191.333,0.41386,0.41386,0.813907,0.730298,jodie_rnn
29,pipeline,3356.339,3547.672,191.333,0.489928,0.489928,0.85943,0.730298,jodie_rnn
30,pipeline,3547.686,3719.039,171.353,0.341655,0.341655,0.727364,0.730298,jodie_rnn
31,pipeline,3547.686,3719.039,171.353,0.679802,0.679802,0.957479,0.730298,jodie_rnn
32,pipeline,3719.044,3856.939,137.895,0.332013,0.332013,0.737369,0.730298,jodie_rnn
33,pipeline,3719.044,3856.939,137.895,0.300604,0.300604,0.714857,0.730298,jodie_rnn
34,pipeline,3856.954,4002.287,145.333,0.591503,0.591503,0.921461,0.730298,jodie_rnn
35,pipeline,3856.954,4002.287,145.333,0.198195,0.198195,0.671836,0.730298,jodie_rnn
36,pipeline,4002.306,4160.413,158.107,0.126603,0.126603,0.298149,0.730298,jodie_rnn
37,pipeline,4002.306,4160.413,158.107,0.274848,0.274848,0.70035,0.730298,jodie_rnn
38,pipeline,4160.45,4332.512,172.062,0.676794,0.676794,0.914457,0.730298,jodie_rnn
39,pipeline,4160.45,4332.512,172.062,0.267154,0.267154,0.627814,0.730298,jodie_rnn
40,pipeline,4332.533,4522.291,189.758,0.727662,0.727662,0.931966,0.730298,jodie_rnn
41,pipeline,4332.533,4522.291,189.758,0.504684,0.504684,0.885443,0.730298,jodie_rnn
42,pipeline,4522.308,4711.408,189.1,0.646404,0.646404,0.935468,0.730298,jodie_rnn
43,pipeline,4522.308,4711.408,189.1,0.27811,0.27811,0.69935,0.730298,jodie_rnn
44,pipeline,4711.423,4886.897,175.474,0.234449,0.234449,0.695348,0.730298,jodie_rnn
45,pipeline,4711.423,4886.897,175.474,0.709046,0.709046,0.949975,0.730298,jodie_rnn
46,pipeline,4886.916,5041.248,154.332,0.269171,0.269171,0.696848,0.730298,jodie_rnn
47,pipeline,4886.916,5041.248,154.332,0.246037,0.246037,0.66033,0.730298,jodie_rnn
48,pipeline,5041.271,5196.073,154.802,0.875187,0.875187,0.990495,0.875187,jodie_rnn
49,pipeline,5041.271,5196.073,154.802,0.24543,0.24543,0.664332,0.875187,jodie_rnn
