trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,6.561,55.346,48.784,0.670284,0.670284,0.911456,0.670284,jodie_rnn
1,pipeline_smart,6.58,55.66,49.08,0.340884,0.340884,0.797399,0.670284,jodie_rnn
2,pipeline_smart,6.57,70.051,63.481,0.500993,0.500993,0.916958,0.670284,jodie_rnn
3,pipeline_smart,70.063,103.321,33.258,0.390697,0.390697,0.816908,0.670284,jodie_rnn
4,pipeline_smart,6.59,112.022,105.432,0.456029,0.456029,0.794397,0.670284,jodie_rnn
5,pipeline_smart,55.685,116.832,61.147,0.638059,0.638059,0.905453,0.670284,jodie_rnn
6,pipeline_smart,112.032,156.672,44.639,0.244036,0.244036,0.693347,0.670284,jodie_rnn
7,pipeline_smart,116.86,165.928,49.068,0.287535,0.287535,0.676838,0.670284,jodie_rnn
8,pipeline_smart,103.351,166.972,63.621,0.505044,0.505044,0.914957,0.670284,jodie_rnn
9,pipeline_smart,156.688,199.483,42.796,0.282971,0.282971,0.695348,0.670284,jodie_rnn
10,pipeline_smart,166.986,213.527,46.541,0.126603,0.126603,0.298149,0.670284,jodie_rnn
11,pipeline_smart,165.995,214.466,48.471,0.126603,0.126603,0.298149,0.670284,jodie_rnn
12,pipeline_smart,199.517,251.3,51.783,0.278022,0.278022,0.675338,0.670284,jodie_rnn
13,pipeline_smart,213.582,270.404,56.822,0.358166,0.358166,0.76038,0.670284,jodie_rnn
14,pipeline_smart,214.505,277.06,62.555,0.676987,0.676987,0.942471,0.676987,jodie_rnn
15,pipeline_smart,270.419,305.338,34.919,0.469121,0.469121,0.866933,0.676987,jodie_rnn
16,pipeline_smart,251.316,309.346,58.03,0.699093,0.699093,0.938469,0.699093,jodie_rnn
17,pipeline_smart,277.074,320.682,43.609,0.126603,0.126603,0.298149,0.699093,jodie_rnn
18,pipeline_smart,309.365,359.668,50.303,0.325033,0.325033,0.729365,0.699093,jodie_rnn
19,pipeline_smart,320.725,362.346,41.621,0.126603,0.126603,0.298149,0.699093,jodie_rnn
20,pipeline_smart,305.365,367.638,62.273,0.62591,0.62591,0.878939,0.699093,jodie_rnn
21,pipeline_smart,362.389,410.769,48.379,0.314766,0.314766,0.745373,0.699093,jodie_rnn
22,pipeline_smart,367.699,418.504,50.805,0.298885,0.298885,0.722361,0.699093,jodie_rnn
23,pipeline_smart,359.684,423.656,63.972,0.477416,0.477416,0.877939,0.699093,jodie_rnn
24,pipeline_smart,418.519,456.137,37.618,0.31925,0.31925,0.789895,0.699093,jodie_rnn
25,pipeline_smart,410.782,469.628,58.846,0.73458,0.73458,0.954477,0.73458,jodie_rnn
26,pipeline_smart,423.69,482.337,58.647,0.340316,0.340316,0.763382,0.73458,jodie_rnn
27,pipeline_smart,456.159,499.28,43.121,0.329044,0.329044,0.801401,0.73458,jodie_rnn
28,pipeline_smart,482.367,523.679,41.312,0.575513,0.575513,0.905953,0.73458,jodie_rnn
29,pipeline_smart,469.65,526.478,56.828,0.349344,0.349344,0.742871,0.73458,jodie_rnn
30,pipeline_smart,499.323,532.882,33.559,0.404898,0.404898,0.826913,0.73458,jodie_rnn
31,pipeline_smart,523.698,574.069,50.371,0.320675,0.320675,0.692346,0.73458,jodie_rnn
32,pipeline_smart,526.533,575.596,49.063,0.556086,0.556086,0.916958,0.73458,jodie_rnn
33,pipeline_smart,532.888,583.402,50.514,0.283979,0.283979,0.730865,0.73458,jodie_rnn
34,pipeline_smart,574.093,617.403,43.311,0.126603,0.126603,0.298149,0.73458,jodie_rnn
35,pipeline_smart,575.614,619.292,43.678,0.674369,0.674369,0.938469,0.73458,jodie_rnn
36,pipeline_smart,583.413,625.869,42.456,0.608035,0.608035,0.882941,0.73458,jodie_rnn
37,pipeline_smart,625.879,664.519,38.64,0.482145,0.482145,0.867934,0.73458,jodie_rnn
38,pipeline_smart,617.436,665.668,48.232,0.126603,0.126603,0.298149,0.73458,jodie_rnn
39,pipeline_smart,619.341,668.734,49.393,0.299024,0.299024,0.702351,0.73458,jodie_rnn
40,pipeline_smart,664.57,705.477,40.907,0.78095,0.78095,0.985493,0.78095,jodie_rnn
41,pipeline_smart,665.719,723.351,57.632,0.358934,0.358934,0.757879,0.78095,jodie_rnn
42,pipeline_smart,668.779,731.184,62.405,0.553114,0.553114,0.88094,0.78095,jodie_rnn
43,pipeline_smart,705.531,746.732,41.201,0.364485,0.364485,0.798399,0.78095,jodie_rnn
44,pipeline_smart,731.204,766.039,34.835,0.873815,0.873815,0.994997,0.873815,jodie_rnn
45,pipeline_smart,723.373,771.579,48.206,0.551528,0.551528,0.861431,0.873815,jodie_rnn
46,pipeline_smart,746.754,796.597,49.843,0.290562,0.290562,0.725363,0.873815,jodie_rnn
47,pipeline_smart,766.062,802.306,36.245,0.29653,0.29653,0.776888,0.873815,jodie_rnn
48,pipeline_smart,771.603,819.022,47.418,0.593316,0.593316,0.894447,0.873815,jodie_rnn
49,pipeline_smart,796.665,861.464,64.799,0.561696,0.561696,0.936468,0.873815,jodie_rnn
