trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,data_parallel,0.03,269.198,269.168,0.622731,0.622731,0.903952,0.622731,jodie_rnn
1,data_parallel,269.233,517.26,248.027,0.333956,0.333956,0.748374,0.622731,jodie_rnn
2,data_parallel,517.272,739.846,222.574,0.477889,0.477889,0.867934,0.622731,jodie_rnn
3,data_parallel,739.882,865.438,125.556,0.456152,0.456152,0.84092,0.622731,jodie_rnn
4,data_parallel,865.447,982.878,117.431,0.621499,0.621499,0.889445,0.622731,jodie_rnn
5,data_parallel,982.89,1110.61,127.721,0.455322,0.455322,0.8009,0.622731,jodie_rnn
6,data_parallel,1110.623,1224.958,114.335,0.119442,0.119442,0.357179,0.622731,jodie_rnn
7,data_parallel,1224.979,1355.185,130.206,0.719074,0.719074,0.958479,0.719074,jodie_rnn
8,data_parallel,1355.205,1467.269,112.063,0.119442,0.119442,0.357179,0.719074,jodie_rnn
9,data_parallel,1467.282,1589.468,122.186,0.585415,0.585415,0.881941,0.719074,jodie_rnn
10,data_parallel,1589.481,1696.095,106.614,0.383504,0.383504,0.802901,0.719074,jodie_rnn
11,data_parallel,1696.114,1818.5,122.387,0.341741,0.341741,0.755378,0.719074,jodie_rnn
12,data_parallel,1818.521,1940.76,122.239,0.349421,0.349421,0.715858,0.719074,jodie_rnn
13,data_parallel,1940.778,2056.468,115.69,0.119442,0.119442,0.357179,0.719074,jodie_rnn
14,data_parallel,2056.478,2181.334,124.856,0.575999,0.575999,0.872936,0.719074,jodie_rnn
15,data_parallel,2181.35,2276.755,95.404,0.599772,0.599772,0.916458,0.719074,jodie_rnn
16,data_parallel,2276.772,2380.524,103.752,0.566164,0.566164,0.912456,0.719074,jodie_rnn
17,data_parallel,2380.549,2511.455,130.906,0.426445,0.426445,0.867934,0.719074,jodie_rnn
18,data_parallel,2511.477,2633.897,122.42,0.677531,0.677531,0.941971,0.719074,jodie_rnn
19,data_parallel,2633.912,2761.801,127.889,0.542679,0.542679,0.871436,0.719074,jodie_rnn
20,data_parallel,2761.839,2863.843,102.004,0.545366,0.545366,0.907454,0.719074,jodie_rnn
21,data_parallel,2863.905,2984.909,121.004,0.119442,0.119442,0.357179,0.719074,jodie_rnn
22,data_parallel,2984.932,3112.158,127.226,0.417968,0.417968,0.85943,0.719074,jodie_rnn
23,data_parallel,3112.188,3222.771,110.582,0.448948,0.448948,0.826413,0.719074,jodie_rnn
24,data_parallel,3222.798,3349.152,126.353,0.32279,0.32279,0.675838,0.719074,jodie_rnn
25,data_parallel,3349.203,3468.306,119.103,0.735959,0.735959,0.947474,0.735959,jodie_rnn
26,data_parallel,3468.374,3558.824,90.45,0.313974,0.313974,0.704852,0.735959,jodie_rnn
