trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.007,337.751,337.744,0.631189,0.631189,0.925463,0.631189,jodie_rnn
1,pipeline,0.007,337.751,337.744,0.210524,0.210524,0.693847,0.631189,jodie_rnn
2,pipeline,0.007,337.751,337.744,0.590239,0.590239,0.876438,0.631189,jodie_rnn
3,pipeline,337.78,681.246,343.466,0.469292,0.469292,0.87994,0.631189,jodie_rnn
4,pipeline,337.78,681.246,343.466,0.364316,0.364316,0.730865,0.631189,jodie_rnn
5,pipeline,337.78,681.246,343.466,0.343313,0.343313,0.73937,0.631189,jodie_rnn
6,pipeline,681.257,1022.455,341.198,0.270216,0.270216,0.711356,0.631189,jodie_rnn
7,pipeline,681.257,1022.455,341.198,0.569775,0.569775,0.931966,0.631189,jodie_rnn
8,pipeline,681.257,1022.455,341.198,0.718129,0.718129,0.950975,0.718129,jodie_rnn
9,pipeline,1022.488,1325.758,303.271,0.599021,0.599021,0.912456,0.718129,jodie_rnn
10,pipeline,1022.488,1325.758,303.271,0.230667,0.230667,0.695848,0.718129,jodie_rnn
11,pipeline,1022.488,1325.758,303.271,0.475591,0.475591,0.867434,0.718129,jodie_rnn
12,pipeline,1325.784,1660.354,334.57,0.276378,0.276378,0.712856,0.718129,jodie_rnn
13,pipeline,1325.784,1660.354,334.57,0.425653,0.425653,0.785893,0.718129,jodie_rnn
14,pipeline,1325.784,1660.354,334.57,0.522905,0.522905,0.891946,0.718129,jodie_rnn
15,pipeline,1660.366,1967.02,306.655,0.291743,0.291743,0.705353,0.718129,jodie_rnn
16,pipeline,1660.366,1967.02,306.655,0.70864,0.70864,0.965983,0.718129,jodie_rnn
17,pipeline,1660.366,1967.02,306.655,0.272197,0.272197,0.686343,0.718129,jodie_rnn
18,pipeline,1967.036,2314.409,347.373,0.526624,0.526624,0.911956,0.718129,jodie_rnn
19,pipeline,1967.036,2314.409,347.373,0.323873,0.323873,0.729365,0.718129,jodie_rnn
20,pipeline,1967.036,2314.409,347.373,0.620842,0.620842,0.895948,0.718129,jodie_rnn
21,pipeline,2314.424,2626.212,311.789,0.213898,0.213898,0.696848,0.718129,jodie_rnn
22,pipeline,2314.424,2626.212,311.789,0.126603,0.126603,0.298149,0.718129,jodie_rnn
23,pipeline,2314.424,2626.212,311.789,0.555951,0.555951,0.941471,0.718129,jodie_rnn
24,pipeline,2626.224,2950.879,324.656,0.293189,0.293189,0.717359,0.718129,jodie_rnn
25,pipeline,2626.224,2950.879,324.656,0.126603,0.126603,0.298149,0.718129,jodie_rnn
26,pipeline,2626.224,2950.879,324.656,0.659688,0.659688,0.930465,0.718129,jodie_rnn
