trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.015,1044.391,1044.376,0.536232,0.536232,0.936468,0.536232,jodie_rnn
1,pipeline,0.015,1044.391,1044.376,0.212203,0.212203,0.718359,0.536232,jodie_rnn
2,pipeline,0.015,1044.391,1044.376,0.575168,0.575168,0.885443,0.575168,jodie_rnn
3,pipeline,0.015,1044.391,1044.376,0.338959,0.338959,0.61981,0.575168,jodie_rnn
4,pipeline,0.015,1044.391,1044.376,0.664727,0.664727,0.91996,0.664727,jodie_rnn
5,pipeline,0.015,1044.391,1044.376,0.126603,0.126603,0.298149,0.664727,jodie_rnn
6,pipeline,0.015,1044.391,1044.376,0.655072,0.655072,0.931966,0.664727,jodie_rnn
7,pipeline,0.015,1044.391,1044.376,0.126603,0.126603,0.298149,0.664727,jodie_rnn
8,pipeline,0.015,1044.391,1044.376,0.126603,0.126603,0.298149,0.664727,jodie_rnn
9,pipeline,1044.477,2055.504,1011.027,0.33206,0.33206,0.733867,0.664727,jodie_rnn
10,pipeline,1044.477,2055.504,1011.027,0.365145,0.365145,0.752376,0.664727,jodie_rnn
11,pipeline,1044.477,2055.504,1011.027,0.548683,0.548683,0.910955,0.664727,jodie_rnn
12,pipeline,1044.477,2055.504,1011.027,0.761842,0.761842,0.974487,0.761842,jodie_rnn
13,pipeline,1044.477,2055.504,1011.027,0.384353,0.384353,0.771386,0.761842,jodie_rnn
14,pipeline,1044.477,2055.504,1011.027,0.126603,0.126603,0.298149,0.761842,jodie_rnn
15,pipeline,1044.477,2055.504,1011.027,0.260594,0.260594,0.703352,0.761842,jodie_rnn
16,pipeline,1044.477,2055.504,1011.027,0.750255,0.750255,0.934967,0.761842,jodie_rnn
17,pipeline,1044.477,2055.504,1011.027,0.592316,0.592316,0.943972,0.761842,jodie_rnn
18,pipeline,2055.536,3054.132,998.596,0.126603,0.126603,0.298149,0.761842,jodie_rnn
19,pipeline,2055.536,3054.132,998.596,0.267209,0.267209,0.669335,0.761842,jodie_rnn
20,pipeline,2055.536,3054.132,998.596,0.213793,0.213793,0.698349,0.761842,jodie_rnn
21,pipeline,2055.536,3054.132,998.596,0.269253,0.269253,0.690345,0.761842,jodie_rnn
22,pipeline,2055.536,3054.132,998.596,0.650234,0.650234,0.935468,0.761842,jodie_rnn
23,pipeline,2055.536,3054.132,998.596,0.418309,0.418309,0.789395,0.761842,jodie_rnn
24,pipeline,2055.536,3054.132,998.596,0.257638,0.257638,0.641321,0.761842,jodie_rnn
25,pipeline,2055.536,3054.132,998.596,0.738163,0.738163,0.973487,0.761842,jodie_rnn
26,pipeline,2055.536,3054.132,998.596,0.287522,0.287522,0.694847,0.761842,jodie_rnn
