trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.005,547.192,547.188,0.676951,0.676951,0.967484,0.676951,jodie_rnn
1,serial,547.196,1079.764,532.568,0.385772,0.385772,0.721861,0.676951,jodie_rnn
2,serial,1079.768,1589.957,510.188,0.271527,0.271527,0.70035,0.676951,jodie_rnn
3,serial,1589.962,2097.835,507.873,0.126603,0.126603,0.298149,0.676951,jodie_rnn
4,serial,2097.839,2643.735,545.895,0.569029,0.569029,0.952976,0.676951,jodie_rnn
5,serial,2643.739,3182.29,538.551,0.598962,0.598962,0.882941,0.676951,jodie_rnn
6,serial,3182.294,3682.716,500.421,0.488926,0.488926,0.841921,0.676951,jodie_rnn
7,serial,3682.72,4180.434,497.714,0.126603,0.126603,0.298149,0.676951,jodie_rnn
8,serial,4180.44,4703.112,522.672,0.345137,0.345137,0.744372,0.676951,jodie_rnn
9,serial,4703.118,5235.834,532.716,0.41639,0.41639,0.794897,0.676951,jodie_rnn
10,serial,5235.838,5784.436,548.598,0.557211,0.557211,0.903452,0.676951,jodie_rnn
11,serial,5784.442,6321.427,536.985,0.512194,0.512194,0.90045,0.676951,jodie_rnn
12,serial,6321.432,6856.894,535.462,0.577024,0.577024,0.934967,0.676951,jodie_rnn
13,serial,6856.9,7372.722,515.822,0.353452,0.353452,0.751876,0.676951,jodie_rnn
14,serial,7372.744,7894.803,522.059,0.337076,0.337076,0.733367,0.676951,jodie_rnn
15,serial,7894.808,8430.078,535.271,0.348177,0.348177,0.817409,0.676951,jodie_rnn
16,serial,8430.083,8961.854,531.771,0.585111,0.585111,0.936468,0.676951,jodie_rnn
17,serial,8961.859,9416.184,454.325,0.421838,0.421838,0.850425,0.676951,jodie_rnn
18,serial,9416.191,9950.198,534.007,0.508219,0.508219,0.81941,0.676951,jodie_rnn
19,serial,9950.203,10461.319,511.117,0.329906,0.329906,0.731366,0.676951,jodie_rnn
20,serial,10461.324,11007.331,546.008,0.653212,0.653212,0.903452,0.676951,jodie_rnn
21,serial,11007.336,11546.42,539.084,0.391291,0.391291,0.810405,0.676951,jodie_rnn
22,serial,11546.427,12056.898,510.471,0.391539,0.391539,0.781391,0.676951,jodie_rnn
23,serial,12056.903,12549.937,493.034,0.560494,0.560494,0.856428,0.676951,jodie_rnn
24,serial,12549.944,13069.787,519.843,0.277034,0.277034,0.726363,0.676951,jodie_rnn
25,serial,13069.795,13599.332,529.537,0.610268,0.610268,0.922461,0.676951,jodie_rnn
26,serial,13599.337,14124.901,525.564,0.317227,0.317227,0.731866,0.676951,jodie_rnn
