trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,data_parallel,0.035,165.29,165.255,0.077271,0.077271,0.201601,0.077271,temporal_event_gnn_jodie
1,data_parallel,165.315,341.29,175.976,0.119442,0.119442,0.357179,0.119442,jodie_rnn
2,data_parallel,341.312,535.168,193.856,0.500452,0.500452,0.902451,0.500452,jodie_rnn
3,data_parallel,535.197,721.625,186.428,0.445806,0.445806,0.847924,0.500452,jodie_rnn
4,data_parallel,721.645,881.024,159.38,0.085017,0.085017,0.227614,0.500452,temporal_event_gnn_jodie
5,data_parallel,881.071,1142.609,261.538,0.540765,0.540765,0.864432,0.540765,jodie_rnn
6,data_parallel,1142.638,1360.534,217.896,0.161826,0.161826,0.548774,0.540765,temporal_event_gnn_jodie
7,data_parallel,1360.557,1511.321,150.764,0.084994,0.084994,0.217609,0.540765,temporal_event_gnn_jodie
8,data_parallel,1511.342,1697.677,186.334,0.658435,0.658435,0.90045,0.658435,jodie_rnn
9,data_parallel,1697.698,1898.825,201.127,0.616462,0.616462,0.851426,0.658435,jodie_rnn
10,data_parallel,1898.85,2083.833,184.982,0.081254,0.081254,0.206603,0.658435,temporal_event_gnn_jodie
11,data_parallel,2083.858,2284.819,200.961,0.737405,0.737405,0.942471,0.737405,jodie_rnn
12,data_parallel,2284.853,2521.74,236.887,0.719014,0.719014,0.947974,0.737405,jodie_rnn
13,data_parallel,2521.77,2751.566,229.796,0.303106,0.303106,0.615808,0.737405,jodie_rnn
14,data_parallel,2751.589,2938.303,186.714,0.150075,0.150075,0.525263,0.737405,temporal_event_gnn_jodie
15,data_parallel,2938.324,3151.5,213.175,0.491875,0.491875,0.862931,0.737405,jodie_rnn
16,data_parallel,3151.519,3332.967,181.448,0.524261,0.524261,0.84092,0.737405,jodie_rnn
17,data_parallel,3333.007,3585.475,252.468,0.666566,0.666566,0.917959,0.737405,jodie_rnn
18,data_parallel,3585.487,3704.714,119.227,0.077714,0.077714,0.204102,0.737405,temporal_event_gnn_jodie
19,data_parallel,3704.728,3852.987,148.259,0.392937,0.392937,0.84092,0.737405,jodie_rnn
20,data_parallel,3853.004,4026.145,173.141,0.224209,0.224209,0.562781,0.737405,temporal_event_gnn_jodie
21,data_parallel,4026.165,4164.894,138.728,0.076104,0.076104,0.203602,0.737405,temporal_event_gnn_jodie
22,data_parallel,4164.917,4318.992,154.075,0.076667,0.076667,0.203602,0.737405,temporal_event_gnn_jodie
23,data_parallel,4319.039,4570.593,251.554,0.119442,0.119442,0.357179,0.737405,jodie_rnn
24,data_parallel,4570.611,4718.002,147.391,0.638652,0.638652,0.985493,0.737405,jodie_rnn
25,data_parallel,4718.024,4888.14,170.116,0.119442,0.119442,0.357179,0.737405,jodie_rnn
26,data_parallel,4888.176,5091.079,202.903,0.119442,0.119442,0.357179,0.737405,jodie_rnn
