trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.02,297.092,297.073,0.075428,0.075428,0.192596,0.075428,temporal_event_gnn_jodie
1,pipeline,0.02,297.092,297.073,0.230466,0.230466,0.695348,0.230466,jodie_rnn
2,pipeline,297.107,513.634,216.527,0.327426,0.327426,0.752876,0.327426,jodie_rnn
3,pipeline,297.107,513.634,216.527,0.173557,0.173557,0.592296,0.327426,temporal_event_gnn_jodie
4,pipeline,513.656,763.365,249.709,0.213311,0.213311,0.697849,0.327426,jodie_rnn
5,pipeline,513.656,763.365,249.709,0.086069,0.086069,0.197599,0.327426,temporal_event_gnn_jodie
6,pipeline,763.389,1013.774,250.384,0.126603,0.126603,0.298149,0.327426,jodie_rnn
7,pipeline,763.389,1013.774,250.384,0.33549,0.33549,0.741371,0.33549,jodie_rnn
8,pipeline,1013.804,1358.197,344.393,0.420912,0.420912,0.795898,0.420912,jodie_rnn
9,pipeline,1013.804,1358.197,344.393,0.625271,0.625271,0.918459,0.625271,jodie_rnn
