trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.008,120.551,120.543,0.077041,0.077041,0.204602,0.077041,temporal_event_gnn_jodie
1,serial,120.559,185.704,65.145,0.078204,0.078204,0.197099,0.078204,temporal_event_gnn_jodie
2,serial,185.712,324.302,138.59,0.335616,0.335616,0.789895,0.335616,jodie_rnn
3,serial,324.311,438.971,114.66,0.769399,0.769399,0.98099,0.769399,jodie_rnn
4,serial,438.98,535.894,96.915,0.186208,0.186208,0.654827,0.769399,temporal_event_gnn_jodie
5,serial,535.902,616.188,80.286,0.076435,0.076435,0.203102,0.769399,temporal_event_gnn_jodie
6,serial,616.195,768.135,151.94,0.077088,0.077088,0.217109,0.769399,temporal_event_gnn_jodie
7,serial,768.143,856.243,88.1,0.425989,0.425989,0.855428,0.769399,jodie_rnn
8,serial,856.251,1007.577,151.326,0.39296,0.39296,0.78089,0.769399,jodie_rnn
9,serial,1007.586,1178.079,170.494,0.564174,0.564174,0.903952,0.769399,jodie_rnn
10,serial,1178.088,1349.983,171.895,0.365722,0.365722,0.826913,0.769399,jodie_rnn
11,serial,1349.994,1440.564,90.57,0.237469,0.237469,0.674337,0.769399,temporal_event_gnn_jodie
12,serial,1440.574,1573.441,132.867,0.222306,0.222306,0.63932,0.769399,temporal_event_gnn_jodie
13,serial,1573.448,1746.855,173.407,0.568676,0.568676,0.876438,0.769399,jodie_rnn
14,serial,1746.864,1852.06,105.196,0.209587,0.209587,0.626313,0.769399,temporal_event_gnn_jodie
15,serial,1852.067,1940.823,88.755,0.812464,0.812464,0.989995,0.812464,jodie_rnn
16,serial,1940.832,2052.932,112.1,0.38785,0.38785,0.827914,0.812464,jodie_rnn
17,serial,2052.944,2164.755,111.812,0.321118,0.321118,0.775888,0.812464,jodie_rnn
18,serial,2164.764,2290.568,125.803,0.177253,0.177253,0.616308,0.812464,temporal_event_gnn_jodie
19,serial,2290.576,2387.214,96.638,0.218915,0.218915,0.645323,0.812464,temporal_event_gnn_jodie
20,serial,2387.224,2508.198,120.974,0.200177,0.200177,0.662331,0.812464,temporal_event_gnn_jodie
21,serial,2508.217,2616.411,108.194,0.126603,0.126603,0.298149,0.812464,jodie_rnn
22,serial,2616.419,2792.93,176.511,0.646635,0.646635,0.967484,0.812464,jodie_rnn
23,serial,2792.94,2917.38,124.44,0.077998,0.077998,0.208104,0.812464,temporal_event_gnn_jodie
24,serial,2917.388,3075.489,158.101,0.170338,0.170338,0.608804,0.812464,temporal_event_gnn_jodie
25,serial,3075.497,3203.848,128.35,0.126603,0.126603,0.298149,0.812464,jodie_rnn
26,serial,3203.862,3357.669,153.807,0.644281,0.644281,0.918959,0.812464,jodie_rnn
