trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,data_parallel,0.021,121.136,121.115,0.393065,0.393065,0.750875,0.393065,jodie_rnn
1,data_parallel,121.151,245.213,124.063,0.43583,0.43583,0.809905,0.43583,jodie_rnn
2,data_parallel,245.225,349.814,104.589,0.186194,0.186194,0.493747,0.43583,temporal_event_gnn_jodie
3,data_parallel,349.831,468.914,119.083,0.733341,0.733341,0.945973,0.733341,jodie_rnn
4,data_parallel,468.936,582.304,113.369,0.17842,0.17842,0.557279,0.733341,temporal_event_gnn_jodie
5,data_parallel,582.316,669.39,87.074,0.300545,0.300545,0.702851,0.733341,jodie_rnn
6,data_parallel,669.412,792.802,123.39,0.556222,0.556222,0.885443,0.733341,jodie_rnn
7,data_parallel,792.817,886.44,93.623,0.155536,0.155536,0.47924,0.733341,temporal_event_gnn_jodie
8,data_parallel,886.464,985.382,98.919,0.274217,0.274217,0.717859,0.733341,temporal_event_gnn_jodie
9,data_parallel,985.392,1080.847,95.455,0.149243,0.149243,0.422711,0.733341,temporal_event_gnn_jodie
10,data_parallel,1080.866,1183.536,102.67,0.181389,0.181389,0.565283,0.733341,temporal_event_gnn_jodie
11,data_parallel,1183.565,1295.553,111.987,0.119442,0.119442,0.357179,0.733341,jodie_rnn
12,data_parallel,1295.563,1382.721,87.158,0.253615,0.253615,0.674337,0.733341,temporal_event_gnn_jodie
13,data_parallel,1382.734,1501.828,119.094,0.194375,0.194375,0.518759,0.733341,temporal_event_gnn_jodie
14,data_parallel,1501.876,1598.218,96.342,0.277771,0.277771,0.735368,0.733341,jodie_rnn
15,data_parallel,1598.271,1706.805,108.534,0.177944,0.177944,0.570285,0.733341,temporal_event_gnn_jodie
16,data_parallel,1706.825,1813.141,106.316,0.274405,0.274405,0.702351,0.733341,jodie_rnn
17,data_parallel,1813.161,1912.664,99.503,0.191933,0.191933,0.606303,0.733341,temporal_event_gnn_jodie
18,data_parallel,1912.701,2040.199,127.498,0.716395,0.716395,0.957479,0.733341,jodie_rnn
19,data_parallel,2040.211,2144.161,103.95,0.177148,0.177148,0.575788,0.733341,temporal_event_gnn_jodie
20,data_parallel,2144.172,2239.553,95.38,0.302688,0.302688,0.732366,0.733341,jodie_rnn
21,data_parallel,2239.569,2341.236,101.668,0.119442,0.119442,0.357179,0.733341,jodie_rnn
22,data_parallel,2341.273,2475.834,134.561,0.427034,0.427034,0.851926,0.733341,jodie_rnn
23,data_parallel,2475.848,2564.876,89.028,0.459443,0.459443,0.884942,0.733341,jodie_rnn
24,data_parallel,2564.905,2676.115,111.209,0.170027,0.170027,0.521261,0.733341,temporal_event_gnn_jodie
25,data_parallel,2676.137,2777.325,101.188,0.322746,0.322746,0.675838,0.733341,jodie_rnn
26,data_parallel,2777.34,2882.555,105.215,0.436217,0.436217,0.805903,0.733341,jodie_rnn
