trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.01,316.029,316.018,0.383092,0.383092,0.755878,0.383092,jodie_rnn
1,pipeline,0.01,316.029,316.018,0.199726,0.199726,0.627814,0.383092,temporal_event_gnn_jodie
2,pipeline,0.01,316.029,316.018,0.13356,0.13356,0.472736,0.383092,temporal_event_gnn_jodie
3,pipeline,316.042,646.237,330.195,0.555361,0.555361,0.889945,0.555361,jodie_rnn
4,pipeline,316.042,646.237,330.195,0.274695,0.274695,0.705853,0.555361,jodie_rnn
5,pipeline,316.042,646.237,330.195,0.170351,0.170351,0.565783,0.555361,temporal_event_gnn_jodie
6,pipeline,646.252,960.156,313.904,0.427198,0.427198,0.777889,0.555361,jodie_rnn
7,pipeline,646.252,960.156,313.904,0.191377,0.191377,0.535768,0.555361,temporal_event_gnn_jodie
8,pipeline,646.252,960.156,313.904,0.126603,0.126603,0.298149,0.555361,jodie_rnn
9,pipeline,960.172,1238.909,278.737,0.660859,0.660859,0.906953,0.660859,jodie_rnn
10,pipeline,960.172,1238.909,278.737,0.215978,0.215978,0.634317,0.660859,temporal_event_gnn_jodie
11,pipeline,960.172,1238.909,278.737,0.281232,0.281232,0.689845,0.660859,jodie_rnn
12,pipeline,1238.932,1497.633,258.7,0.213322,0.213322,0.652326,0.660859,temporal_event_gnn_jodie
13,pipeline,1238.932,1497.633,258.7,0.197042,0.197042,0.648324,0.660859,temporal_event_gnn_jodie
14,pipeline,1238.932,1497.633,258.7,0.259632,0.259632,0.668834,0.660859,jodie_rnn
15,pipeline,1497.648,1760.302,262.653,0.230322,0.230322,0.633317,0.660859,temporal_event_gnn_jodie
16,pipeline,1497.648,1760.302,262.653,0.367578,0.367578,0.7994,0.660859,jodie_rnn
17,pipeline,1497.648,1760.302,262.653,0.312103,0.312103,0.770885,0.660859,temporal_event_gnn_jodie
18,pipeline,1760.316,2095.852,335.536,0.683386,0.683386,0.958479,0.683386,jodie_rnn
19,pipeline,1760.316,2095.852,335.536,0.316478,0.316478,0.786893,0.683386,jodie_rnn
20,pipeline,1760.316,2095.852,335.536,0.365902,0.365902,0.757379,0.683386,jodie_rnn
21,pipeline,2095.868,2355.481,259.612,0.64836,0.64836,0.938469,0.683386,jodie_rnn
22,pipeline,2095.868,2355.481,259.612,0.246036,0.246036,0.69935,0.683386,temporal_event_gnn_jodie
23,pipeline,2095.868,2355.481,259.612,0.272803,0.272803,0.696848,0.683386,jodie_rnn
24,pipeline,2355.515,2667.779,312.264,0.19575,0.19575,0.635318,0.683386,temporal_event_gnn_jodie
25,pipeline,2355.515,2667.779,312.264,0.213245,0.213245,0.691846,0.683386,jodie_rnn
26,pipeline,2355.515,2667.779,312.264,0.529258,0.529258,0.874937,0.683386,jodie_rnn
