trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.025,2001.337,2001.311,0.414149,0.414149,0.777889,0.414149,jodie_rnn
1,pipeline,0.025,2001.337,2001.311,0.170433,0.170433,0.615308,0.414149,temporal_event_gnn_jodie
2,pipeline,0.025,2001.337,2001.311,0.172729,0.172729,0.544772,0.414149,temporal_event_gnn_jodie
3,pipeline,0.025,2001.337,2001.311,0.487096,0.487096,0.891946,0.487096,jodie_rnn
4,pipeline,0.025,2001.337,2001.311,0.33993,0.33993,0.69985,0.487096,jodie_rnn
5,pipeline,0.025,2001.337,2001.311,0.200017,0.200017,0.656828,0.487096,temporal_event_gnn_jodie
6,pipeline,0.025,2001.337,2001.311,0.206377,0.206377,0.597799,0.487096,temporal_event_gnn_jodie
7,pipeline,0.025,2001.337,2001.311,0.327239,0.327239,0.688844,0.487096,jodie_rnn
8,pipeline,0.025,2001.337,2001.311,0.198497,0.198497,0.663332,0.487096,temporal_event_gnn_jodie
9,pipeline,2001.375,3992.992,1991.617,0.175986,0.175986,0.583292,0.487096,temporal_event_gnn_jodie
10,pipeline,2001.375,3992.992,1991.617,0.157739,0.157739,0.511756,0.487096,temporal_event_gnn_jodie
11,pipeline,2001.375,3992.992,1991.617,0.181608,0.181608,0.597299,0.487096,temporal_event_gnn_jodie
12,pipeline,2001.375,3992.992,1991.617,0.247283,0.247283,0.685343,0.487096,temporal_event_gnn_jodie
13,pipeline,2001.375,3992.992,1991.617,0.194692,0.194692,0.611806,0.487096,temporal_event_gnn_jodie
14,pipeline,2001.375,3992.992,1991.617,0.307216,0.307216,0.726863,0.487096,jodie_rnn
15,pipeline,2001.375,3992.992,1991.617,0.168124,0.168124,0.589795,0.487096,temporal_event_gnn_jodie
16,pipeline,2001.375,3992.992,1991.617,0.260666,0.260666,0.676338,0.487096,jodie_rnn
17,pipeline,2001.375,3992.992,1991.617,0.373819,0.373819,0.785893,0.487096,jodie_rnn
18,pipeline,3993.03,6255.469,2262.44,0.174333,0.174333,0.613307,0.487096,temporal_event_gnn_jodie
19,pipeline,3993.03,6255.469,2262.44,0.148445,0.148445,0.527764,0.487096,temporal_event_gnn_jodie
20,pipeline,3993.03,6255.469,2262.44,0.206424,0.206424,0.570285,0.487096,temporal_event_gnn_jodie
21,pipeline,3993.03,6255.469,2262.44,0.126603,0.126603,0.298149,0.487096,jodie_rnn
22,pipeline,3993.03,6255.469,2262.44,0.126603,0.126603,0.298149,0.487096,jodie_rnn
23,pipeline,3993.03,6255.469,2262.44,0.179197,0.179197,0.612306,0.487096,temporal_event_gnn_jodie
24,pipeline,3993.03,6255.469,2262.44,0.35193,0.35193,0.746373,0.487096,jodie_rnn
25,pipeline,3993.03,6255.469,2262.44,0.203475,0.203475,0.684342,0.487096,temporal_event_gnn_jodie
26,pipeline,3993.03,6255.469,2262.44,0.165332,0.165332,0.544772,0.487096,temporal_event_gnn_jodie
