trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,0,126.322,0,0.161293,0.161293,0.532266,0.161293,temporal_event_gnn_jodie
1,pipeline_smart,0.0,170.133,0,0.247949,0.247949,0.687844,0.247949,temporal_event_gnn_jodie
2,pipeline_smart,0.0,189.405,0,0.387198,0.387198,0.798399,0.387198,jodie_rnn
3,pipeline_smart,0.0,191.741,0,0.641354,0.641354,0.914457,0.641354,jodie_rnn
4,pipeline_smart,0.0,218.76,0,0.311352,0.311352,0.774387,0.641354,jodie_rnn
5,pipeline_smart,0.0,240.0,0,0.150418,0.150418,0.502251,0.641354,temporal_event_gnn_jodie
6,pipeline_smart,0.0,248.258,0,0.311895,0.311895,0.792896,0.641354,jodie_rnn
7,pipeline_smart,0.0,286.263,0,0.156869,0.156869,0.503252,0.641354,temporal_event_gnn_jodie
8,pipeline_smart,0.0,292.2,0,0.649058,0.649058,0.896948,0.649058,jodie_rnn
9,pipeline_smart,0.0,301.239,0,0.408953,0.408953,0.845923,0.649058,jodie_rnn
10,pipeline_smart,0.0,332.701,0,0.141663,0.141663,0.48024,0.649058,temporal_event_gnn_jodie
11,pipeline_smart,0.0,352.404,0,0.157222,0.157222,0.553277,0.649058,temporal_event_gnn_jodie
12,pipeline_smart,0.0,366.539,0,0.126603,0.126603,0.298149,0.649058,jodie_rnn
13,pipeline_smart,0.0,371.448,0,0.3033,0.3033,0.781891,0.649058,jodie_rnn
14,pipeline_smart,0.0,414.629,0,0.165818,0.165818,0.564282,0.649058,temporal_event_gnn_jodie
15,pipeline_smart,0.0,419.727,0,0.147736,0.147736,0.505753,0.649058,temporal_event_gnn_jodie
16,pipeline_smart,0.0,435.884,0,0.176733,0.176733,0.583792,0.649058,temporal_event_gnn_jodie
17,pipeline_smart,0.0,464.555,0,0.126603,0.126603,0.298149,0.649058,jodie_rnn
18,pipeline_smart,0.0,467.877,0,0.357335,0.357335,0.787894,0.649058,temporal_event_gnn_jodie
19,pipeline_smart,0.0,501.494,0,0.269719,0.269719,0.661331,0.649058,temporal_event_gnn_jodie
20,pipeline_smart,0.0,505.465,0,0.162172,0.162172,0.542271,0.649058,temporal_event_gnn_jodie
21,pipeline_smart,0.0,508.424,0,0.156703,0.156703,0.498249,0.649058,temporal_event_gnn_jodie
22,pipeline_smart,0.0,547.619,0,0.212341,0.212341,0.674337,0.649058,temporal_event_gnn_jodie
23,pipeline_smart,0.0,569.745,0,0.449958,0.449958,0.843922,0.649058,jodie_rnn
24,pipeline_smart,0.0,577.447,0,0.595309,0.595309,0.913957,0.649058,jodie_rnn
25,pipeline_smart,0.0,598.094,0,0.192959,0.192959,0.593297,0.649058,temporal_event_gnn_jodie
26,pipeline_smart,0.0,626.699,0,0.311298,0.311298,0.728364,0.649058,jodie_rnn
