trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,0.0,57.553,0,0.276828,0.276828,0.656328,0.276828,temporal_event_gnn_jodie
1,pipeline_smart,0.0,101.363,0,0.22689,0.22689,0.67984,0.276828,temporal_event_gnn_jodie
2,pipeline_smart,0.0,150.688,0,0.317467,0.317467,0.745873,0.317467,temporal_event_gnn_jodie
3,pipeline_smart,0.0,221.027,0,0.476102,0.476102,0.884442,0.476102,jodie_rnn
4,pipeline_smart,0.0,265.99,0,0.667232,0.667232,0.907454,0.667232,jodie_rnn
5,pipeline_smart,0.0,322.779,0,0.344375,0.344375,0.738869,0.667232,jodie_rnn
6,pipeline_smart,0.0,368.068,0,0.704131,0.704131,0.93997,0.704131,jodie_rnn
7,pipeline_smart,0.0,437.489,0,0.175067,0.175067,0.544772,0.704131,temporal_event_gnn_jodie
8,pipeline_smart,0.0,505.123,0,0.474951,0.474951,0.858429,0.704131,jodie_rnn
9,pipeline_smart,0.0,554.072,0,0.380804,0.380804,0.781891,0.704131,jodie_rnn
10,pipeline_smart,0.0,752.387,0,0.186899,0.186899,0.651826,0.704131,temporal_event_gnn_jodie
11,pipeline_smart,0.0,1005.176,0,0.180945,0.180945,0.578789,0.704131,temporal_event_gnn_jodie
12,pipeline_smart,0.0,1266.472,0,0.201079,0.201079,0.663332,0.704131,temporal_event_gnn_jodie
13,pipeline_smart,0.0,1654.822,0,0.256731,0.256731,0.637819,0.704131,temporal_event_gnn_jodie
14,pipeline_smart,0.0,1862.351,0,0.300514,0.300514,0.715358,0.704131,jodie_rnn
15,pipeline_smart,0.0,2054.424,0,0.599167,0.599167,0.92096,0.704131,jodie_rnn
16,pipeline_smart,0.0,2424.125,0,0.155561,0.155561,0.494747,0.704131,temporal_event_gnn_jodie
17,pipeline_smart,0.0,2798.971,0,0.180666,0.180666,0.532266,0.704131,temporal_event_gnn_jodie
18,pipeline_smart,0.0,3059.78,0,0.177867,0.177867,0.544272,0.704131,temporal_event_gnn_jodie
19,pipeline_smart,0.0,3260.984,0,0.801753,0.801753,0.971486,0.801753,jodie_rnn
20,pipeline_smart,0.0,3487.921,0,0.309738,0.309738,0.733367,0.801753,jodie_rnn
21,pipeline_smart,0.0,3733.082,0,0.181204,0.181204,0.575788,0.801753,temporal_event_gnn_jodie
22,pipeline_smart,0.0,3992.174,0,0.198686,0.198686,0.616808,0.801753,temporal_event_gnn_jodie
23,pipeline_smart,0.0,4275.916,0,0.168466,0.168466,0.522261,0.801753,temporal_event_gnn_jodie
24,pipeline_smart,0.0,4528.774,0,0.153304,0.153304,0.469235,0.801753,temporal_event_gnn_jodie
25,pipeline_smart,0.0,4734.995,0,0.371894,0.371894,0.732366,0.801753,jodie_rnn
26,pipeline_smart,0.0,4942.51,0,0.293101,0.293101,0.734367,0.801753,jodie_rnn
