trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.005,114.711,114.705,0.257927,0.257927,0.681841,0.257927,temporal_event_gnn_jodie
1,serial,114.717,255.637,140.921,0.282512,0.282512,0.707854,0.282512,jodie_rnn
2,serial,255.643,366.753,111.11,0.410091,0.410091,0.827414,0.410091,jodie_rnn
3,serial,366.759,498.471,131.712,0.126603,0.126603,0.298149,0.410091,jodie_rnn
4,serial,498.477,596.93,98.453,0.43003,0.43003,0.855428,0.43003,jodie_rnn
5,serial,596.945,720.572,123.627,0.252684,0.252684,0.654827,0.43003,temporal_event_gnn_jodie
6,serial,720.578,883.708,163.13,0.401644,0.401644,0.796398,0.43003,jodie_rnn
7,serial,883.714,1018.706,134.992,0.5718,0.5718,0.901451,0.5718,jodie_rnn
8,serial,1018.712,1109.931,91.219,0.764253,0.764253,0.978989,0.764253,jodie_rnn
9,serial,1109.936,1207.76,97.824,0.231732,0.231732,0.674837,0.764253,temporal_event_gnn_jodie
10,serial,1207.766,1350.763,142.997,0.191895,0.191895,0.622311,0.764253,temporal_event_gnn_jodie
11,serial,1350.772,1483.862,133.09,0.574421,0.574421,0.867434,0.764253,jodie_rnn
12,serial,1483.868,1660.057,176.189,0.464401,0.464401,0.814907,0.764253,jodie_rnn
13,serial,1660.065,1844.705,184.64,0.718063,0.718063,0.948474,0.764253,jodie_rnn
14,serial,1844.712,1945.946,101.234,0.212,0.212,0.688344,0.764253,temporal_event_gnn_jodie
15,serial,1945.952,2076.427,130.475,0.267492,0.267492,0.684842,0.764253,temporal_event_gnn_jodie
16,serial,2076.435,2216.511,140.076,0.186347,0.186347,0.606303,0.764253,temporal_event_gnn_jodie
17,serial,2216.517,2323.381,106.863,0.185188,0.185188,0.498249,0.764253,temporal_event_gnn_jodie
18,serial,2323.386,2505.718,182.331,0.593058,0.593058,0.950975,0.764253,jodie_rnn
19,serial,2505.725,2613.385,107.66,0.514712,0.514712,0.90045,0.764253,jodie_rnn
20,serial,2613.39,2768.725,155.335,0.423547,0.423547,0.782391,0.764253,jodie_rnn
21,serial,2768.737,2886.331,117.594,0.166025,0.166025,0.615808,0.764253,temporal_event_gnn_jodie
22,serial,2886.339,3000.657,114.318,0.310454,0.310454,0.725363,0.764253,temporal_event_gnn_jodie
23,serial,3000.662,3097.685,97.023,0.175681,0.175681,0.583292,0.764253,temporal_event_gnn_jodie
24,serial,3097.691,3277.962,180.271,0.567572,0.567572,0.846923,0.764253,jodie_rnn
25,serial,3277.972,3376.71,98.738,0.223242,0.223242,0.670335,0.764253,temporal_event_gnn_jodie
26,serial,3376.717,3476.363,99.646,0.252349,0.252349,0.696348,0.764253,temporal_event_gnn_jodie
