seed,method,trials,wall_time_s,best_score,avg_time_per_trial_s
42,serial,27,3540,0.7481823937495844,131
42,data_parallel,27,2882,0.7333406807855726,106
42,pipeline_naive,27,2667,0.6833861714423319,98
42,pipeline_smart,27,651,0.7377518756887808,24
43,serial,27,3529,0.6010480752093437,130
43,data_parallel,27,2641,0.7189996628074035,97
43,pipeline_naive,27,2726,0.7293607426617242,100
43,pipeline_smart,27,642,0.7186782530557346,23
44,serial,27,3476,0.7642527975168554,128
44,data_parallel,27,3702,0.7357884174333426,137
44,pipeline_naive,27,2546,0.7007596642933861,94
44,pipeline_smart,27,695,0.7040019596791199,25
