trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,data_parallel,0.042,119.859,119.817,0.392445,0.392445,0.745373,0.392445,jodie_rnn
1,data_parallel,119.876,249.953,130.078,0.453671,0.453671,0.816408,0.453671,jodie_rnn
2,data_parallel,249.967,361.624,111.656,0.186836,0.186836,0.497249,0.453671,temporal_event_gnn_jodie
3,data_parallel,361.641,479.898,118.257,0.730331,0.730331,0.944972,0.730331,jodie_rnn
4,data_parallel,479.922,603.61,123.688,0.186681,0.186681,0.569785,0.730331,temporal_event_gnn_jodie
5,data_parallel,603.629,704.515,100.886,0.30068,0.30068,0.703352,0.730331,jodie_rnn
6,data_parallel,704.529,808.549,104.021,0.261499,0.261499,0.697349,0.730331,temporal_event_gnn_jodie
7,data_parallel,808.602,909.159,100.557,0.262134,0.262134,0.685843,0.730331,temporal_event_gnn_jodie
8,data_parallel,909.273,1021.904,112.631,0.280635,0.280635,0.744372,0.730331,jodie_rnn
9,data_parallel,1021.927,1135.263,113.336,0.438045,0.438045,0.826913,0.730331,jodie_rnn
10,data_parallel,1135.274,1232.153,96.879,0.27923,0.27923,0.717359,0.730331,temporal_event_gnn_jodie
11,data_parallel,1232.164,1351.99,119.826,0.178568,0.178568,0.589795,0.730331,temporal_event_gnn_jodie
12,data_parallel,1352.014,1456.976,104.962,0.34952,0.34952,0.758879,0.730331,jodie_rnn
13,data_parallel,1456.994,1553.812,96.818,0.285448,0.285448,0.725863,0.730331,jodie_rnn
14,data_parallel,1553.831,1682.96,129.129,0.662928,0.662928,0.905953,0.730331,jodie_rnn
15,data_parallel,1682.977,1799.537,116.56,0.291666,0.291666,0.746373,0.730331,temporal_event_gnn_jodie
16,data_parallel,1799.55,1902.702,103.152,0.442614,0.442614,0.83992,0.730331,jodie_rnn
17,data_parallel,1902.728,2027.477,124.749,0.329553,0.329553,0.702851,0.730331,jodie_rnn
18,data_parallel,2027.494,2118.533,91.039,0.254572,0.254572,0.693847,0.730331,temporal_event_gnn_jodie
19,data_parallel,2118.55,2250.026,131.477,0.17759,0.17759,0.557279,0.730331,temporal_event_gnn_jodie
20,data_parallel,2250.04,2348.363,98.323,0.270755,0.270755,0.706853,0.730331,temporal_event_gnn_jodie
21,data_parallel,2348.382,2464.943,116.561,0.301272,0.301272,0.715858,0.730331,jodie_rnn
22,data_parallel,2464.955,2578.353,113.398,0.345673,0.345673,0.746873,0.730331,jodie_rnn
23,data_parallel,2578.369,2687.232,108.864,0.16254,0.16254,0.538269,0.730331,temporal_event_gnn_jodie
24,data_parallel,2687.258,2823.762,136.504,0.695038,0.695038,0.93997,0.730331,jodie_rnn
25,data_parallel,2823.776,2938.113,114.337,0.449285,0.449285,0.852426,0.730331,jodie_rnn
26,data_parallel,2938.134,3062.636,124.502,0.608681,0.608681,0.909455,0.730331,jodie_rnn
