trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.014,322.642,322.628,0.383092,0.383092,0.755878,0.383092,jodie_rnn
1,pipeline,0.014,322.642,322.628,0.199726,0.199726,0.627814,0.383092,temporal_event_gnn_jodie
2,pipeline,0.014,322.642,322.628,0.13356,0.13356,0.472736,0.383092,temporal_event_gnn_jodie
3,pipeline,322.699,649.703,327.003,0.555361,0.555361,0.889945,0.555361,jodie_rnn
4,pipeline,322.699,649.703,327.003,0.274695,0.274695,0.705853,0.555361,jodie_rnn
5,pipeline,322.699,649.703,327.003,0.170351,0.170351,0.565783,0.555361,temporal_event_gnn_jodie
6,pipeline,649.72,975.017,325.297,0.427198,0.427198,0.777889,0.555361,jodie_rnn
7,pipeline,649.72,975.017,325.297,0.191377,0.191377,0.535768,0.555361,temporal_event_gnn_jodie
8,pipeline,649.72,975.017,325.297,0.126603,0.126603,0.298149,0.555361,jodie_rnn
9,pipeline,975.033,1262.095,287.062,0.660859,0.660859,0.906953,0.660859,jodie_rnn
10,pipeline,975.033,1262.095,287.062,0.215978,0.215978,0.634317,0.660859,temporal_event_gnn_jodie
11,pipeline,975.033,1262.095,287.062,0.281232,0.281232,0.689845,0.660859,jodie_rnn
12,pipeline,1262.119,1541.229,279.11,0.213322,0.213322,0.652326,0.660859,temporal_event_gnn_jodie
13,pipeline,1262.119,1541.229,279.11,0.197042,0.197042,0.648324,0.660859,temporal_event_gnn_jodie
14,pipeline,1262.119,1541.229,279.11,0.259632,0.259632,0.668834,0.660859,jodie_rnn
15,pipeline,1541.252,1816.666,275.413,0.230322,0.230322,0.633317,0.660859,temporal_event_gnn_jodie
16,pipeline,1541.252,1816.666,275.413,0.367578,0.367578,0.7994,0.660859,jodie_rnn
17,pipeline,1541.252,1816.666,275.413,0.312103,0.312103,0.770885,0.660859,temporal_event_gnn_jodie
18,pipeline,1816.685,2151.29,334.605,0.683386,0.683386,0.958479,0.683386,jodie_rnn
19,pipeline,1816.685,2151.29,334.605,0.316478,0.316478,0.786893,0.683386,jodie_rnn
20,pipeline,1816.685,2151.29,334.605,0.365902,0.365902,0.757379,0.683386,jodie_rnn
21,pipeline,2151.307,2420.44,269.133,0.64836,0.64836,0.938469,0.683386,jodie_rnn
22,pipeline,2151.307,2420.44,269.133,0.246036,0.246036,0.69935,0.683386,temporal_event_gnn_jodie
23,pipeline,2151.307,2420.44,269.133,0.272803,0.272803,0.696848,0.683386,jodie_rnn
24,pipeline,2420.465,2749.278,328.813,0.19575,0.19575,0.635318,0.683386,temporal_event_gnn_jodie
25,pipeline,2420.465,2749.278,328.813,0.213245,0.213245,0.691846,0.683386,jodie_rnn
26,pipeline,2420.465,2749.278,328.813,0.529258,0.529258,0.874937,0.683386,jodie_rnn
