trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.008,166.056,166.049,0.414739,0.414739,0.76038,0.414739,jodie_rnn
1,serial,166.062,284.375,118.313,0.748182,0.748182,0.98099,0.748182,jodie_rnn
2,serial,284.383,402.501,118.118,0.183864,0.183864,0.646823,0.748182,temporal_event_gnn_jodie
3,serial,402.507,502.829,100.323,0.14706,0.14706,0.507254,0.748182,temporal_event_gnn_jodie
4,serial,502.835,638.039,135.204,0.183479,0.183479,0.510755,0.748182,temporal_event_gnn_jodie
5,serial,638.044,763.906,125.862,0.311362,0.311362,0.746373,0.748182,jodie_rnn
6,serial,763.912,898.493,134.582,0.19538,0.19538,0.545773,0.748182,temporal_event_gnn_jodie
7,serial,898.499,1009.961,111.462,0.447387,0.447387,0.829415,0.748182,jodie_rnn
8,serial,1009.968,1183.41,173.443,0.609545,0.609545,0.94097,0.748182,jodie_rnn
9,serial,1183.422,1298.796,115.375,0.250853,0.250853,0.673337,0.748182,temporal_event_gnn_jodie
10,serial,1298.802,1471.25,172.449,0.32536,0.32536,0.755878,0.748182,jodie_rnn
11,serial,1471.258,1639.634,168.376,0.393733,0.393733,0.778889,0.748182,jodie_rnn
12,serial,1639.64,1752.914,113.274,0.169293,0.169293,0.62031,0.748182,temporal_event_gnn_jodie
13,serial,1752.92,1936.353,183.432,0.408225,0.408225,0.825913,0.748182,jodie_rnn
14,serial,1936.359,2032.923,96.564,0.430707,0.430707,0.851926,0.748182,jodie_rnn
15,serial,2032.929,2151.219,118.289,0.47242,0.47242,0.850925,0.748182,jodie_rnn
16,serial,2151.225,2346.73,195.505,0.624301,0.624301,0.928464,0.748182,jodie_rnn
17,serial,2346.737,2537.467,190.73,0.582022,0.582022,0.908454,0.748182,jodie_rnn
18,serial,2537.476,2653.502,116.026,0.190195,0.190195,0.617309,0.748182,temporal_event_gnn_jodie
19,serial,2653.508,2773.354,119.846,0.189078,0.189078,0.651826,0.748182,temporal_event_gnn_jodie
20,serial,2773.359,2869.933,96.574,0.243018,0.243018,0.690845,0.748182,temporal_event_gnn_jodie
21,serial,2869.944,2991.105,121.161,0.304221,0.304221,0.712856,0.748182,jodie_rnn
22,serial,2991.11,3089.703,98.592,0.223389,0.223389,0.662831,0.748182,temporal_event_gnn_jodie
23,serial,3089.708,3232.614,142.906,0.331651,0.331651,0.738869,0.748182,jodie_rnn
24,serial,3232.62,3336.282,103.663,0.244093,0.244093,0.68034,0.748182,temporal_event_gnn_jodie
25,serial,3336.296,3475.805,139.508,0.326604,0.326604,0.738869,0.748182,jodie_rnn
26,serial,3475.811,3575.697,99.887,0.215537,0.215537,0.657329,0.748182,temporal_event_gnn_jodie
