trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,data_parallel,0.048,121.157,121.109,0.418727,0.418727,0.801401,0.418727,jodie_rnn
1,data_parallel,121.172,220.129,98.957,0.119442,0.119442,0.357179,0.418727,jodie_rnn
2,data_parallel,220.189,329.027,108.838,0.47089,0.47089,0.894447,0.47089,jodie_rnn
3,data_parallel,329.101,468.588,139.487,0.425384,0.425384,0.845423,0.47089,jodie_rnn
4,data_parallel,468.602,561.447,92.845,0.350086,0.350086,0.751376,0.47089,jodie_rnn
5,data_parallel,561.46,686.55,125.089,0.426903,0.426903,0.830915,0.47089,jodie_rnn
6,data_parallel,686.56,776.354,89.794,0.612202,0.612202,0.916458,0.612202,jodie_rnn
7,data_parallel,776.392,904.562,128.17,0.602306,0.602306,0.878439,0.612202,jodie_rnn
8,data_parallel,904.6,1024.885,120.285,0.412058,0.412058,0.8009,0.612202,jodie_rnn
9,data_parallel,1024.907,1160.36,135.453,0.719963,0.719963,0.949975,0.719963,jodie_rnn
10,data_parallel,1160.375,1268.17,107.795,0.53144,0.53144,0.910455,0.719963,jodie_rnn
11,data_parallel,1268.195,1385.198,117.003,0.286081,0.286081,0.752376,0.719963,jodie_rnn
12,data_parallel,1385.219,1513.472,128.253,0.693559,0.693559,0.936468,0.719963,jodie_rnn
13,data_parallel,1513.515,1626.784,113.269,0.389064,0.389064,0.765383,0.719963,jodie_rnn
14,data_parallel,1626.831,1757.807,130.976,0.550194,0.550194,0.87944,0.719963,jodie_rnn
15,data_parallel,1757.819,1881.374,123.555,0.391202,0.391202,0.777889,0.719963,jodie_rnn
