trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.016,1024.193,1024.178,0.228907,0.228907,0.701851,0.228907,jodie_rnn
1,pipeline,0.016,1024.193,1024.178,0.47124,0.47124,0.881941,0.47124,jodie_rnn
2,pipeline,0.016,1024.193,1024.178,0.423213,0.423213,0.764882,0.47124,jodie_rnn
3,pipeline,0.016,1024.193,1024.178,0.61566,0.61566,0.921961,0.61566,jodie_rnn
4,pipeline,0.016,1024.193,1024.178,0.126603,0.126603,0.298149,0.61566,jodie_rnn
5,pipeline,0.016,1024.193,1024.178,0.298235,0.298235,0.655328,0.61566,jodie_rnn
6,pipeline,0.016,1024.193,1024.178,0.777789,0.777789,0.969985,0.777789,jodie_rnn
7,pipeline,0.016,1024.193,1024.178,0.515067,0.515067,0.926463,0.777789,jodie_rnn
8,pipeline,0.016,1024.193,1024.178,0.281595,0.281595,0.692346,0.777789,jodie_rnn
9,pipeline,1024.227,1827.035,802.808,0.0,0.0,0.0,0.777789,jodie_rnn
10,pipeline,1024.227,1827.035,802.808,0.487577,0.487577,0.871436,0.777789,jodie_rnn
11,pipeline,1024.227,1827.035,802.808,0.0,0.0,0.0,0.777789,jodie_rnn
12,pipeline,1024.227,1827.035,802.808,0.0,0.0,0.0,0.777789,jodie_rnn
13,pipeline,1024.227,1827.035,802.808,0.0,0.0,0.0,0.777789,jodie_rnn
14,pipeline,1024.227,1827.035,802.808,0.0,0.0,0.0,0.777789,jodie_rnn
15,pipeline,1024.227,1827.035,802.808,0.0,0.0,0.0,0.777789,jodie_rnn
16,pipeline,1024.227,1827.035,802.808,0.0,0.0,0.0,0.777789,jodie_rnn
17,pipeline,1024.227,1827.035,802.808,0.0,0.0,0.0,0.777789,jodie_rnn
