trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.007,347.521,347.514,0.22957,0.22957,0.693347,0.22957,jodie_rnn
1,pipeline,0.007,347.521,347.514,0.479654,0.479654,0.85993,0.479654,jodie_rnn
2,pipeline,0.007,347.521,347.514,0.431132,0.431132,0.789895,0.479654,jodie_rnn
3,pipeline,347.533,708.832,361.299,0.126603,0.126603,0.298149,0.479654,jodie_rnn
4,pipeline,347.533,708.832,361.299,0.670398,0.670398,0.945473,0.670398,jodie_rnn
5,pipeline,347.533,708.832,361.299,0.59964,0.59964,0.883942,0.670398,jodie_rnn
6,pipeline,708.842,959.478,250.636,0.380548,0.380548,0.797899,0.670398,jodie_rnn
7,pipeline,708.842,959.478,250.636,0.305048,0.305048,0.669335,0.670398,jodie_rnn
8,pipeline,708.842,959.478,250.636,0.652219,0.652219,0.909455,0.670398,jodie_rnn
9,pipeline,959.495,1301.213,341.717,0.549015,0.549015,0.890945,0.670398,jodie_rnn
10,pipeline,959.495,1301.213,341.717,0.126603,0.126603,0.298149,0.670398,jodie_rnn
11,pipeline,959.495,1301.213,341.717,0.611048,0.611048,0.923462,0.670398,jodie_rnn
12,pipeline,1301.225,1612.013,310.788,0.426603,0.426603,0.775888,0.670398,jodie_rnn
13,pipeline,1301.225,1612.013,310.788,0.315938,0.315938,0.70035,0.670398,jodie_rnn
14,pipeline,1301.225,1612.013,310.788,0.235962,0.235962,0.746373,0.670398,jodie_rnn
15,pipeline,1612.027,1840.705,228.678,0.0,0.0,0.0,0.670398,jodie_rnn
16,pipeline,1612.027,1840.705,228.678,0.0,0.0,0.0,0.670398,jodie_rnn
17,pipeline,1612.027,1840.705,228.678,0.0,0.0,0.0,0.670398,jodie_rnn
