trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.005,156.667,156.662,0.27469,0.27469,0.725863,0.27469,jodie_rnn
1,serial,156.671,300.776,144.105,0.126603,0.126603,0.298149,0.27469,jodie_rnn
2,serial,300.78,493.918,193.138,0.569029,0.569029,0.952976,0.569029,jodie_rnn
3,serial,493.922,689.435,195.513,0.598962,0.598962,0.882941,0.598962,jodie_rnn
4,serial,689.439,795.994,106.554,0.392415,0.392415,0.774887,0.598962,jodie_rnn
5,serial,795.997,911.261,115.264,0.374343,0.374343,0.790395,0.598962,jodie_rnn
6,serial,911.268,1042.439,131.172,0.301648,0.301648,0.732366,0.598962,jodie_rnn
7,serial,1042.443,1161.621,119.177,0.27732,0.27732,0.726863,0.598962,jodie_rnn
8,serial,1161.625,1338.384,176.759,0.526676,0.526676,0.867434,0.598962,jodie_rnn
9,serial,1338.395,1466.75,128.355,0.625091,0.625091,0.921961,0.625091,jodie_rnn
10,serial,1466.754,1581.186,114.432,0.284605,0.284605,0.688844,0.625091,jodie_rnn
11,serial,1581.189,1738.66,157.47,0.571893,0.571893,0.938969,0.625091,jodie_rnn
12,serial,1738.665,1837.161,98.497,0.313987,0.313987,0.801401,0.625091,jodie_rnn
