trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,data_parallel,0.033,75.929,75.896,0.188844,0.188844,0.622811,0.188844,temporal_event_gnn_jodie
1,data_parallel,75.943,126.821,50.878,0.098919,0.098919,0.416208,0.188844,temporal_event_gnn_jodie
2,data_parallel,126.834,197.629,70.796,0.08045,0.08045,0.206603,0.188844,temporal_event_gnn_jodie
3,data_parallel,197.656,268.303,70.647,0.52794,0.52794,0.887944,0.52794,jodie_rnn
4,data_parallel,268.318,326.054,57.736,0.172786,0.172786,0.529265,0.52794,temporal_event_gnn_jodie
5,data_parallel,326.07,400.841,74.77,0.173903,0.173903,0.547774,0.52794,temporal_event_gnn_jodie
6,data_parallel,400.861,485.562,84.7,0.205246,0.205246,0.530765,0.52794,jodie_rnn
7,data_parallel,485.577,563.669,78.092,0.146882,0.146882,0.401201,0.52794,jodie_rnn
8,data_parallel,563.684,620.796,57.112,0.086788,0.086788,0.221611,0.52794,temporal_event_gnn_jodie
9,data_parallel,620.814,687.131,66.317,0.119442,0.119442,0.357179,0.52794,jodie_rnn
10,data_parallel,687.148,762.755,75.607,0.28245,0.28245,0.845423,0.52794,jodie_rnn
11,data_parallel,762.775,825.363,62.588,0.163845,0.163845,0.495248,0.52794,temporal_event_gnn_jodie
12,data_parallel,825.376,898.955,73.579,0.181954,0.181954,0.572786,0.52794,temporal_event_gnn_jodie
13,data_parallel,898.97,975.048,76.079,0.185734,0.185734,0.571286,0.52794,temporal_event_gnn_jodie
14,data_parallel,975.068,1051.824,76.756,0.19087,0.19087,0.475738,0.52794,jodie_rnn
