trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.012,342.71,342.698,0.208244,0.208244,0.632842,0.208244,temporal_event_gnn_jodie
1,pipeline,0.012,342.71,342.698,0.422311,0.422311,0.816546,0.422311,jodie_rnn
2,pipeline,0.012,342.71,342.698,0.142227,0.142227,0.501625,0.422311,temporal_event_gnn_jodie
3,pipeline,342.733,615.794,273.061,0.082862,0.082862,0.223444,0.422311,temporal_event_gnn_jodie
4,pipeline,342.733,615.794,273.061,0.078993,0.078993,0.215946,0.422311,temporal_event_gnn_jodie
5,pipeline,342.733,615.794,273.061,0.193365,0.193365,0.604849,0.422311,temporal_event_gnn_jodie
6,pipeline,615.821,865.104,249.283,0.148865,0.148865,0.562609,0.422311,temporal_event_gnn_jodie
7,pipeline,615.821,865.104,249.283,0.184401,0.184401,0.59885,0.422311,temporal_event_gnn_jodie
8,pipeline,615.821,865.104,249.283,0.216703,0.216703,0.583354,0.422311,temporal_event_gnn_jodie
9,pipeline,865.129,1202.93,337.801,0.314897,0.314897,0.72182,0.422311,jodie_rnn
10,pipeline,865.129,1202.93,337.801,0.668124,0.668124,0.915771,0.668124,jodie_rnn
11,pipeline,865.129,1202.93,337.801,0.168497,0.168497,0.622344,0.668124,temporal_event_gnn_jodie
12,pipeline,1202.957,1514.949,311.992,0.541236,0.541236,0.835791,0.668124,jodie_rnn
13,pipeline,1202.957,1514.949,311.992,0.085603,0.085603,0.245189,0.668124,temporal_event_gnn_jodie
14,pipeline,1202.957,1514.949,311.992,0.129889,0.129889,0.290677,0.668124,jodie_rnn
15,pipeline,1514.975,1793.201,278.226,0.304576,0.304576,0.692827,0.668124,jodie_rnn
16,pipeline,1514.975,1793.201,278.226,0.205165,0.205165,0.607098,0.668124,temporal_event_gnn_jodie
17,pipeline,1514.975,1793.201,278.226,0.129889,0.129889,0.290677,0.668124,jodie_rnn
18,pipeline,1793.219,2093.978,300.759,0.155373,0.155373,0.574856,0.668124,temporal_event_gnn_jodie
19,pipeline,1793.219,2093.978,300.759,0.166062,0.166062,0.589103,0.668124,temporal_event_gnn_jodie
20,pipeline,1793.219,2093.978,300.759,0.601359,0.601359,0.884279,0.668124,jodie_rnn
21,pipeline,2094.0,2410.061,316.061,0.288535,0.288535,0.72107,0.668124,jodie_rnn
22,pipeline,2094.0,2410.061,316.061,0.152647,0.152647,0.491877,0.668124,temporal_event_gnn_jodie
23,pipeline,2094.0,2410.061,316.061,0.497982,0.497982,0.877031,0.668124,jodie_rnn
24,pipeline,2410.082,2747.827,337.746,0.361442,0.361442,0.741815,0.668124,jodie_rnn
25,pipeline,2410.082,2747.827,337.746,0.201307,0.201307,0.632342,0.668124,temporal_event_gnn_jodie
26,pipeline,2410.082,2747.827,337.746,0.528137,0.528137,0.863284,0.668124,jodie_rnn
27,pipeline,2747.849,3039.421,291.572,0.191758,0.191758,0.647088,0.668124,temporal_event_gnn_jodie
28,pipeline,2747.849,3039.421,291.572,0.399896,0.399896,0.827043,0.668124,jodie_rnn
29,pipeline,2747.849,3039.421,291.572,0.093497,0.093497,0.223694,0.668124,temporal_event_gnn_jodie
