trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.006,186.03,186.024,0.44853,0.44853,0.830415,0.44853,jodie_rnn
1,serial,186.038,291.273,105.235,0.126603,0.126603,0.298149,0.44853,jodie_rnn
2,serial,291.28,420.307,129.027,0.126603,0.126603,0.298149,0.44853,jodie_rnn
3,serial,420.314,481.72,61.406,0.077611,0.077611,0.198599,0.44853,temporal_event_gnn_jodie
4,serial,481.727,599.899,118.172,0.164982,0.164982,0.498249,0.44853,temporal_event_gnn_jodie
5,serial,599.906,666.157,66.251,0.218667,0.218667,0.627814,0.44853,temporal_event_gnn_jodie
6,serial,666.164,732.045,65.881,0.232536,0.232536,0.682341,0.44853,temporal_event_gnn_jodie
7,serial,732.052,926.277,194.224,0.732187,0.732187,0.969985,0.732187,jodie_rnn
8,serial,926.284,1061.92,135.636,0.723144,0.723144,0.941471,0.732187,jodie_rnn
9,serial,1061.928,1221.011,159.083,0.200926,0.200926,0.667834,0.732187,temporal_event_gnn_jodie
10,serial,1221.018,1314.377,93.358,0.248503,0.248503,0.714357,0.732187,temporal_event_gnn_jodie
