trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,data_parallel,0.039,75.061,75.022,0.572412,0.572412,0.84985,0.572412,jodie_rnn
1,data_parallel,75.075,133.911,58.836,0.551619,0.551619,0.850851,0.572412,jodie_rnn
2,data_parallel,133.927,191.536,57.609,0.372862,0.372862,0.787788,0.572412,jodie_rnn
3,data_parallel,191.554,247.575,56.021,0.273369,0.273369,0.608609,0.572412,jodie_rnn
4,data_parallel,247.599,309.76,62.161,0.412434,0.412434,0.804805,0.572412,jodie_rnn
5,data_parallel,309.773,365.981,56.208,0.341695,0.341695,0.762763,0.572412,jodie_rnn
6,data_parallel,365.999,432.949,66.951,0.395117,0.395117,0.822823,0.572412,jodie_rnn
7,data_parallel,432.968,492.016,59.048,0.334975,0.334975,0.850851,0.572412,jodie_rnn
8,data_parallel,492.032,550.955,58.923,0.114697,0.114697,0.336336,0.572412,jodie_rnn
9,data_parallel,550.967,603.698,52.731,0.268202,0.268202,0.652653,0.572412,jodie_rnn
