trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.016,411.703,411.687,0.585199,0.585199,0.885886,0.585199,jodie_rnn
1,pipeline,0.016,411.703,411.687,0.199214,0.199214,0.65966,0.585199,jodie_rnn
2,pipeline,0.016,411.703,411.687,0.423031,0.423031,0.820821,0.585199,jodie_rnn
3,pipeline,0.016,411.703,411.687,0.299252,0.299252,0.677678,0.585199,jodie_rnn
4,pipeline,0.016,411.703,411.687,0.479619,0.479619,0.876877,0.585199,jodie_rnn
5,pipeline,0.016,411.703,411.687,0.128369,0.128369,0.315315,0.585199,jodie_rnn
6,pipeline,0.016,411.703,411.687,0.674985,0.674985,0.918919,0.674985,jodie_rnn
7,pipeline,0.016,411.703,411.687,0.128369,0.128369,0.315315,0.674985,jodie_rnn
8,pipeline,0.016,411.703,411.687,0.128369,0.128369,0.315315,0.674985,jodie_rnn
9,pipeline,411.749,1528.576,1116.827,0.652381,0.652381,0.932933,0.674985,jodie_rnn
10,pipeline,411.749,1528.576,1116.827,0.384427,0.384427,0.803804,0.674985,jodie_rnn
11,pipeline,411.749,1528.576,1116.827,0.61497,0.61497,0.910911,0.674985,jodie_rnn
12,pipeline,411.749,1528.576,1116.827,0.37997,0.37997,0.80981,0.674985,jodie_rnn
13,pipeline,411.749,1528.576,1116.827,0.307063,0.307063,0.698699,0.674985,jodie_rnn
14,pipeline,411.749,1528.576,1116.827,0.447836,0.447836,0.801802,0.674985,jodie_rnn
15,pipeline,411.749,1528.576,1116.827,0.545614,0.545614,0.880881,0.674985,jodie_rnn
16,pipeline,411.749,1528.576,1116.827,0.447271,0.447271,0.791792,0.674985,jodie_rnn
17,pipeline,411.749,1528.576,1116.827,0.386138,0.386138,0.720721,0.674985,jodie_rnn
