trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.029,190.474,190.445,0.570927,0.570927,0.898899,0.570927,jodie_rnn
1,pipeline,0.029,190.474,190.445,0.189711,0.189711,0.633634,0.570927,jodie_rnn
2,pipeline,0.029,190.474,190.445,0.478983,0.478983,0.843844,0.570927,jodie_rnn
3,pipeline,190.486,368.181,177.695,0.456345,0.456345,0.870871,0.570927,jodie_rnn
4,pipeline,190.486,368.181,177.695,0.415917,0.415917,0.787788,0.570927,jodie_rnn
5,pipeline,190.486,368.181,177.695,0.654664,0.654664,0.873874,0.654664,jodie_rnn
6,pipeline,368.194,541.823,173.629,0.187709,0.187709,0.661662,0.654664,jodie_rnn
7,pipeline,368.194,541.823,173.629,0.378519,0.378519,0.780781,0.654664,jodie_rnn
8,pipeline,368.194,541.823,173.629,0.348478,0.348478,0.767768,0.654664,jodie_rnn
9,pipeline,541.834,724.081,182.247,0.420734,0.420734,0.808809,0.654664,jodie_rnn
10,pipeline,541.834,724.081,182.247,0.128369,0.128369,0.315315,0.654664,jodie_rnn
11,pipeline,541.834,724.081,182.247,0.128369,0.128369,0.315315,0.654664,jodie_rnn
