trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,data_parallel,0.056,148.873,148.817,0.62401,0.62401,0.903452,0.62401,jodie_rnn
1,data_parallel,148.919,261.705,112.786,0.333214,0.333214,0.749875,0.62401,jodie_rnn
2,data_parallel,261.746,381.74,119.994,0.478534,0.478534,0.868434,0.62401,jodie_rnn
3,data_parallel,381.782,525.18,143.399,0.466494,0.466494,0.851426,0.62401,jodie_rnn
4,data_parallel,525.189,651.058,125.868,0.620638,0.620638,0.896948,0.62401,jodie_rnn
5,data_parallel,651.069,784.086,133.018,0.460508,0.460508,0.815908,0.62401,jodie_rnn
6,data_parallel,784.1,903.97,119.87,0.119442,0.119442,0.357179,0.62401,jodie_rnn
7,data_parallel,903.993,1048.661,144.667,0.714708,0.714708,0.947474,0.714708,jodie_rnn
8,data_parallel,1048.678,1169.906,121.229,0.119442,0.119442,0.357179,0.714708,jodie_rnn
9,data_parallel,1169.917,1305.877,135.96,0.577461,0.577461,0.881441,0.714708,jodie_rnn
10,data_parallel,1305.888,1424.854,118.967,0.379772,0.379772,0.802901,0.714708,jodie_rnn
11,data_parallel,1424.874,1553.0,128.126,0.341327,0.341327,0.755878,0.714708,jodie_rnn
12,data_parallel,1553.031,1684.96,131.929,0.356604,0.356604,0.723862,0.714708,jodie_rnn
13,data_parallel,1684.978,1811.504,126.526,0.119442,0.119442,0.357179,0.714708,jodie_rnn
