trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.016,976.753,976.737,0.536232,0.536232,0.936468,0.536232,jodie_rnn
1,pipeline,0.016,976.753,976.737,0.212203,0.212203,0.718359,0.536232,jodie_rnn
2,pipeline,0.016,976.753,976.737,0.575168,0.575168,0.885443,0.575168,jodie_rnn
3,pipeline,0.016,976.753,976.737,0.338959,0.338959,0.61981,0.575168,jodie_rnn
4,pipeline,0.016,976.753,976.737,0.664727,0.664727,0.91996,0.664727,jodie_rnn
5,pipeline,0.016,976.753,976.737,0.126603,0.126603,0.298149,0.664727,jodie_rnn
6,pipeline,0.016,976.753,976.737,0.655072,0.655072,0.931966,0.664727,jodie_rnn
7,pipeline,0.016,976.753,976.737,0.126603,0.126603,0.298149,0.664727,jodie_rnn
8,pipeline,0.016,976.753,976.737,0.126603,0.126603,0.298149,0.664727,jodie_rnn
9,pipeline,976.793,1964.779,987.986,0.33206,0.33206,0.733867,0.664727,jodie_rnn
10,pipeline,976.793,1964.779,987.986,0.365145,0.365145,0.752376,0.664727,jodie_rnn
11,pipeline,976.793,1964.779,987.986,0.548683,0.548683,0.910955,0.664727,jodie_rnn
12,pipeline,976.793,1964.779,987.986,0.761842,0.761842,0.974487,0.761842,jodie_rnn
13,pipeline,976.793,1964.779,987.986,0.384353,0.384353,0.771386,0.761842,jodie_rnn
14,pipeline,976.793,1964.779,987.986,0.126603,0.126603,0.298149,0.761842,jodie_rnn
15,pipeline,976.793,1964.779,987.986,0.260594,0.260594,0.703352,0.761842,jodie_rnn
16,pipeline,976.793,1964.779,987.986,0.750255,0.750255,0.934967,0.761842,jodie_rnn
17,pipeline,976.793,1964.779,987.986,0.592316,0.592316,0.943972,0.761842,jodie_rnn
