trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.013,437.516,437.503,0.631189,0.631189,0.925463,0.631189,jodie_rnn
1,pipeline,0.013,437.516,437.503,0.210524,0.210524,0.693847,0.631189,jodie_rnn
2,pipeline,0.013,437.516,437.503,0.590239,0.590239,0.876438,0.631189,jodie_rnn
3,pipeline,437.526,839.921,402.395,0.469292,0.469292,0.87994,0.631189,jodie_rnn
4,pipeline,437.526,839.921,402.395,0.364316,0.364316,0.730865,0.631189,jodie_rnn
5,pipeline,437.526,839.921,402.395,0.343313,0.343313,0.73937,0.631189,jodie_rnn
6,pipeline,839.933,1242.763,402.83,0.270216,0.270216,0.711356,0.631189,jodie_rnn
7,pipeline,839.933,1242.763,402.83,0.569775,0.569775,0.931966,0.631189,jodie_rnn
8,pipeline,839.933,1242.763,402.83,0.718129,0.718129,0.950975,0.718129,jodie_rnn
9,pipeline,1242.783,1606.577,363.794,0.599021,0.599021,0.912456,0.718129,jodie_rnn
10,pipeline,1242.783,1606.577,363.794,0.230667,0.230667,0.695848,0.718129,jodie_rnn
11,pipeline,1242.783,1606.577,363.794,0.475591,0.475591,0.867434,0.718129,jodie_rnn
12,pipeline,1606.588,1994.781,388.193,0.276378,0.276378,0.712856,0.718129,jodie_rnn
13,pipeline,1606.588,1994.781,388.193,0.425653,0.425653,0.785893,0.718129,jodie_rnn
14,pipeline,1606.588,1994.781,388.193,0.522905,0.522905,0.891946,0.718129,jodie_rnn
