trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.005,176.683,176.679,0.676951,0.676951,0.967484,0.676951,jodie_rnn
1,serial,176.688,347.213,170.525,0.385772,0.385772,0.721861,0.676951,jodie_rnn
2,serial,347.218,457.107,109.89,0.271527,0.271527,0.70035,0.676951,jodie_rnn
3,serial,457.111,580.059,122.949,0.126603,0.126603,0.298149,0.676951,jodie_rnn
4,serial,580.063,754.507,174.444,0.569029,0.569029,0.952976,0.676951,jodie_rnn
5,serial,754.511,927.001,172.49,0.598962,0.598962,0.882941,0.676951,jodie_rnn
6,serial,927.005,1033.342,106.337,0.488926,0.488926,0.841921,0.676951,jodie_rnn
7,serial,1033.346,1141.271,107.925,0.126603,0.126603,0.298149,0.676951,jodie_rnn
8,serial,1141.275,1272.932,131.657,0.345137,0.345137,0.744372,0.676951,jodie_rnn
9,serial,1272.939,1423.951,151.011,0.41639,0.41639,0.794897,0.676951,jodie_rnn
10,serial,1423.955,1595.617,171.662,0.557211,0.557211,0.903452,0.676951,jodie_rnn
11,serial,1595.623,1755.342,159.719,0.512194,0.512194,0.90045,0.676951,jodie_rnn
12,serial,1755.345,1916.07,160.725,0.577024,0.577024,0.934967,0.676951,jodie_rnn
