trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.013,159.217,159.203,0.162868,0.162868,0.618845,0.162868,temporal_event_gnn_jodie
1,pipeline,0.013,159.217,159.203,0.416342,0.416342,0.823294,0.416342,jodie_rnn
2,pipeline,0.013,159.217,159.203,0.153576,0.153576,0.594851,0.416342,temporal_event_gnn_jodie
3,pipeline,159.24,258.327,99.087,0.082614,0.082614,0.217946,0.416342,temporal_event_gnn_jodie
4,pipeline,159.24,258.327,99.087,0.080313,0.080313,0.218945,0.416342,temporal_event_gnn_jodie
5,pipeline,159.24,258.327,99.087,0.181649,0.181649,0.618345,0.416342,temporal_event_gnn_jodie
6,pipeline,258.355,351.934,93.579,0.158726,0.158726,0.563109,0.416342,temporal_event_gnn_jodie
7,pipeline,258.355,351.934,93.579,0.179379,0.179379,0.620845,0.416342,temporal_event_gnn_jodie
8,pipeline,258.355,351.934,93.579,0.216971,0.216971,0.583354,0.416342,temporal_event_gnn_jodie
9,pipeline,351.957,763.263,411.307,0.314765,0.314765,0.722069,0.416342,jodie_rnn
10,pipeline,351.957,763.263,411.307,0.668482,0.668482,0.913772,0.668482,jodie_rnn
11,pipeline,351.957,763.263,411.307,0.183443,0.183443,0.629343,0.668482,temporal_event_gnn_jodie
12,pipeline,763.289,879.266,115.977,0.532588,0.532588,0.824544,0.668482,jodie_rnn
13,pipeline,763.289,879.266,115.977,0.087966,0.087966,0.245689,0.668482,temporal_event_gnn_jodie
14,pipeline,763.289,879.266,115.977,0.119158,0.119158,0.346913,0.668482,jodie_rnn
15,pipeline,879.297,974.559,95.262,0.304576,0.304576,0.692827,0.668482,jodie_rnn
16,pipeline,879.297,974.559,95.262,0.214631,0.214631,0.619845,0.668482,temporal_event_gnn_jodie
17,pipeline,879.297,974.559,95.262,0.119158,0.119158,0.346913,0.668482,jodie_rnn
18,pipeline,974.586,1077.469,102.883,0.160974,0.160974,0.577356,0.668482,temporal_event_gnn_jodie
19,pipeline,974.586,1077.469,102.883,0.208624,0.208624,0.605349,0.668482,temporal_event_gnn_jodie
20,pipeline,974.586,1077.469,102.883,0.612413,0.612413,0.893027,0.668482,jodie_rnn
21,pipeline,1077.498,1305.25,227.752,0.288535,0.288535,0.72107,0.668482,jodie_rnn
22,pipeline,1077.498,1305.25,227.752,0.152129,0.152129,0.491627,0.668482,temporal_event_gnn_jodie
23,pipeline,1077.498,1305.25,227.752,0.531799,0.531799,0.900525,0.668482,jodie_rnn
24,pipeline,1305.284,1525.904,220.62,0.36271,0.36271,0.742064,0.668482,jodie_rnn
25,pipeline,1305.284,1525.904,220.62,0.168843,0.168843,0.632592,0.668482,temporal_event_gnn_jodie
26,pipeline,1305.284,1525.904,220.62,0.572124,0.572124,0.898275,0.668482,jodie_rnn
27,pipeline,1525.926,1670.608,144.682,0.212189,0.212189,0.622844,0.668482,temporal_event_gnn_jodie
28,pipeline,1525.926,1670.608,144.682,0.394567,0.394567,0.802049,0.668482,jodie_rnn
29,pipeline,1525.926,1670.608,144.682,0.093497,0.093497,0.223694,0.668482,temporal_event_gnn_jodie
