timestamp,elapsed_time_s,wall_time,avg_concurrent_gpus,gpu_util_ratio,gpu_efficiency,avg_stage_util,max_stage_util,trial_throughput,pipeline_speedup,speedup_efficiency,num_completed_tasks
2026-05-02T13:17:18.443934,25.29,18.79,1.00,1.0000,1.0000,1.0000,1.0000,0.4266,1.5010,0.7505,2
2026-05-02T13:17:28.446689,32.00,25.50,2.22,2.2157,2.2321,1.5999,1.8328,0.7911,1.8014,0.9007,5
2026-05-02T13:17:38.448856,38.28,31.78,2.25,2.2500,2.2653,1.6370,1.8328,142.8571,1.9996,0.9998,7
2026-05-02T13:17:48.450820,47.75,41.24,2.18,2.1807,2.1983,1.6022,1.8328,142.8571,1.9996,0.9998,8
2026-05-02T13:17:58.453078,66.28,59.78,1.59,1.5870,1.8268,1.3361,1.8328,0.1071,1.5943,0.5314,9
2026-05-02T13:18:08.456483,73.32,66.82,1.36,1.3608,1.7397,0.9665,1.2625,0.1071,1.9476,0.6492,10
2026-05-02T13:18:18.459079,87.43,80.93,1.24,1.2393,1.7808,0.8251,0.9128,0.1071,2.6551,0.8850,13
2026-05-02T13:18:28.463126,94.09,87.58,1.86,1.8602,2.0284,0.8206,0.9596,0.0896,2.0402,0.6801,16
2026-05-02T13:18:38.465843,94.09,87.58,1.86,1.8602,2.0284,0.8206,0.9596,0.0896,2.0402,0.6801,16
2026-05-02T13:18:48.468468,108.28,101.78,2.07,2.0706,1.9386,0.8312,0.9596,0.0896,2.0402,0.6801,17
2026-05-02T13:18:58.471690,126.68,120.17,1.44,1.4393,1.7949,0.8168,0.9596,0.0679,1.4869,0.4956,18
2026-05-02T13:19:08.475925,134.29,127.79,1.18,1.1792,1.7475,0.7223,0.8406,0.0679,1.6771,0.5590,19
2026-05-02T13:19:18.480272,139.20,132.70,1.18,1.1810,1.7199,0.7263,0.8406,0.0679,1.6771,0.5590,20
2026-05-02T13:19:28.485387,155.82,149.32,1.86,1.8646,1.9185,0.7168,0.7984,0.0681,1.7822,0.5941,25
2026-05-02T13:19:38.488697,155.82,149.32,1.86,1.8646,1.9185,0.7168,0.7984,0.0681,1.7822,0.5941,25
2026-05-02T13:19:48.492505,169.17,162.66,2.12,2.1176,1.8816,0.7262,0.7984,0.0681,1.7822,0.5941,26
2026-05-02T13:19:58.494095,187.19,180.68,1.78,1.7787,1.7937,0.7249,0.7984,0.0604,1.4728,0.4909,27
2026-05-02T13:20:08.500201,195.30,188.80,1.44,1.4375,1.7772,0.6389,0.6958,0.0764,1.4953,0.4984,36
2026-05-02T13:20:18.505502,195.30,192.53,2.92,2.9197,1.7895,0.6394,0.6740,0.0764,1.6067,0.5356,37
2026-05-02T13:20:28.509163,195.30,192.53,2.92,2.9223,1.8536,0.6611,0.7393,0.0764,1.6067,0.5356,38
2026-05-02T13:20:38.517040,195.30,192.53,1.23,1.2280,2.0795,0.7341,0.7962,0.0846,1.8887,0.6296,43
2026-05-02T13:20:48.522446,195.30,192.53,1.23,1.2306,2.1330,0.7530,0.8248,0.0846,1.8887,0.6296,44
2026-05-02T13:20:58.529459,195.30,192.53,1.69,1.6909,2.2480,0.7938,0.8572,0.0906,1.9852,0.6617,47
2026-05-02T13:21:08.534006,195.30,192.53,1.78,1.7759,2.4010,0.8477,0.9070,0.0966,2.0947,0.6982,51
2026-05-02T13:21:18.539199,195.30,192.53,2.25,2.2549,2.4871,0.8787,0.9590,0.1027,2.1882,0.7294,53
2026-05-02T13:21:28.544423,195.30,192.53,2.25,2.2549,2.4871,0.8787,0.9590,0.1027,2.1882,0.7294,53
2026-05-02T13:21:38.551604,195.30,192.53,1.43,1.4348,2.6260,0.9285,0.9665,0.1087,2.2782,0.7594,56
2026-05-02T13:21:48.556160,195.30,192.53,1.64,1.6364,2.7649,0.9774,1.0279,0.1148,2.3770,0.7923,60
2026-05-02T13:21:58.562075,195.30,192.53,2.20,2.1961,2.8544,1.0096,1.0863,0.1208,2.4797,0.8266,62
2026-05-02T13:22:08.568809,195.30,192.53,1.28,1.2769,2.9180,1.0328,1.0863,0.1268,2.5159,0.8386,65
2026-05-02T13:22:18.578420,195.30,192.54,1.98,1.9838,2.9545,1.0460,1.1048,0.1450,2.5535,0.8512,72
2026-05-02T13:22:28.588757,195.30,192.54,2.90,2.9028,3.0240,1.0639,1.1028,0.1450,2.6494,0.8831,74
