trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.008,162.116,162.108,0.323513,0.323513,0.727364,0.323513,jodie_rnn
1,serial,162.135,241.183,79.048,0.237585,0.237585,0.678339,0.323513,temporal_event_gnn_jodie
2,serial,241.191,352.891,111.701,0.126603,0.126603,0.298149,0.323513,jodie_rnn
3,serial,352.899,536.178,183.279,0.588161,0.588161,0.942471,0.588161,jodie_rnn
4,serial,536.195,664.483,128.288,0.081294,0.081294,0.203102,0.588161,temporal_event_gnn_jodie
5,serial,664.491,772.3,107.809,0.686648,0.686648,0.927464,0.686648,jodie_rnn
6,serial,772.307,877.461,105.154,0.179561,0.179561,0.644322,0.686648,temporal_event_gnn_jodie
7,serial,877.469,982.547,105.078,0.126603,0.126603,0.298149,0.686648,jodie_rnn
8,serial,982.554,1125.912,143.358,0.23074,0.23074,0.641821,0.686648,temporal_event_gnn_jodie
9,serial,1125.918,1285.643,159.724,0.721398,0.721398,0.96048,0.721398,jodie_rnn
10,serial,1285.655,1426.116,140.461,0.335175,0.335175,0.730865,0.721398,jodie_rnn
11,serial,1426.124,1513.201,87.077,0.07698,0.07698,0.206103,0.721398,temporal_event_gnn_jodie
12,serial,1513.209,1612.518,99.309,0.167133,0.167133,0.549275,0.721398,temporal_event_gnn_jodie
13,serial,1612.527,1703.239,90.712,0.20754,0.20754,0.646323,0.721398,temporal_event_gnn_jodie
14,serial,1703.247,1868.02,164.774,0.468502,0.468502,0.845423,0.721398,jodie_rnn
