trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,data_parallel,0.023,433.059,433.035,0.897226,0.897226,0.989495,0.897226,jodie_rnn
1,data_parallel,433.072,863.034,429.962,0.766342,0.766342,0.966983,0.897226,jodie_rnn
2,data_parallel,863.058,1339.407,476.349,0.282892,0.282892,0.724862,0.897226,temporal_event_gnn_jodie
3,data_parallel,1339.425,1771.765,432.34,0.28642,0.28642,0.715858,0.897226,temporal_event_gnn_jodie
4,data_parallel,1771.787,2229.594,457.807,0.142765,0.142765,0.513257,0.897226,temporal_event_gnn_jodie
5,data_parallel,2229.608,2683.691,454.084,0.139461,0.139461,0.502251,0.897226,temporal_event_gnn_jodie
6,data_parallel,2683.709,3164.588,480.879,0.142483,0.142483,0.524262,0.897226,temporal_event_gnn_jodie
7,data_parallel,3164.615,3633.996,469.382,0.518768,0.518768,0.875938,0.897226,jodie_rnn
8,data_parallel,3634.007,4044.396,410.389,0.537015,0.537015,0.88094,0.897226,jodie_rnn
9,data_parallel,4044.421,4493.594,449.173,0.306612,0.306612,0.76088,0.897226,temporal_event_gnn_jodie
10,data_parallel,4493.607,4903.957,410.351,0.376396,0.376396,0.811406,0.897226,jodie_rnn
11,data_parallel,4903.975,5308.431,404.456,0.492408,0.492408,0.881941,0.897226,jodie_rnn
12,data_parallel,5308.46,5772.414,463.954,0.835322,0.835322,0.962981,0.897226,jodie_rnn
13,data_parallel,5772.427,6264.196,491.769,0.14365,0.14365,0.514257,0.897226,temporal_event_gnn_jodie
14,data_parallel,6264.211,6680.417,416.206,0.260064,0.260064,0.683842,0.897226,temporal_event_gnn_jodie
15,data_parallel,6680.458,7219.636,539.178,0.468388,0.468388,0.870935,0.897226,jodie_rnn
16,data_parallel,7219.65,7651.158,431.508,0.294993,0.294993,0.747874,0.897226,temporal_event_gnn_jodie
17,data_parallel,7651.225,8090.989,439.764,0.330726,0.330726,0.73937,0.897226,jodie_rnn
18,data_parallel,8091.07,8567.715,476.645,0.409292,0.409292,0.785393,0.897226,jodie_rnn
19,data_parallel,8567.733,9012.232,444.498,0.313498,0.313498,0.745873,0.897226,jodie_rnn
20,data_parallel,9012.253,9533.965,521.712,0.139813,0.139813,0.46023,0.897226,temporal_event_gnn_jodie
21,data_parallel,9534.008,10034.56,500.552,0.119442,0.119442,0.357179,0.897226,jodie_rnn
22,data_parallel,10034.579,10484.276,449.697,0.536489,0.536489,0.872936,0.897226,jodie_rnn
23,data_parallel,10484.307,10934.113,449.806,0.668832,0.668832,0.97999,0.897226,jodie_rnn
24,data_parallel,10934.13,11410.345,476.215,0.270358,0.270358,0.711356,0.897226,temporal_event_gnn_jodie
25,data_parallel,11410.356,11846.816,436.46,0.278608,0.278608,0.725863,0.897226,temporal_event_gnn_jodie
26,data_parallel,11846.84,12312.243,465.403,0.119442,0.119442,0.357179,0.897226,jodie_rnn
