trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.008,557.784,557.776,0.833942,0.833942,0.991496,0.833942,jodie_rnn
1,pipeline,0.008,557.784,557.776,0.159808,0.159808,0.535268,0.833942,temporal_event_gnn_jodie
2,pipeline,557.801,1490.029,932.228,0.157434,0.157434,0.533767,0.833942,temporal_event_gnn_jodie
3,pipeline,557.801,1490.029,932.228,0.185889,0.185889,0.64082,0.833942,temporal_event_gnn_jodie
4,pipeline,1490.042,1938.53,448.488,0.283777,0.283777,0.724362,0.833942,jodie_rnn
5,pipeline,1490.042,1938.53,448.488,0.760199,0.760199,0.970485,0.833942,jodie_rnn
6,pipeline,1938.54,2542.782,604.242,0.349843,0.349843,0.741371,0.833942,jodie_rnn
7,pipeline,1938.54,2542.782,604.242,0.187224,0.187224,0.62081,0.833942,temporal_event_gnn_jodie
8,pipeline,2542.793,3115.935,573.142,0.227763,0.227763,0.69935,0.833942,temporal_event_gnn_jodie
9,pipeline,2542.793,3115.935,573.142,0.18582,0.18582,0.601801,0.833942,temporal_event_gnn_jodie
10,pipeline,3115.949,3597.147,481.198,0.414321,0.414321,0.843922,0.833942,jodie_rnn
11,pipeline,3115.949,3597.147,481.198,0.256126,0.256126,0.654827,0.833942,jodie_rnn
12,pipeline,3597.156,4068.97,471.814,0.571881,0.571881,0.918459,0.833942,jodie_rnn
13,pipeline,3597.156,4068.97,471.814,0.126603,0.126603,0.298149,0.833942,jodie_rnn
14,pipeline,4068.98,4567.833,498.853,0.694754,0.694754,0.962981,0.833942,jodie_rnn
15,pipeline,4068.98,4567.833,498.853,0.126603,0.126603,0.298149,0.833942,jodie_rnn
16,pipeline,4567.866,5166.3,598.433,0.275245,0.275245,0.681841,0.833942,jodie_rnn
17,pipeline,4567.866,5166.3,598.433,0.181699,0.181699,0.623312,0.833942,temporal_event_gnn_jodie
18,pipeline,5166.311,5626.985,460.673,0.684693,0.684693,0.911956,0.833942,jodie_rnn
19,pipeline,5166.311,5626.985,460.673,0.29191,0.29191,0.709855,0.833942,jodie_rnn
20,pipeline,5627.001,6187.222,560.22,0.15363,0.15363,0.509255,0.833942,temporal_event_gnn_jodie
21,pipeline,5627.001,6187.222,560.22,0.181069,0.181069,0.563782,0.833942,temporal_event_gnn_jodie
22,pipeline,6187.231,6741.318,554.086,0.171399,0.171399,0.574787,0.833942,temporal_event_gnn_jodie
23,pipeline,6187.231,6741.318,554.086,0.240315,0.240315,0.716858,0.833942,temporal_event_gnn_jodie
24,pipeline,6741.345,7313.728,572.383,0.69171,0.69171,0.938469,0.833942,jodie_rnn
25,pipeline,6741.345,7313.728,572.383,0.191912,0.191912,0.662331,0.833942,temporal_event_gnn_jodie
26,pipeline,7313.737,7512.888,199.15,0.233631,0.233631,0.664332,0.833942,temporal_event_gnn_jodie
